"","SECCION","munn","edo","edon","disloc2015","disloc2017","P_18y+","P_Total","ENTIDAD","NOMBRE ENTIDAD","DISTRITO","MUNICIPIO","NOMBRE MUNICIPIO","TIPO"
"24",262,39,26,26,18,18,812,1322,26,"SONORA",1,36,"SANTA ANA","RURAL"
"25",263,39,26,26,18,18,713,1028,26,"SONORA",1,36,"SANTA ANA","URBANO(A)"
"26",265,40,26,26,18,18,882,1366,26,"SONORA",1,38,"SARIC","MIXTO(A)"
"27",266,41,26,26,18,18,779,1344,26,"SONORA",1,38,"SARIC","RURAL"
"28",278,44,26,26,7,7,881,1310,26,"SONORA",1,42,"TRINCHERAS","MIXTO(A)"
"29",279,44,26,26,7,7,267,450,26,"SONORA",1,42,"TRINCHERAS","RURAL"
"30",280,45,26,26,18,18,53,75,26,"SONORA",1,42,"TRINCHERAS","RURAL"
"31",281,45,26,26,18,18,283,413,26,"SONORA",1,43,"TUBUTAMA","MIXTO(A)"
"32",282,45,26,26,18,18,37,42,26,"SONORA",1,43,"TUBUTAMA","RURAL"
"33",283,46,26,26,3,3,77,100,26,"SONORA",1,43,"TUBUTAMA","RURAL"
"34",284,46,26,26,3,3,143,219,26,"SONORA",1,43,"TUBUTAMA","RURAL"
"35",285,46,26,26,3,3,538,836,26,"SONORA",1,43,"TUBUTAMA","RURAL"
"36",292,46,26,26,3,3,2483,4061,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"37",293,46,26,26,3,3,1008,1495,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"38",294,46,26,26,3,3,2515,3736,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"39",295,46,26,26,3,3,3237,5389,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"40",296,46,26,26,3,3,2280,3644,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"41",297,46,26,26,3,3,4604,7574,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"42",298,46,26,26,3,3,2295,3485,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"43",299,46,26,26,3,3,1286,1747,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"44",300,46,26,26,3,3,878,1178,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"45",301,46,26,26,3,3,734,997,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"46",302,46,26,26,3,3,805,1114,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"47",303,46,26,26,3,3,1222,1704,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"48",304,46,26,26,3,3,777,1215,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"49",305,46,26,26,3,3,209,301,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"50",306,46,26,26,3,3,54,85,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"51",307,46,26,26,3,3,11,12,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"52",308,46,26,26,3,3,904,1538,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"53",309,46,26,26,3,3,682,999,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"54",310,46,26,26,3,3,2226,3256,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"55",311,46,26,26,3,3,2484,3696,26,"SONORA",1,46,"CABORCA","MIXTO(A)"
"56",312,46,26,26,3,3,457,601,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"57",313,46,26,26,3,3,2237,3250,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"58",314,46,26,26,3,3,922,1508,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"59",315,46,26,26,3,3,623,923,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"60",316,46,26,26,3,3,5,7,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"61",317,46,26,26,3,3,850,1474,26,"SONORA",1,46,"CABORCA","URBANO(A)"
"62",319,47,26,26,6,6,3380,5761,26,"SONORA",1,46,"CABORCA","RURAL"
"63",320,47,26,26,6,6,1650,2752,26,"SONORA",1,46,"CABORCA","RURAL"
"64",321,48,26,26,18,18,880,1438,26,"SONORA",1,46,"CABORCA","RURAL"
"65",322,48,26,26,18,18,2029,3053,26,"SONORA",1,46,"CABORCA","RURAL"
"66",323,48,26,26,18,18,947,1501,26,"SONORA",1,46,"CABORCA","RURAL"
"67",324,48,26,26,18,18,1275,2094,26,"SONORA",1,46,"CABORCA","RURAL"
"68",325,48,26,26,18,18,382,598,26,"SONORA",1,46,"CABORCA","RURAL"
"69",326,49,26,26,8,8,1192,1914,26,"SONORA",1,46,"CABORCA","RURAL"
"70",327,49,26,26,8,8,3504,5392,26,"SONORA",1,46,"CABORCA","MIXTO(A)"
"71",328,49,26,26,10,10,1010,1677,26,"SONORA",1,46,"CABORCA","RURAL"
"72",625,53,26,26,2,2,1294,2061,26,"SONORA",1,52,"PITIQUITO","MIXTO(A)"
"73",626,53,26,26,2,2,1984,2800,26,"SONORA",1,52,"PITIQUITO","URBANO(A)"
"74",629,54,26,26,6,6,1735,2787,26,"SONORA",1,52,"PITIQUITO","RURAL"
"75",630,54,26,26,6,6,374,562,26,"SONORA",1,52,"PITIQUITO","RURAL"
"76",1366,30,26,26,5,5,455,665,26,"SONORA",1,52,"PITIQUITO","MIXTO(A)"
"77",1367,30,26,26,5,5,448,680,26,"SONORA",1,52,"PITIQUITO","URBANO(A)"
"78",631,55,26,26,1,1,3271,5220,26,"SONORA",1,53,"PUERTO PEÑASCO","URBANO(A)"
"79",632,55,26,26,1,1,4368,7206,26,"SONORA",1,53,"PUERTO PEÑASCO","URBANO(A)"
"80",633,55,26,26,1,1,590,873,26,"SONORA",1,53,"PUERTO PEÑASCO","URBANO(A)"
"81",634,55,26,26,1,1,4653,7548,26,"SONORA",1,53,"PUERTO PEÑASCO","URBANO(A)"
