"","edon.x","esc1","esc3","dsi_E1_E3_sec","edon.y","dis_new","dis_old","esc1.y","dsi_E1_E3_pob","pob_total","dif"
"122",NA,NA,21,NA,7,14,14,13,0.365523741673943,2592,NA
"123",7,4,12,0.543,7,12,13,4,0.539092220420183,1431,0.00390777957981703
"124",7,6,8,0.716,7,6,6,6,0.719921071553987,6070,0.00392107155398702
"125",7,9,7,0.416,7,23,23,8,0.425655799740108,2728,0.009655799740108
"126",NA,NA,5,NA,7,22,22,21,0.778085822863557,963,NA
"127",NA,NA,2,NA,7,4,7,17,0.714838803713117,3068,NA
"128",7,12,19,0.331,7,24,24,2,0.323394274020734,3561,0.00760572597926601
"129",NA,NA,15,NA,7,16,16,3,0.749501165344825,3645,NA
"130",7,22,4,1,7,8,10,22,1,2564,0
"131",7,19,23,0.382,7,20,20,7,0.434815153959637,3372,0.052815153959637
"132",NA,NA,3,NA,7,7,7,18,0.395862285221531,3370,NA
"133",7,24,1,1,7,5,5,24,1,4271,0
"134",7,15,13,0.379,7,1,1,15,0.358218580853199,11313,0.020781419146801
"135",7,15,13,0.379,7,1,1,16,0.358218580853199,1086,0.020781419146801
"136",7,10,9,0.185,7,2,1,14,0.233324405633171,10220,0.048324405633171
"137",8,1,1,1,8,11,1,1,1,732,0
"138",8,3,2,0.83,8,20,22,3,0.906246655713144,1133,0.076246655713144
"139",NA,NA,3,NA,8,1,1,4,1,2450,NA
"140",8,5,4,0.891,8,13,11,5,0.90125021534221,637,0.0102502153422099
"141",8,6,6,1,8,22,21,6,1,1583,0
"142",8,7,7,0.921,8,14,13,7,0.952746802380705,1489,0.0317468023807049
"143",8,5,4,0.891,8,13,14,2,0.90125021534221,369,0.0102502153422099
"144",8,10,10,1,8,18,19,10,1,924,0
"145",8,11,11,1,8,16,19,11,1,622,0
"146",8,9,9,1,8,12,15,9,1,19342,0
"147",NA,NA,13,NA,8,17,15,13,1,11893,NA
"148",NA,NA,12,NA,8,15,17,12,1,496,NA
"149",8,8,8,0.866,8,19,20,8,0.891888055946221,943,0.025888055946221
"150",8,16,16,1,8,2,2,16,1,7094,0
"151",NA,NA,14,NA,8,3,2,14,1,776,NA
"152",8,22,21,1,8,4,2,22,1,238,0
"153",8,19,20,1,8,5,3,19,1,1723,0
"154",NA,NA,18,NA,8,6,3,17,1,465,NA
"155",NA,NA,22,NA,8,7,7,21,1,605,NA
"156",NA,NA,19,NA,8,8,9,20,1,5971,NA
"157",NA,NA,15,NA,8,10,9,15,1,3450,NA
"158",8,18,17,1,8,9,7,18,1,1199,0
"159",9,15,15,1,9,5,5,15,1,905,0
"160",9,16,16,1,9,3,5,16,1,4431,0
"161",9,23,23,0.965,9,26,26,23,0.949144333851214,1668,0.015855666148786
"162",9,21,21,1,9,26,32,21,1,1497,0
"163",NA,NA,22,NA,9,30,26,22,1,1050,NA
"164",9,31,31,1,9,20,20,31,1,4007,0
"165",9,12,12,1,9,1,1,12,1,3366,0
"166",9,10,10,0.956,9,2,2,10,0.947804688088015,838,0.00819531191198497
"167",NA,NA,11,NA,9,2,7,11,1,1235,NA
"168",9,9,9,0.947,9,4,4,9,0.947448882094401,1003,0.000448882094401082
"169",9,19,18,0.681,9,15,15,19,0.688626015115242,1025,0.00762601511524197
"170",9,19,18,0.681,9,15,15,18,0.688626015115242,2308,0.00762601511524197
"171",9,6,6,0.906,9,24,24,6,0.894128806552183,1322,0.0118711934478171
"172",9,5,6,0.906,9,24,24,6,0.894128806552183,1322,0.0118711934478171
"173",9,7,7,0.945,9,21,21,7,0.954471047196512,1154,0.00947104719651204
"174",9,8,8,1,9,22,19,8,1,982,0
"175",NA,NA,2,NA,9,29,21,2,1,3220,NA
"176",9,6,6,0.906,9,24,28,5,0.894128806552183,1591,0.0118711934478171
"177",9,5,6,0.906,9,24,28,5,0.894128806552183,1591,0.0118711934478171
"178",9,3,3,1,9,27,29,3,1,2598,0
"179",NA,NA,4,NA,9,31,31,4,1,1644,NA
"180",9,1,1,1,9,33,33,1,1,1166,0
"181",9,28,25,0.336,9,7,34,28,0.332972958363177,2025,0.00302704163682305
"182",9,33,33,1,9,18,18,33,1,1770,0
"183",9,32,32,1,9,23,23,32,1,1141,0
"184",9,26,26,0.675,9,8,35,26,0.703993825447012,3458,0.0289938254470119
"185",9,26,26,0.675,9,8,34,25,0.703993825447012,2135,0.0289938254470119
"186",9,30,28,0.943,9,16,38,30,0.905653901734104,1105,0.037346098265896
"187",9,29,27,0.963,9,14,37,29,0.979237745422875,1330,0.016237745422875
"188",9,27,29,0.39,9,19,39,27,0.389348067359614,1570,0.000651932640385988
"189",9,24,24,0.966,9,17,16,24,0.949460763363481,1860,0.016539236636519
"190",9,14,14,1,9,12,13,14,1,1429,0
"191",9,13,13,1,9,9,9,13,1,2871,0
"192",9,17,17,1,9,13,13,17,1,1411,0
"193",9,20,20,0.785,9,10,10,20,0.772699666451229,1442,0.012300333548771
"194",10,3,3,1,10,3,16,3,1,513,0
"195",10,2,1,1,10,1,8,2,1,760,0
"196",NA,NA,4,NA,10,4,16,7,1,750,NA
"197",10,1,6,0.992,10,6,15,1,0.997109628366793,2572,0.00510962836679296
"198",10,12,11,0.661,10,11,2,12,0.720393044551909,9095,0.059393044551909
"199",10,11,11,0.661,10,11,2,12,0.720393044551909,9095,0.059393044551909
"200",NA,NA,12,NA,10,12,2,8,0.686580928707807,11583,NA
"201",10,12,11,0.661,10,11,1,11,0.720393044551909,2214,0.059393044551909
"202",10,11,11,0.661,10,11,1,11,0.720393044551909,2214,0.059393044551909
"203",NA,NA,12,NA,10,12,2,9,0.686580928707807,886,NA
"204",10,11,9,0.476,10,9,5,10,0.404760463088549,663,0.071239536911451
"205",10,9,9,0.476,10,9,5,10,0.404760463088549,663,0.071239536911451
"206",10,13,15,1,10,15,11,13,1,1328,0
"207",NA,NA,14,NA,10,14,11,14,1,12098,NA
"208",10,15,13,1,10,13,11,15,1,7872,0
"209",NA,NA,5,NA,10,5,8,4,0.997163461538462,646,NA
"210",10,6,7,1,10,7,9,6,1,8932,0
"211",NA,NA,2,NA,10,2,4,5,1,1088,NA
"212",11,4,1,1,11,18,13,4,1,1916,0
"213",11,8,2,0.862,11,22,22,8,0.873948749090858,4518,0.011948749090858
"214",11,6,3,1,11,9,9,6,1,6511,0
"215",11,10,4,1,11,2,2,10,1,1049,0
"216",11,21,22,0.856,11,16,16,21,0.921577092197319,21909,0.065577092197319
"217",NA,NA,21,NA,11,15,15,22,0.801328623909269,1079,NA
"218",11,7,5,1,11,10,18,7,1,1590,0
"219",NA,NA,6,NA,11,17,17,2,1,3003,NA
"220",11,5,7,1,11,19,21,5,1,1725,0
"221",11,3,8,0.974,11,1,1,3,0.951901932912976,2342,0.022098067087024
"222",11,3,8,0.974,11,1,9,9,0.951901932912976,7136,0.022098067087024
"223",11,9,9,0.946,11,8,8,1,0.9276240046052,235,0.0183759953947999
"224",11,13,13,1,11,11,11,13,1,5611,0
"225",NA,NA,14,NA,11,12,12,14,1,12453,NA
"226",11,17,16,0.894,11,3,4,17,0.954507742797706,5543,0.060507742797706
"227",NA,NA,20,NA,11,4,4,16,0.985243868189478,1833,NA
"228",11,17,16,0.894,11,3,4,19,0.954507742797706,1410,0.060507742797706
"229",NA,NA,15,NA,11,21,7,15,1,1398,NA
"230",NA,NA,17,NA,11,5,5,18,0.823421997687017,868,NA
"231",NA,NA,17,NA,11,5,5,20,0.823421997687017,5176,NA
"232",11,11,10,1,11,20,20,11,1,2667,0
"233",11,12,12,1,11,14,14,12,1,2742,0
"234",12,24,4,0.39,12,8,8,24,0.43260737949336,1622,0.04260737949336
"235",12,24,9,0.491,12,4,4,18,0.504767402641206,1541,0.013767402641206
"236",12,18,5,0.325,12,5,5,22,0.385274285714286,3694,0.060274285714286
"237",12,20,6,0.413,12,9,9,20,0.47037337914013,6223,0.05737337914013
"238",12,20,6,0.413,12,9,9,21,0.47037337914013,1468,0.05737337914013
"239",12,18,5,0.325,12,5,5,19,0.385274285714286,1824,0.060274285714286
"240",12,21,3,0.558,12,7,7,23,0.705646174901545,5766,0.147646174901545
"241",12,12,1,0.486,12,26,26,12,0.468165205523814,3881,0.017834794476186
"242",12,5,20,0.341,12,17,17,5,0.365652027157884,1519,0.0246520271578839
"243",12,15,14,0.391,12,28,28,15,0.33618945317379,2557,0.05481054682621
"244",12,11,22,0.484,12,20,20,11,0.438208171800756,728,0.045791828199244
"245",12,4,21,0.348,12,18,18,4,0.286358932333118,1844,0.061641067666882
"246",12,15,14,0.391,12,28,28,16,0.33618945317379,1010,0.05481054682621
"247",12,15,14,0.391,12,28,28,14,0.33618945317379,286,0.05481054682621
"248",12,3,26,0.392,12,10,10,3,0.318221728084622,1007,0.073778271915378
"249",12,6,13,0.39,12,14,14,6,0.375543732141015,4404,0.014456267858985
"250",12,6,16,0.256,12,15,15,2,0.309253915910965,1263,0.053253915910965
"251",12,3,26,0.392,12,10,10,9,0.318221728084622,1511,0.073778271915378
"252",12,12,23,0.59,12,23,23,1,0.661037328148296,2130,0.071037328148296
"253",12,10,27,0.312,12,12,12,10,0.189002247125288,675,0.122997752874712
"254",12,6,16,0.256,12,15,15,8,0.309253915910965,1556,0.053253915910965
"255",12,27,12,1,12,25,25,27,1,7040,0
"256",12,25,11,0.382,12,1,1,25,0.474577122234426,10726,0.092577122234426
"257",12,25,11,0.382,12,1,1,26,0.474577122234426,2460,0.092577122234426
"258",12,7,24,0.958,12,22,22,7,0.979493229956739,6477,0.0214932299567391
"259",12,10,27,0.312,12,12,12,28,0.189002247125288,2784,0.122997752874712
"260",12,13,18,0.364,12,13,13,13,0.419671410785343,2105,0.055671410785343
"261",12,4,2,0.664,12,21,21,17,0.807948409152714,894,0.143948409152714
"262",13,8,9,0.697,13,1,18,8,0.647024111074616,1422,0.049975888925384
"263",13,7,9,0.697,13,1,18,8,0.647024111074616,1422,0.049975888925384
"264",13,2,1,0.416,13,2,14,2,0.519352532938594,5385,0.103352532938594
"265",13,6,18,0.6,13,4,16,6,0.558775244299674,2564,0.041224755700326
"266",13,11,18,0.6,13,4,16,6,0.558775244299674,2564,0.041224755700326
"267",13,8,4,0.686,13,10,11,5,0.616422579490452,2261,0.0695774205095481
"268",13,5,4,0.686,13,10,11,5,0.616422579490452,2261,0.0695774205095481
"269",NA,NA,2,NA,13,6,5,3,1,2696,NA
"270",13,16,14,1,13,7,13,16,1,2734,0
"271",13,2,1,0.416,13,8,18,1,0.519352532938594,2786,0.103352532938594
"272",13,18,16,1,13,18,16,18,1,1298,0
"273",13,6,18,0.6,13,9,17,11,0.558775244299674,2668,0.041224755700326
"274",13,11,18,0.6,13,9,17,11,0.558775244299674,2668,0.041224755700326
"275",13,7,13,0.874,13,12,2,7,0.869223717654902,1723,0.00477628234509797
"276",13,2,6,0.468,13,2,14,9,0.507186982678564,3077,0.039186982678564
"277",NA,NA,15,NA,13,11,13,17,1,1969,NA
"278",13,7,13,0.874,13,12,2,15,0.869223717654902,3167,0.00477628234509797
"279",NA,NA,11,NA,13,16,2,13,1,1153,NA
"280",NA,NA,12,NA,13,15,1,12,1,14321,NA
"281",13,10,17,1,13,13,12,10,1,1715,0
"282",NA,NA,8,NA,13,3,4,4,1,1398,NA
"283",NA,NA,10,NA,13,17,3,14,1,11799,NA
"284",13,8,1,0.697,13,1,18,8,0.647024111074616,1422,0.049975888925384
"285",13,7,1,0.697,13,1,18,8,0.647024111074616,1422,0.049975888925384
"286",13,2,2,0.543,13,2,14,2,0.529683759413143,5385,0.013316240586857
"287",13,6,4,1,13,4,16,6,1,2564,0
"288",13,8,10,0.686,13,10,11,5,0.616422579490452,2261,0.0695774205095481
"289",13,5,10,0.686,13,10,11,5,0.616422579490452,2261,0.0695774205095481
"290",NA,NA,6,NA,13,6,5,3,0.788599289371218,2696,NA
"291",13,16,7,1,13,7,13,16,1,2734,0
"292",13,1,8,0.881,13,8,18,1,0.896940833226069,2786,0.015940833226069
"293",13,18,18,1,13,18,16,18,1,1298,0
"294",13,11,9,0.962,13,9,17,11,0.942418573661687,2668,0.0195814263383129
"295",13,7,12,0.874,13,12,2,7,0.869223717654902,1723,0.00477628234509797
"296",13,2,2,0.543,13,2,14,9,0.529683759413143,3077,0.013316240586857
"297",NA,NA,11,NA,13,11,13,17,1,1969,NA
"298",13,7,12,0.874,13,12,2,15,0.869223717654902,3167,0.00477628234509797
"299",NA,NA,16,NA,13,16,2,13,1,1153,NA
"300",NA,NA,15,NA,13,15,1,12,1,14321,NA
"301",13,10,13,1,13,13,12,10,1,1715,0
"302",13,2,3,0.286,13,3,4,4,0.291344821633298,1398,0.00534482163329802
"303",NA,NA,17,NA,13,17,3,14,1,11799,NA
"304",14,3,2,0.211,14,2,3,3,0.133113924846048,1998,0.077886075153952
"305",14,1,2,0.211,14,2,3,3,0.133113924846048,1998,0.077886075153952
"306",14,8,4,0.455,14,4,17,8,0.428773729255965,2431,0.026226270744035
"307",14,6,4,0.455,14,4,17,8,0.428773729255965,2431,0.026226270744035
"308",14,4,5,0.327,14,5,19,4,0.343133042314361,1127,0.016133042314361
"309",14,8,3,0.584,14,3,1,2,0.562261988267861,3519,0.021738011732139
"310",14,2,3,0.584,14,3,1,2,0.562261988267861,3519,0.021738011732139
"311",NA,NA,1,NA,14,1,3,7,0.219371302471352,3523,NA
"312",14,8,4,0.455,14,4,5,6,0.428773729255965,983,0.026226270744035
"313",14,6,4,0.455,14,4,5,6,0.428773729255965,983,0.026226270744035
"314",NA,NA,7,NA,14,7,17,9,0.316058939644988,2019,NA
"315",NA,NA,7,NA,14,7,17,1,0.316058939644988,4544,NA
"316",14,5,9,0.757,14,9,2,5,0.777784848232685,5485,0.020784848232685
"317",14,14,13,1,14,13,12,14,1,693,0
"318",14,12,12,1,14,12,9,12,1,1303,0
"319",14,13,11,1,14,11,11,13,1,2574,0
"320",14,11,10,1,14,10,12,11,1,1204,0
"321",NA,NA,20,NA,14,20,7,10,1,3025,NA
"322",14,20,14,0.657,14,14,16,20,0.512164994297337,1791,0.144835005702663
"323",14,20,14,0.657,14,14,16,18,0.512164994297337,2493,0.144835005702663
"324",14,20,14,0.657,14,14,16,19,0.512164994297337,8177,0.144835005702663
"325",14,16,19,0.74,14,19,10,16,0.647972202079399,1554,0.092027797920601
"326",14,17,19,0.74,14,19,10,16,0.647972202079399,1554,0.092027797920601
"327",14,16,19,0.74,14,19,10,17,0.647972202079399,2046,0.092027797920601
"328",14,17,19,0.74,14,19,10,17,0.647972202079399,2046,0.092027797920601
"329",NA,NA,18,NA,14,18,10,15,0.686928748830465,4097,NA
"330",15,10,4,1,15,14,13,10,1,1958,0
"331",15,17,16,0.929,15,39,39,17,0.906253847732403,2688,0.022746152267597
"332",15,9,1,0.455,15,9,8,9,0.365951337917356,1222,0.089048662082644
"333",15,1,1,0.455,15,9,8,9,0.365951337917356,1222,0.089048662082644
"334",15,5,5,0.364,15,45,45,5,0.314573930406206,2225,0.049426069593794
"335",15,8,10,0.39,15,10,45,8,0.418319907743925,665,0.028319907743925
"336",15,6,9,0.325,15,7,5,6,0.315107427158204,2665,0.00989257284179601
"337",15,9,1,0.455,15,9,9,1,0.365951337917356,2162,0.089048662082644
"338",15,1,1,0.455,15,9,9,1,0.365951337917356,2162,0.089048662082644
"339",15,12,11,0.878,15,28,28,12,0.838480167941918,1664,0.039519832058082
"340",15,36,33,1,15,20,20,36,1,2255,0
"341",15,15,15,0.737,15,23,23,15,0.77000992126523,3793,0.0330099212652301
"342",15,42,38,1,15,29,16,42,1,1678,0
"343",NA,NA,40,NA,15,16,16,43,1,3665,NA
"344",15,8,3,0.498,15,13,13,7,0.463161041012831,6479,0.034838958987169
"345",15,6,2,0.27,15,4,6,4,0.236087459361995,3643,0.033912540638005
"346",15,2,2,0.27,15,4,6,4,0.236087459361995,3643,0.033912540638005
"347",15,35,32,0.741,15,38,38,35,0.712215787572902,4059,0.0287842124270979
"348",15,37,31,0.444,15,12,36,37,0.421118318313262,6236,0.022881681686738
"349",15,38,37,1,15,43,43,38,1,2229,0
"350",NA,NA,36,NA,15,26,43,39,1,1572,NA
"351",NA,NA,14,NA,15,27,27,14,1,2791,NA
"352",15,12,13,0.866,15,1,27,13,0.930310115346504,11196,0.064310115346504
"353",15,15,18,0.234,15,5,40,16,0.194652106957861,1952,0.039347893042139
"354",15,19,17,0.609,15,3,31,19,0.558362503320951,4673,0.0506374966790489
"355",15,19,17,0.609,15,3,31,18,0.558362503320951,4288,0.0506374966790489
"356",15,20,21,1,15,41,31,20,1,2062,0
"357",15,25,28,1,15,21,21,25,1,2378,0
"358",15,26,27,1,15,37,21,26,1,3515,0
"359",15,28,24,1,15,22,21,28,1,3195,0
"360",15,27,23,1,15,42,22,27,1,2077,0
"361",NA,NA,26,NA,15,8,22,24,1,14208,NA
"362",15,23,25,1,15,6,33,23,1,3882,0
"363",15,4,7,0.547,15,17,44,3,0.577399296077979,2967,0.030399296077979
"364",15,3,7,0.547,15,17,44,3,0.577399296077979,2967,0.030399296077979
"365",NA,NA,12,NA,15,40,40,11,0.897865581900394,12699,NA
"366",15,37,31,0.444,15,12,20,34,0.421118318313262,2986,0.022881681686738
"367",15,6,2,0.27,15,4,4,2,0.236087459361995,3157,0.033912540638005
"368",15,2,2,0.27,15,4,4,2,0.236087459361995,3157,0.033912540638005
"369",15,6,6,0.577,15,35,35,31,0.48798968748035,3156,0.08901031251965
"370",15,44,41,1,15,32,30,44,1,1832,0
"371",NA,NA,39,NA,15,30,29,41,1,743,NA
"372",15,21,20,1,15,25,25,21,1,4958,0
"373",15,22,22,1,15,24,24,22,1,1647,0
"374",NA,NA,42,NA,15,44,44,45,1,5767,NA
"375",15,32,43,0.481,15,34,3,33,0.313070555620632,3830,0.167929444379368
"376",NA,NA,29,NA,15,33,33,29,1,1677,NA
"377",15,40,35,1,15,18,18,40,1,1688,0
"378",15,32,43,0.481,15,34,2,32,0.313070555620632,2997,0.167929444379368
"379",NA,NA,30,NA,15,11,38,30,1,1781,NA
"380",16,5,14,0.4,16,14,19,5,0.426079310921689,1889,0.026079310921689
"381",16,8,10,0.734,16,10,21,8,0.65986555072846,2596,0.07413444927154
"382",16,9,12,0.572,16,12,8,9,0.645939675174014,1894,0.073939675174014
"383",16,13,9,0.64,16,9,2,13,0.726672214464708,1073,0.086672214464708
"384",16,14,2,0.828,16,2,13,14,0.824548037395045,986,0.00345196260495495
"385",16,3,11,0.556,16,11,23,3,0.548541535403374,2653,0.00745846459662602
"386",16,8,11,0.556,16,11,23,3,0.548541535403374,2653,0.00745846459662602
"387",16,15,8,0.904,16,8,3,15,0.928389569177732,1459,0.0243895691777319
"388",16,5,14,0.4,16,14,19,6,0.426079310921689,239,0.026079310921689
"389",16,11,1,0.805,16,1,4,11,0.812954696176345,1475,0.00795469617634492
"390",16,4,6,0.433,16,6,18,4,0.411225756070406,3422,0.021774243929594
"391",16,10,4,1,16,4,7,10,1,875,0
"392",16,2,15,0.801,16,15,9,2,0.788116159864339,1362,0.012883840135661
"393",16,13,5,0.753,16,5,1,1,0.820969214371406,1086,0.067969214371406
"394",16,12,3,1,16,3,12,12,1,6009,0
"395",NA,NA,13,NA,16,13,5,7,0.964173547702739,1361,NA
"396",16,18,18,1,16,18,24,18,1,10135,0
"397",16,22,20,0.579,16,20,10,22,0.649735170935124,1544,0.070735170935124
"398",16,21,19,0.493,16,19,11,20,0.538996220518992,1111,0.045996220518992
"399",16,22,19,0.493,16,19,11,20,0.538996220518992,1111,0.045996220518992
"400",16,21,19,0.493,16,19,17,21,0.538996220518992,358,0.045996220518992
"401",16,22,19,0.493,16,19,17,21,0.538996220518992,358,0.045996220518992
