"","SECCION","munn.x","edon.x","disloc2018.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"2207",40,3,21,23,23,8,3,3,2659,0.744,0.724181080590147,0.019818919409853,0,0,1
"2208",41,3,21,23,23,8,3,3,534,0.744,0.724181080590147,0.019818919409853,1,0,0
"2209",42,3,21,23,23,8,3,3,238,0.744,0.724181080590147,0.019818919409853,1,0,0
"2210",43,3,21,23,23,8,3,3,332,0.744,0.724181080590147,0.019818919409853,1,0,0
"2211",44,3,21,23,23,8,3,3,1451,0.744,0.724181080590147,0.019818919409853,1,0,0
"2212",79,9,21,23,23,8,3,3,2130,0.744,0.724181080590147,0.019818919409853,0,0,1
"2213",102,11,21,22,23,3,5,5,1730,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2214",224,21,21,22,22,3,5,5,1241,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2215",239,24,21,23,23,8,3,3,572,0.744,0.724181080590147,0.019818919409853,0,0,1
"2216",240,24,21,23,23,8,3,3,375,0.744,0.724181080590147,0.019818919409853,1,0,0
"2217",277,33,21,22,22,3,5,5,999,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2218",278,33,21,22,22,3,5,5,284,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2219",340,43,21,23,23,8,3,3,1572,0.744,0.724181080590147,0.019818919409853,0,0,1
"2220",341,43,21,23,23,8,3,3,611,0.744,0.724181080590147,0.019818919409853,1,0,0
"2221",342,43,21,23,23,8,3,3,462,0.744,0.724181080590147,0.019818919409853,1,0,0
"2222",343,43,21,23,23,8,3,3,340,0.744,0.724181080590147,0.019818919409853,1,0,0
"2223",398,48,21,22,22,3,5,5,2469,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2224",399,48,21,22,22,3,5,5,1497,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2225",400,48,21,22,22,3,5,5,1392,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2226",401,48,21,22,22,3,5,5,1699,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2227",402,48,21,22,22,3,5,5,2280,0.839,0.868356997971602,0.0293569979716021,0,0,0
"2228",403,48,21,22,22,3,5,5,1610,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2229",404,48,21,22,22,3,5,5,1084,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2230",405,48,21,22,22,3,5,5,2972,0.839,0.868356997971602,0.0293569979716021,0,0,1
"2231",406,48,21,22,22,3,5,5,673,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2232",407,48,21,22,22,3,5,5,171,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2233",408,48,21,22,22,3,5,5,840,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2234",409,48,21,22,22,3,5,5,231,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2235",410,48,21,22,22,3,5,5,189,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2236",411,48,21,22,22,3,5,5,133,0.839,0.868356997971602,0.0293569979716021,1,0,0
"2237",412,48,21,22,22,3,5,5,1365,0.839,0.868356997971602,0.0293569979716021,1,0,0
