"","SECCION","munn.x","edon.x","edo","disloc2018","disloc1996","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"88",2261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"89",2262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"90",2263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"91",2264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"92",2265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"93",2266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"94",2267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"95",2268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"96",2269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"97",2270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"98",2271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"99",2272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"100",2273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"101",2274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"102",2275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"103",2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"104",2277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"105",2278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"106",2279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"107",2280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"108",2281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"109",2282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"110",2283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"111",2284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"112",2285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"113",2286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"114",2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"115",2288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"116",2289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"117",2290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"118",2291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"119",2292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"120",2293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
