"","SECCION","munn.x","edon.x","edo","disloc2018","disloc2015","escenario1","escenario2","escenario3_c8","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"159",986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"160",987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"161",988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"162",989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"163",990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"164",991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"165",992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"166",993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"167",994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"168",995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"169",996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"170",997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"171",998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"172",999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"173",1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"174",1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"175",1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"176",1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"177",1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"178",1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"179",1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"180",1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"181",1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"184",1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"185",1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"186",1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"187",1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"188",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",1085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"191",1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"192",1087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"193",1088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"194",1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"195",1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"196",1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"197",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"198",1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"199",1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"200",1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
