"","SECCION","munn.x","edon.x","disloc2016.x","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"105",161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"106",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"107",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"108",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"109",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"110",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"111",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"112",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"113",182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"114",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"115",184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"116",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"117",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"118",187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"119",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"120",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"121",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"122",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"123",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"124",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"125",194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"126",195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"127",196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"128",197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"129",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"130",199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"131",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"132",201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"133",202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"134",203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"135",204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"136",205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"137",206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"138",207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"139",208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"140",209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"141",210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"142",211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"143",212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"144",213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"147",216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"148",217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"149",218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"150",219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"151",259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"152",260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"153",261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"154",262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"155",398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"156",399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"157",403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"158",404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"159",405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"160",406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"161",407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"162",408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"163",409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"164",410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"165",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"166",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"167",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"168",414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"169",415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"170",416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"171",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"172",418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"173",419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"174",420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"175",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"176",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"177",423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"178",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"179",470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"180",471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"181",472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"182",473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"183",474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"184",475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"185",476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"186",477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"187",478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"188",479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"191",482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"192",483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"193",484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"194",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"195",486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"196",487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"197",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"198",489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"199",490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"200",491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"201",492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"202",493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"203",494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"204",495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"205",496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"206",497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"207",498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"210",501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"211",502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"212",503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"213",504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"214",505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"215",506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"216",507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"217",520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"218",521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"219",522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"220",523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"221",524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"222",525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"223",526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"224",527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"225",528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"226",529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"227",530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"228",536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"229",537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"230",538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"231",539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"232",540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"233",541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"234",542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"235",543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"236",544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"237",545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"238",546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"239",575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"240",576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"241",577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"242",578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"243",579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"244",580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"245",581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"246",582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"247",583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"248",584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"250",531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"251",532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"252",533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"253",534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"254",535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"255",400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"256",401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"257",607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"258",608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"259",402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"260",606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"261",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"262",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"263",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"264",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"265",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"266",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"267",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"268",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"269",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"270",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"271",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"272",122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"273",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"274",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"275",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"276",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"277",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"278",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"279",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"280",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"281",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"282",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"283",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"284",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"285",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"286",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"287",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"288",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"289",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"290",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"291",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"292",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"293",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"294",144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"295",145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"296",146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"297",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"298",148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"299",149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"300",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"301",157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"302",267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"303",268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"304",269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"305",270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"306",271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"307",272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"308",273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"309",274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"310",275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"311",276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"312",277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"313",278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"314",279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"315",280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"316",281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
