"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8"
"53",7,1,4,11,1,1276,9,11,1,0,0,0,1,0,38604,794284,0,1.14988136135493,0.979770169387826,1,0.289,1,0,0,0.08,0.92,0,1,0.306,0
"54",17,1,4,7,7,7054,7,7,0,1,1,1,0,0,38556,794284,0,0.812019313833436,0.980989926834931,2,0.122,0.12,0.88,0.16,0.214,0.786,0,2,0.136,0
"55",39,1,4,7,3,2817,7,7,1,0,0,0,1,0,38556,794284,0,1.00767410734108,0.980989926834931,2,0.122,1,0,0,0,1,0,2,0.136,0
"56",52,1,4,9,5,753,9,9,1,0,0,0,1,0,38322,794284,0,1.07409120290361,0.986980001540828,5,0.372,0.92,0.08,0.04,0.045,0.955,0,5,0.364,0
"57",57,1,4,6,4,1182,13,6,1,0,0,0,1,0,38554,794284,0,1.0445758684042,0.981040815973637,4,0.939,1,0,0,0.133,0.867,0,4,0.913,0
"58",101,1,4,9,6,2902,6,9,1,0,0,0,1,0,38322,794284,0,0.897940449623655,0.986980001540828,5,0.372,0.29,0.709,0.161,0.053,0.947,0,5,0.364,0
"59",147,2,4,1,17,2181,1,1,0,1,1,0,1,0,41458,794284,0,0.955199828750855,0.912322051692016,17,0.955,0.484,0.516,0.226,0.062,0.938,0,17,0.96,0
"60",157,2,4,3,19,754,3,3,0,1,0,0,1,0,39946,794284,0,0.904706092736805,0.946854443975557,19,0.955,0.222,0.778,0.167,0.067,0.933,0,19,0.967,0
"61",183,3,4,15,11,7130,14,15,1,0,0,1,0,0,31311,794284,0,1.08010302184727,1.20797954773235,10,0.301,1,0,0,0.667,0.333,0,10,0.353,0
"62",185,3,4,15,10,3472,19,15,1,0,0,0,1,0,31311,794284,0,1.11270438982842,1.20797954773235,10,0.301,1,0,0,0.818,0.182,0,10,0.353,0
"63",187,3,4,12,9,1834,17,12,1,0,0,1,0,0,38775,794284,0,1.04489329849847,0.975449326087624,9,0.644,1,0,0,0.85,0.15,0,9,0.567,0
"64",216,3,4,17,8,1002,18,17,1,0,0,1,0,0,37573,794284,0,1.04023783330714,1.00665498147733,20,0.428,1,0,0,0.947,0.053,0,20,0.383,0
"65",250,3,4,14,12,3209,16,14,0,1,1,1,0,0,36484,794284,0,1.89351928005245,1.03670232482863,20,0.277,0.308,0.692,0.154,0.3,0.7,0,20,0.356,0
"66",261,3,4,14,20,1589,16,14,0,1,0,0,1,0,36484,794284,0,0.953369990145631,1.03670232482863,20,0.277,0.053,0.947,0.105,0.12,0.88,0,20,0.356,0
"67",273,10,4,4,14,3519,4,4,0,1,0,0,0,0,37535,794284,0,1.00767410734108,1.00767410734108,14,1,0.129,0.871,0.032,0.444,0.556,0,14,1,0
"68",303,4,4,21,15,951,11,21,1,0,0,0,1,0,41552,794284,0,0.929884391371791,0.910258173350203,15,0.979,0.63,0.37,0.074,0.05,0.95,0,15,0.926,0
"69",320,4,4,20,16,2002,12,20,0,1,1,0,1,0,41404,794284,0,0.894563695727339,0.913511922013516,16,0.979,0.212,0.788,0.152,0.261,0.739,0,16,0.929,0
"70",356,9,4,18,21,2711,21,18,0,1,0,0,1,0,42508,794284,0,0.889786572387494,0.889786572387494,21,1,0,1,0.037,0.133,0.867,0,21,1,0
"71",381,6,4,2,18,2426,2,2,0,1,1,0,1,0,37178,794284,0,1.01735025066027,1.01735025066027,18,1,0.077,0.923,0.179,0.333,0.667,0,18,1,0
"72",448,9,4,19,13,3785,20,19,0,1,1,0,1,0,42764,794284,0,0.884460004186877,0.884460004186877,13,1,0.581,0.42,0.097,0.125,0.875,0,13,1,0
"73",1,1,5,5,13,760,6,5,0,1,1,0,1,0,178285,2720963,0,1.22985158413908,0.953867052752615,12,0.427,0.548,0.452,0.185,0.039,0.961,0,12,0.41,1
"74",3,2,5,1,15,3083,5,1,1,0,0,0,1,0,140185,2720963,0,1.42548354987427,1.21311258337197,15,0.851,0.735,0.265,0.061,0,1,0,15,0.708,1
"75",42,3,5,5,14,3656,6,5,1,0,0,0,1,0,178285,2720963,0,1.19154851739746,0.953867052752615,12,0.427,0.512,0.489,0.163,0.203,0.797,0,12,0.41,1
"76",57,4,5,12,5,7004,7,12,0,1,1,0,1,0,154328,2720963,0,1.101939942849,1.101939942849,5,1,0.228,0.771,0.094,0.058,0.942,0,5,1,1
"77",81,5,5,5,12,593,6,5,0,1,1,0,1,0,178285,2720963,0,0.972166922008358,0.953867052752615,12,0.427,0.752,0.248,0.064,0.385,0.615,0,12,0.41,1
"78",110,7,5,4,11,1287,2,4,0,1,1,0,1,0,165596,2720963,0,0.952910320849023,1.0269583051523,10,0.494,0.632,0.368,0.103,0.442,0.558,0,10,0.443,1
"79",131,9,5,7,10,2483,3,7,1,0,0,0,1,0,187791,2720963,0,1.03687649379314,0.905582203087475,6,0.457,0.385,0.616,0.054,0,0.981,0.019,6,0.618,1
"80",257,17,5,7,6,1941,3,7,1,0,0,0,1,0,187791,2720963,0,0.72260874599519,0.905582203087475,6,0.457,0.238,0.762,0.164,0,1,0,6,0.618,1
"81",577,25,5,2,16,4421,8,2,0,1,1,0,1,0,184757,2720963,0,1.10233279640637,0.920453284584617,16,0.835,0.859,0.141,0.054,0.035,0.965,0,16,0.784,1
"82",730,30,5,14,4,2708,16,14,1,0,0,1,0,0,181490,2720963,0,0.988095843331842,0.93702235660367,1,0.713,0.966,0.034,0,0.493,0.507,0,1,0.7,1
"83",731,30,5,14,1,7970,16,14,1,0,0,1,0,0,181490,2720963,0,0.84284178767904,0.93702235660367,1,0.713,1,0,0,0.568,0.432,0,1,0.7,1
"84",834,30,5,15,2,3589,14,15,1,0,0,0,1,0,183016,2720963,0,0.853754373942598,0.929209399724614,2,0.345,0.688,0.312,0.016,0.1,0.9,0,2,0.199,1
"85",839,30,5,15,3,833,13,15,1,0,0,1,0,0,183016,2720963,0,1.11285737890507,0.929209399724614,2,0.345,1,0,0,0.25,0.75,0,2,0.199,1
"86",1172,35,5,8,9,4860,12,8,1,0,0,0,0,0,157633,2720963,0,0.85200494739479,1.07883620498246,9,0.324,1,0,0,0.571,0.429,0,9,0.283,1
"87",1218,35,5,9,8,1326,11,9,1,0,0,1,0,0,158244,2720963,0,1.25598365952733,1.07467068261672,8,0.572,1,0,0,0.438,0.562,0,8,0.65,1
