"","SECCION","munn.x","edon.x","disloc2018","disloc2010","escenario1","escenario2","escenario3_tribunal","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"149",1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"150",1058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"151",1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"152",1060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"153",1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"154",1062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"155",1063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"156",1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"157",1065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"158",1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"159",1067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"160",1068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"161",1069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"162",1070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"163",1071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"164",1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"165",1073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"166",1074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"167",1075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"168",1076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"169",1077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"170",1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"171",1079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"172",1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"173",1081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"174",1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"175",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"176",1372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"177",1373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"178",1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"179",1375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"180",1376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"181",1377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",1378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",1379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"184",1380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"185",1381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"186",1382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"187",1383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"188",1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",1385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"191",1387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"192",1388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"193",1389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"194",1390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"195",1391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"196",1392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"197",1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"198",1394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"199",1395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"200",1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"201",1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"202",1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"203",1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"204",1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"205",1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"206",2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"207",2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",2027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",2028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"210",2029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"211",2030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"212",2031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"213",2032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"214",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"215",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"216",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"217",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"218",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"219",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"220",155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"221",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"222",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"223",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"224",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"225",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"226",232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"227",233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"228",234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"229",235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"230",236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"231",237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"232",238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"233",239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"234",240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"235",241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"236",242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"237",243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"238",244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"239",245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"240",246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"241",247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"242",248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"243",249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"244",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"245",251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"246",252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"247",253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"248",254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"250",423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"251",424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"252",425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"253",426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"254",427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"255",428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"256",429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"257",430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"258",431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"259",759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"260",760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"261",788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"262",804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
