"","SECCION","munn.x","edon.x","disloc2017","disloc2013.x","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"37",599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"38",600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"39",601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"40",603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"41",604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"42",605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"43",606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"44",607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"45",608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"46",609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"47",610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"48",611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"49",612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"50",613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"51",614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"52",615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"53",616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"54",617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"55",618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"56",619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"57",620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"58",621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"59",622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"60",623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"61",624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"62",625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"63",626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"64",627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"65",628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"66",1726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"67",1727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"68",1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"69",1729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"70",1730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
