"","SECCION","munn.x","edon.x","edo","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"170",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"171",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"172",155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"173",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"174",157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"175",158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"176",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"177",160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"178",161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"179",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"180",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"181",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"182",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"184",167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"185",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"186",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"187",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"188",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"191",174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"192",175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"193",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"194",177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"195",178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"196",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"197",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"198",181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"199",182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"200",363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"201",364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"202",365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"203",366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"204",367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"205",368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"206",369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"207",370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"210",373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"211",374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"212",375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"213",376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"214",377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"215",378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"216",379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"217",380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"218",381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"219",382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"220",383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"221",384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"222",385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"223",386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"224",387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"225",388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"226",389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"227",390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"228",391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"229",392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"230",393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"231",394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"232",395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"233",396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"234",397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"235",398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"236",399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"237",400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"238",401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"239",402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"240",403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"241",404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"242",405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"243",406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"244",407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"245",408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"246",409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"247",410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"248",411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"250",440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"251",441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"252",442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"253",443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"254",444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"255",445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"256",446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"257",447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"258",413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"259",414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"260",415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"261",416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"262",417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"263",418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"264",419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"265",420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"266",421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"267",422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"268",423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"269",424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"270",425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"271",426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"272",427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"273",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"274",184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"275",185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"276",186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"277",187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"278",188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"279",189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"280",190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"281",191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"282",192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
