"","SECCION","munn.x","edon.x","disloc2018","disloc2012","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"123",891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"124",892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"125",893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"126",894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"127",895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"128",896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"129",897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"130",898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"131",899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"132",900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"133",901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"134",902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"135",903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"136",904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"137",905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"138",906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"139",907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"140",908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"141",909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"142",910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"143",911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"144",912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"147",915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"148",916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"149",917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"150",918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"151",919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"152",920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"153",921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"154",922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"155",923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"156",924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"157",925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"158",926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"159",927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"160",928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"161",929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"162",930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"163",931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"164",932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"165",933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"166",934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"167",935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"168",936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"169",937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"170",938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"171",939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"172",940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"173",941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"174",942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"175",943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"176",944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"177",945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"178",946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"179",947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"180",948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"181",949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"184",952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"185",953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"186",1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"187",1090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"188",1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"189",1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"190",1093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"191",1094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"192",1095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"193",1096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"194",1097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"195",1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"196",1099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"197",1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"198",1101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"199",1102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"200",1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"201",1104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"202",1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"203",1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"204",1107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"205",1108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"206",1109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"207",1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",1111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"210",1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"211",1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"212",1115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"213",1116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"214",1117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"215",1118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"216",1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"217",1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"218",1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"219",1122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"220",1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"221",1124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"222",1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"223",1126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"224",1127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"225",1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"226",1129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"227",1130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"228",1131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"229",1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"230",1133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"231",46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"232",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"233",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"234",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"235",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"236",52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"237",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"238",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"239",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"240",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
