"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"87",907,5,9,"df",1,1,12,12,12,1238,0.752,0.818982423557729,0.066982423557729,0,0,0
"88",908,5,9,"df",1,1,12,12,12,1705,0.752,0.818982423557729,0.066982423557729,0,0,0
"89",909,5,9,"df",1,1,12,12,12,2823,0.752,0.818982423557729,0.066982423557729,0,0,0
"90",910,5,9,"df",1,2,12,12,12,2844,0.752,0.818982423557729,0.066982423557729,0,0,0
"91",911,5,9,"df",1,1,12,12,12,1839,0.752,0.818982423557729,0.066982423557729,0,0,0
"92",912,5,9,"df",1,2,12,12,12,1712,0.752,0.818982423557729,0.066982423557729,0,0,0
"93",913,5,9,"df",1,1,12,12,12,1838,0.752,0.818982423557729,0.066982423557729,0,0,0
"94",914,5,9,"df",1,1,12,12,12,1537,0.752,0.818982423557729,0.066982423557729,0,0,0
"95",915,5,9,"df",1,1,12,12,12,1826,0.752,0.818982423557729,0.066982423557729,0,0,0
"96",916,5,9,"df",1,1,12,12,12,1442,0.752,0.818982423557729,0.066982423557729,0,0,0
"97",917,5,9,"df",1,1,12,12,12,1528,0.752,0.818982423557729,0.066982423557729,0,0,0
"98",918,5,9,"df",1,1,12,12,12,1644,0.752,0.818982423557729,0.066982423557729,0,0,0
"99",919,5,9,"df",1,1,12,12,12,1426,0.752,0.818982423557729,0.066982423557729,0,0,0
"100",920,5,9,"df",1,1,12,12,12,1601,0.752,0.818982423557729,0.066982423557729,0,0,0
"101",921,5,9,"df",1,1,12,12,12,1328,0.752,0.818982423557729,0.066982423557729,0,0,0
"102",922,5,9,"df",1,1,12,12,12,1595,0.752,0.818982423557729,0.066982423557729,0,0,0
"103",923,5,9,"df",1,2,12,12,12,2160,0.752,0.818982423557729,0.066982423557729,0,0,0
"104",924,5,9,"df",1,2,12,12,12,1513,0.752,0.818982423557729,0.066982423557729,0,0,0
"105",925,5,9,"df",1,2,12,12,12,1714,0.752,0.818982423557729,0.066982423557729,0,0,0
"106",926,5,9,"df",1,2,12,12,12,1802,0.752,0.818982423557729,0.066982423557729,0,0,0
"107",927,5,9,"df",1,2,12,12,12,2026,0.752,0.818982423557729,0.066982423557729,0,0,0
"108",928,5,9,"df",1,1,12,12,12,3448,0.752,0.818982423557729,0.066982423557729,0,0,0
