"","seccion","munn","edon","dis_nueva","dis_anterior","pob_total","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_anterior","RRI_nueva","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","dcrit8","dist2015","dist2017","elec_cong_2016","elec_cong_2017","elec_cong_2018","elec_cong_2019","PANgob_antes","PRIgob_antes","PRDgob_antes","PVEMgob_antes","MCgob_antes","Indgob_antes","PANgob_despues","PRIgob_despues","PRDgob_despues","Morenagob_despues","MCgob_despues","Indgob_despues","PESgob_despues","PANcong_antes","PRIcong_antes","PRDcong_antes","PVEMcong_antes","MCcong_antes","PANcong_despues","PRIcong_despues","MCcong_despues","PENDIENTEcong_despues","Morenacong_despues","PANgober_2antes","PRIgober_2antes","PRDgober_2antes"
"27",694,3,2,6,7,1939,12,12,1,0,0,1,0,0,182656,3013030,0,1.75626563238631,0.970332531225525,12,1,0.463,0.537,0.241,0.71,0.29,0,12,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"28",735,4,2,11,8,2750,16,16,1,0,0,1,0,0,187447,3013030,0,0.753091443336744,0.945531583986564,16,1,0.936,0.064,0.014,0.734,0.266,0,16,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"29",739,4,2,10,8,1284,11,11,1,0,0,1,0,0,183897,3013030,0,0.753091443336744,0.963784394653145,11,1,0.936,0.064,0.014,0.734,0.266,0,11,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"30",869,4,2,9,12,563,13,13,1,0,0,1,0,0,186379,3013030,0,1.61362241504333,0.950949725148914,13,1,1,0,0,0.802,0.198,0,13,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"31",964,4,2,8,10,1067,17,17,1,0,0,1,0,0,184039,3013030,0,1.02149214343736,0.96304076214025,17,1,1,0,0,0.882,0.118,0,17,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"32",966,4,2,12,10,1247,9,9,1,0,0,1,0,0,152043,3013030,0,1.02149214343736,1.16570351034595,9,1,1,0,0,0.882,0.118,0,9,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"33",1005,4,2,13,10,1120,14,14,1,0,0,1,0,0,173567,3013030,0,1.02149214343736,1.0211449113226,14,1,1,0,0,0.882,0.118,0,14,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"34",1049,4,2,7,13,7721,10,10,1,0,0,1,0,0,184391,3013030,0,0.326185965937127,0.961202329959322,10,1,0.915,0.086,0.017,0.952,0.048,0,10,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"35",1158,4,2,14,13,3528,15,15,1,0,0,1,0,0,184147,3013030,0,0.326185965937127,0.962475950319741,15,1,0.915,0.086,0.017,0.952,0.048,0,15,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"36",1,1,3,4,9,864,4,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,4,0.308,0.56,0.44,0.2,0,0,1,4,0.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"37",3,1,3,4,9,2154,2,4,1,0,0,0,0,1,34508,573075,0,1.94373405871819,1.0379386663962,4,0.308,0.56,0.44,0.2,0,0,1,4,0.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"38",48,1,3,4,11,1536,3,4,0,1,0,0,0,0,34508,573075,0,1.59912436378248,1.0379386663962,4,0.308,0.188,0.812,0.25,0.25,0.375,0.375,4,0.35,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"39",75,2,3,1,13,1123,1,1,0,1,1,0,0,0,37873,573075,0,1.8817477934223,0.945718255749479,3,0.23,0.429,0.571,0.19,0,0.333,0.667,3,0.233,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"40",121,3,3,12,1,1400,12,12,0,1,1,0,0,0,42012,573075,0,0.829524005280467,0.852546593830334,12,1,0.9,0.1,0.05,0,0.036,0.964,12,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"41",122,3,3,11,1,949,11,11,1,0,0,0,1,0,41988,573075,0,0.829524005280467,0.853033902543584,11,1,0.9,0.1,0.05,0,0.036,0.964,11,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"42",175,3,3,16,2,1638,16,16,1,0,0,0,0,0,34891,573075,0,1.54891833160353,1.02654516924135,16,1,1,0,0,0,0.182,0.818,16,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"43",184,3,3,15,3,295,15,15,1,0,0,0,0,1,28064,573075,0,1.41090315528244,1.27626808366591,15,1,0.917,0.084,0.042,0,0.333,0.667,15,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"44",186,3,3,13,3,1024,13,13,1,0,0,0,0,0,41050,573075,0,1.41090315528244,0.872525883069428,13,1,0.917,0.084,0.042,0,0.333,0.667,13,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"45",290,4,3,9,16,1536,9,9,0,1,1,1,0,0,39517,573075,0,1.13471210201172,0.906374155426778,9,1,0.6,0.4,0.2,0.571,0,0.429,9,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"46",291,4,3,8,16,2167,8,8,1,0,0,0,0,1,39810,573075,0,1.13471210201172,0.899703278070836,8,1,0.6,0.4,0.2,0.571,0,0.429,8,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"47",299,4,3,10,7,1467,10,10,1,0,0,0,0,1,39701,573075,0,0.385794781344248,0.902173433918541,10,1,0.6,0.4,0.1,0,0.111,0.889,10,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"48",317,4,3,5,16,1785,5,5,1,0,0,1,0,0,39801,573075,0,1.13471210201172,0.89990672344916,5,1,0.6,0.4,0.2,0.571,0,0.429,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"49",332,4,3,6,8,11664,6,6,1,0,0,1,0,0,40006,573075,0,0.313998557877757,0.895295393191021,6,1,0.877,0.123,0.055,0.429,0,0.571,6,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"50",355,4,3,7,8,1833,7,7,1,0,0,0,0,0,39638,573075,0,0.313998557877757,0.903607333871537,7,1,0.877,0.123,0.055,0.429,0,0.571,7,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"51",1,1,4,11,2,730,9,11,1,0,0,0,1,0,38604,794284,0,0.990884378691876,0.979770169387826,9,0.452,1,0,0,0.273,0.727,0,9,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"52",4,1,4,5,2,14373,10,5,1,0,0,0,0,0,37942,794284,0,0.990884378691876,0.996864889016067,10,1,1,0,0,0.273,0.727,0,10,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"53",17,1,4,7,7,7054,7,7,0,1,1,1,0,0,38556,794284,0,0.812019313833436,0.980989926834931,7,0.723,0.12,0.88,0.16,0.214,0.786,0,7,0.5,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"54",42,1,4,8,3,1330,5,8,1,0,0,0,1,0,38563,794284,0,1.00767410734108,0.980811856418007,5,0.795,1,0,0,0,1,0,5,0.7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"55",53,1,4,9,5,1229,6,9,1,0,0,0,1,0,38322,794284,0,1.07409120290361,0.986980001540828,6,0.708,0.92,0.08,0.04,0.045,0.955,0,6,0.538,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"56",56,1,4,6,5,1053,13,6,1,0,0,0,1,0,38554,794284,0,1.07409120290361,0.981040815973637,13,0.966,0.92,0.08,0.04,0.045,0.955,0,13,0.957,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"57",89,1,4,10,5,1147,12,10,1,0,0,0,1,0,38182,794284,0,1.07409120290361,0.990598910980242,12,0.305,0.92,0.08,0.04,0.045,0.955,0,12,0.326,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"58",136,1,4,10,6,348,8,10,0,1,0,0,1,0,38182,794284,0,0.897940449623655,0.990598910980242,12,0.305,0.29,0.709,0.161,0.053,0.947,0,12,0.326,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"59",147,2,4,1,17,2181,1,1,0,1,1,0,1,0,41458,794284,0,0.955199828750855,0.912322051692016,1,0.735,0.484,0.516,0.226,0.062,0.938,0,1,0.733,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"60",157,2,4,3,19,754,3,3,0,1,0,0,1,0,39946,794284,0,0.904706092736805,0.946854443975557,3,0.664,0.222,0.778,0.167,0.067,0.933,0,3,0.649,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"61",172,2,4,1,17,1908,2,1,0,1,0,0,1,0,41458,794284,0,0.955199828750855,0.912322051692016,1,0.735,0.484,0.516,0.226,0.062,0.938,0,1,0.733,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"62",183,3,4,15,11,7130,14,15,1,0,0,1,0,0,31311,794284,0,1.08010302184727,1.20797954773235,19,0.52,1,0,0,0.667,0.333,0,19,0.571,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"63",184,3,4,15,11,6256,19,15,1,0,0,1,0,0,31311,794284,0,1.08010302184727,1.20797954773235,19,0.52,1,0,0,0.667,0.333,0,19,0.571,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"64",187,3,4,12,9,1834,17,12,1,0,0,1,0,0,38775,794284,0,1.04489329849847,0.975449326087624,17,0.666,1,0,0,0.85,0.15,0,17,0.6,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"65",216,3,4,17,8,1002,18,17,1,0,0,1,0,0,37573,794284,0,1.04023783330714,1.00665498147733,14,0.518,1,0,0,0.947,0.053,0,14,0.562,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"66",230,3,4,13,11,8216,15,13,1,0,0,0,1,0,18832,794284,0,1.08010302184727,2.00844560424,15,1,1,0,0,0.667,0.333,0,15,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"67",250,3,4,14,12,3209,16,14,0,1,1,1,0,0,36484,794284,0,1.89351928005245,1.03670232482863,16,1,0.308,0.692,0.154,0.3,0.7,0,16,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
