"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3","pobtot","dsiSQ_E3","dsi_pob","dif","rural","urbano","mixto"
"100",1569,44,14,"jal",3,1,2,3,3,533,0.991,0.993118838450891,0.002118838450891,1,0,0
"101",1570,44,14,"jal",3,1,2,3,3,218,0.991,0.993118838450891,0.002118838450891,1,0,0
"102",1571,44,14,"jal",3,1,2,3,3,187,0.991,0.993118838450891,0.002118838450891,1,0,0
"103",1572,44,14,"jal",3,1,2,3,3,1456,0.991,0.993118838450891,0.002118838450891,1,0,0
"104",1602,47,14,"jal",3,1,2,3,3,1708,0.991,0.993118838450891,0.002118838450891,0,0,0
"105",1603,47,14,"jal",3,1,2,3,3,1862,0.991,0.993118838450891,0.002118838450891,0,0,1
"106",1604,47,14,"jal",3,1,2,3,3,3358,0.991,0.993118838450891,0.002118838450891,0,0,1
"107",1605,47,14,"jal",3,1,2,3,3,1691,0.991,0.993118838450891,0.002118838450891,0,0,1
"108",1606,47,14,"jal",3,1,2,3,3,1343,0.991,0.993118838450891,0.002118838450891,1,0,0
"109",1607,47,14,"jal",3,1,2,3,3,1506,0.991,0.993118838450891,0.002118838450891,1,0,0
"110",1608,47,14,"jal",3,1,2,3,3,1470,0.991,0.993118838450891,0.002118838450891,1,0,0
"111",1609,47,14,"jal",3,1,2,3,3,2442,0.991,0.993118838450891,0.002118838450891,1,0,0
"112",1610,47,14,"jal",3,1,2,3,3,1427,0.991,0.993118838450891,0.002118838450891,1,0,0
"113",1611,47,14,"jal",3,1,2,3,3,944,0.991,0.993118838450891,0.002118838450891,0,0,1
"114",1612,47,14,"jal",3,1,2,3,3,966,0.991,0.993118838450891,0.002118838450891,0,0,1
"115",1782,57,14,"jal",3,1,2,3,3,2018,0.991,0.993118838450891,0.002118838450891,0,0,1
"116",1783,57,14,"jal",3,1,2,3,3,2244,0.991,0.993118838450891,0.002118838450891,0,0,1
"117",1784,57,14,"jal",3,1,2,3,3,4951,0.991,0.993118838450891,0.002118838450891,0,0,0
"118",1785,57,14,"jal",3,1,2,3,3,2785,0.991,0.993118838450891,0.002118838450891,0,0,1
"119",1786,57,14,"jal",3,1,2,3,3,1451,0.991,0.993118838450891,0.002118838450891,0,0,0
"120",1787,57,14,"jal",3,1,2,3,3,2150,0.991,0.993118838450891,0.002118838450891,0,0,0
"121",1788,57,14,"jal",3,1,2,3,3,1701,0.991,0.993118838450891,0.002118838450891,0,0,1
"122",1789,57,14,"jal",3,1,2,3,3,1463,0.991,0.993118838450891,0.002118838450891,1,0,0
"123",1790,57,14,"jal",3,1,2,3,3,977,0.991,0.993118838450891,0.002118838450891,1,0,0
"124",1791,57,14,"jal",3,1,2,3,3,1580,0.991,0.993118838450891,0.002118838450891,1,0,0
"125",1831,63,14,"jal",3,1,2,3,3,1398,0.991,0.993118838450891,0.002118838450891,0,0,1
"126",1832,63,14,"jal",3,1,2,3,3,1182,0.991,0.993118838450891,0.002118838450891,0,0,0
"127",1833,63,14,"jal",3,1,2,3,3,157,0.991,0.993118838450891,0.002118838450891,1,0,0
"128",1834,63,14,"jal",3,1,2,3,3,549,0.991,0.993118838450891,0.002118838450891,1,0,0
"129",1835,63,14,"jal",3,1,2,3,3,510,0.991,0.993118838450891,0.002118838450891,1,0,0
"130",1837,63,14,"jal",3,1,2,3,3,3715,0.991,0.993118838450891,0.002118838450891,1,0,0
"131",1838,63,14,"jal",3,1,2,3,3,3519,0.991,0.993118838450891,0.002118838450891,1,0,0
"132",1839,63,14,"jal",3,1,2,3,3,7233,0.991,0.993118838450891,0.002118838450891,1,0,0
"133",2050,73,14,"jal",3,1,2,3,3,1262,0.991,0.993118838450891,0.002118838450891,0,0,1
"134",2051,73,14,"jal",3,1,2,3,3,310,0.991,0.993118838450891,0.002118838450891,1,0,0
"135",2052,73,14,"jal",3,1,2,3,3,972,0.991,0.993118838450891,0.002118838450891,1,0,0
"136",2053,73,14,"jal",3,1,2,3,3,310,0.991,0.993118838450891,0.002118838450891,1,0,0
"137",2054,73,14,"jal",3,1,2,3,3,377,0.991,0.993118838450891,0.002118838450891,1,0,0
"138",2107,77,14,"jal",3,1,2,3,3,1678,0.991,0.993118838450891,0.002118838450891,0,0,1
"139",2108,77,14,"jal",3,1,2,3,3,1912,0.991,0.993118838450891,0.002118838450891,0,0,1
"140",2110,78,14,"jal",3,1,2,3,3,1377,0.991,0.993118838450891,0.002118838450891,0,0,0
"141",2111,78,14,"jal",3,1,2,3,3,1348,0.991,0.993118838450891,0.002118838450891,0,0,1
"142",2112,78,14,"jal",3,1,2,3,3,401,0.991,0.993118838450891,0.002118838450891,1,0,0
"143",2113,78,14,"jal",3,1,2,3,3,148,0.991,0.993118838450891,0.002118838450891,1,0,0
"144",2114,78,14,"jal",3,1,2,3,3,131,0.991,0.993118838450891,0.002118838450891,1,0,0
"145",2157,82,14,"jal",3,1,2,3,3,562,0.991,0.993118838450891,0.002118838450891,0,0,1
"146",2158,82,14,"jal",3,1,2,3,3,1178,0.991,0.993118838450891,0.002118838450891,0,0,1
"147",2159,82,14,"jal",3,1,2,3,3,519,0.991,0.993118838450891,0.002118838450891,0,0,1
"148",2160,82,14,"jal",3,1,2,3,3,919,0.991,0.993118838450891,0.002118838450891,1,0,0
"149",2161,82,14,"jal",3,1,2,3,3,548,0.991,0.993118838450891,0.002118838450891,1,0,0
"150",2181,84,14,"jal",3,1,8,4,3,2790,0.991,0.993118838450891,0.002118838450891,0,0,0
"151",2182,84,14,"jal",3,1,8,4,3,5484,0.991,0.993118838450891,0.002118838450891,0,0,0
"152",2183,84,14,"jal",3,1,8,4,3,1157,0.991,0.993118838450891,0.002118838450891,0,0,1
"153",2184,84,14,"jal",3,1,8,4,3,1228,0.991,0.993118838450891,0.002118838450891,0,0,0
"154",2185,84,14,"jal",3,1,8,4,3,2303,0.991,0.993118838450891,0.002118838450891,0,0,0
"155",2186,84,14,"jal",3,1,8,4,3,1479,0.991,0.993118838450891,0.002118838450891,0,0,0
"156",2187,84,14,"jal",3,1,8,4,3,3925,0.991,0.993118838450891,0.002118838450891,0,0,0
"157",2188,84,14,"jal",3,1,8,4,3,1633,0.991,0.993118838450891,0.002118838450891,0,0,0
"158",2189,84,14,"jal",3,1,8,4,3,3419,0.991,0.993118838450891,0.002118838450891,0,0,0
"159",2190,84,14,"jal",3,1,8,4,3,2281,0.991,0.993118838450891,0.002118838450891,0,0,0
"160",2191,84,14,"jal",3,1,8,4,3,1410,0.991,0.993118838450891,0.002118838450891,0,0,0
"161",2192,84,14,"jal",3,1,8,4,3,1131,0.991,0.993118838450891,0.002118838450891,0,0,1
"162",2193,84,14,"jal",3,1,8,4,3,1303,0.991,0.993118838450891,0.002118838450891,0,0,0
"163",2194,84,14,"jal",3,1,8,4,3,2244,0.991,0.993118838450891,0.002118838450891,0,0,0
"164",2195,84,14,"jal",3,1,8,4,3,845,0.991,0.993118838450891,0.002118838450891,0,0,0
"165",2196,84,14,"jal",3,1,8,4,3,1739,0.991,0.993118838450891,0.002118838450891,0,0,0
"166",2197,84,14,"jal",3,1,8,4,3,997,0.991,0.993118838450891,0.002118838450891,0,0,0
"167",2198,84,14,"jal",3,1,8,4,3,2470,0.991,0.993118838450891,0.002118838450891,0,0,0
"168",2199,84,14,"jal",3,1,8,4,3,1673,0.991,0.993118838450891,0.002118838450891,0,0,0
"169",2200,84,14,"jal",3,1,8,4,3,2123,0.991,0.993118838450891,0.002118838450891,0,0,1
"170",2201,84,14,"jal",3,1,8,4,3,1017,0.991,0.993118838450891,0.002118838450891,0,0,0
"171",2202,84,14,"jal",3,1,8,4,3,1359,0.991,0.993118838450891,0.002118838450891,0,0,1
"172",2203,84,14,"jal",3,1,8,4,3,7905,0.991,0.993118838450891,0.002118838450891,0,0,1
"173",2204,84,14,"jal",3,1,8,4,3,1786,0.991,0.993118838450891,0.002118838450891,1,0,0
"174",2205,84,14,"jal",3,1,8,4,3,2424,0.991,0.993118838450891,0.002118838450891,1,0,0
"175",2206,84,14,"jal",3,1,8,4,3,2152,0.991,0.993118838450891,0.002118838450891,0,0,1
"176",2207,84,14,"jal",3,1,8,4,3,2107,0.991,0.993118838450891,0.002118838450891,0,0,0
"177",2208,84,14,"jal",3,1,8,4,3,2065,0.991,0.993118838450891,0.002118838450891,1,0,0
"178",2209,84,14,"jal",3,1,8,4,3,1412,0.991,0.993118838450891,0.002118838450891,1,0,0
"179",2210,84,14,"jal",3,1,8,4,3,4551,0.991,0.993118838450891,0.002118838450891,0,0,1
"180",2211,84,14,"jal",3,1,8,4,3,807,0.991,0.993118838450891,0.002118838450891,1,0,0
"181",2396,95,14,"jal",3,1,2,3,3,4316,0.991,0.993118838450891,0.002118838450891,0,0,1
"182",2397,95,14,"jal",3,1,2,3,3,487,0.991,0.993118838450891,0.002118838450891,0,0,0
"183",2398,95,14,"jal",3,1,2,3,3,1068,0.991,0.993118838450891,0.002118838450891,0,0,0
"184",2399,95,14,"jal",3,1,2,3,3,1107,0.991,0.993118838450891,0.002118838450891,0,0,1
"185",2400,95,14,"jal",3,1,2,3,3,4871,0.991,0.993118838450891,0.002118838450891,0,0,1
"186",2401,95,14,"jal",3,1,2,3,3,2140,0.991,0.993118838450891,0.002118838450891,0,0,0
"187",2402,95,14,"jal",3,1,2,3,3,1241,0.991,0.993118838450891,0.002118838450891,0,0,0
"188",2403,95,14,"jal",3,1,2,3,3,1269,0.991,0.993118838450891,0.002118838450891,0,0,0
"189",2404,95,14,"jal",3,1,2,3,3,1662,0.991,0.993118838450891,0.002118838450891,0,0,0
"190",2405,95,14,"jal",3,1,2,3,3,1823,0.991,0.993118838450891,0.002118838450891,0,0,1
"191",2406,95,14,"jal",3,1,2,3,3,3102,0.991,0.993118838450891,0.002118838450891,0,0,1
"192",2407,95,14,"jal",3,1,2,3,3,4696,0.991,0.993118838450891,0.002118838450891,0,0,1
"193",2408,95,14,"jal",3,1,2,3,3,3235,0.991,0.993118838450891,0.002118838450891,0,0,0
"194",2409,95,14,"jal",3,1,2,3,3,442,0.991,0.993118838450891,0.002118838450891,1,0,0
"195",2410,95,14,"jal",3,1,2,3,3,599,0.991,0.993118838450891,0.002118838450891,1,0,0
"196",2411,95,14,"jal",3,1,2,3,3,454,0.991,0.993118838450891,0.002118838450891,1,0,0
"197",2412,95,14,"jal",3,1,2,3,3,2433,0.991,0.993118838450891,0.002118838450891,0,0,1
"198",2413,95,14,"jal",3,1,2,3,3,1755,0.991,0.993118838450891,0.002118838450891,0,0,1
"199",2414,95,14,"jal",3,1,2,3,3,659,0.991,0.993118838450891,0.002118838450891,1,0,0
"200",2415,95,14,"jal",3,1,2,3,3,1278,0.991,0.993118838450891,0.002118838450891,1,0,0
"201",2416,95,14,"jal",3,1,2,3,3,567,0.991,0.993118838450891,0.002118838450891,1,0,0
