"","SECCION","munn.x","edon.x","disloc2017","disloc2015","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"177",733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"178",734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"179",735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"180",736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"181",737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"183",739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"184",740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"185",741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"186",742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"187",1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"188",1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"189",1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"190",1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"191",1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"192",1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"193",1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"194",1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"195",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"196",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"197",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"198",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"199",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"200",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"201",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"202",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"203",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"204",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"205",13,2,26,7,7,4,4,4,1422,1,0.647024111074616,0.352975888925384,0,0,0
"206",13,2,26,7,7,4,4,4,5385,1,0.519352532938594,0.480647467061406,0,0,0
"207",13,2,26,7,7,4,4,4,2564,1,0.558775244299674,0.441224755700326,0,0,0
"208",13,2,26,7,7,4,4,4,2261,1,0.616422579490452,0.383577420509548,0,0,0
"209",13,2,26,7,7,4,4,4,2696,1,1,0,0,0,0
"210",13,2,26,7,7,4,4,4,2734,1,1,0,0,0,0
"211",13,2,26,7,7,4,4,4,2786,1,0.519352532938594,0.480647467061406,0,0,0
"212",13,2,26,7,7,4,4,4,1298,1,1,0,0,0,0
"213",13,2,26,7,7,4,4,4,2668,1,0.558775244299674,0.441224755700326,0,0,0
"214",13,2,26,7,7,4,4,4,1723,1,0.869223717654902,0.130776282345098,0,0,0
"215",13,2,26,7,7,4,4,4,3077,1,0.507186982678564,0.492813017321436,0,0,0
"216",13,2,26,7,7,4,4,4,1969,1,1,0,0,0,0
"217",13,2,26,7,7,4,4,4,3167,1,0.869223717654902,0.130776282345098,0,0,0
"218",13,2,26,7,7,4,4,4,1153,1,1,0,0,0,0
"219",13,2,26,7,7,4,4,4,14321,1,1,0,0,0,0
"220",13,2,26,7,7,4,4,4,1715,1,1,0,0,0,0
