"","SECCION","munn.x","edon.x","edo.x","disloc2018.x","disloc2012.x","escenario1","escenario2","escenario3_jge","pobtot","dsiSQ_E1","dsi_pob","dif","rural","urbano","mixto"
"40",227,7,17,"mor",1,2,8,8,8,1952,0.33,0.403471711976488,0.073471711976488,0,0,0
"41",228,7,17,"mor",1,2,8,8,8,2067,0.33,0.403471711976488,0.073471711976488,0,0,0
"42",229,7,17,"mor",1,2,8,8,8,693,0.33,0.403471711976488,0.073471711976488,0,0,0
"43",230,7,17,"mor",1,2,8,8,8,2183,0.33,0.403471711976488,0.073471711976488,0,0,0
"44",231,7,17,"mor",1,1,8,8,8,1057,0.33,0.403471711976488,0.073471711976488,0,0,0
"45",232,7,17,"mor",1,1,8,8,8,1905,0.33,0.403471711976488,0.073471711976488,0,0,0
"46",233,7,17,"mor",1,1,8,8,8,1060,0.33,0.403471711976488,0.073471711976488,0,0,0
"47",234,7,17,"mor",1,1,8,8,8,871,0.33,0.403471711976488,0.073471711976488,0,0,0
"48",235,7,17,"mor",1,1,8,8,8,0,0.33,0.403471711976488,0.073471711976488,0,0,0
"49",236,7,17,"mor",1,1,8,8,8,194,0.33,0.403471711976488,0.073471711976488,0,0,0
"50",237,7,17,"mor",1,1,8,8,8,1208,0.33,0.403471711976488,0.073471711976488,0,0,0
"51",238,7,17,"mor",2,1,10,10,9,1513,0.342,0.335320290831181,0.00667970916881905,0,0,0
"52",239,7,17,"mor",2,1,10,10,9,10694,0.342,0.335320290831181,0.00667970916881905,0,0,0
"53",240,7,17,"mor",2,1,10,10,9,2982,0.342,0.335320290831181,0.00667970916881905,0,0,0
"54",241,7,17,"mor",2,1,10,10,9,1535,0.342,0.335320290831181,0.00667970916881905,0,0,0
"55",242,7,17,"mor",2,1,10,10,9,2161,0.342,0.335320290831181,0.00667970916881905,0,0,0
"56",243,7,17,"mor",2,1,10,10,9,529,0.342,0.335320290831181,0.00667970916881905,0,0,0
"57",244,7,17,"mor",2,3,10,10,9,1242,0.342,0.335320290831181,0.00667970916881905,0,0,0
"58",245,7,17,"mor",1,3,8,8,8,1052,0.33,0.403471711976488,0.073471711976488,0,0,0
"59",246,7,17,"mor",1,3,8,8,8,645,0.33,0.403471711976488,0.073471711976488,0,0,0
"60",247,7,17,"mor",1,3,8,8,8,2997,0.33,0.403471711976488,0.073471711976488,0,0,0
"61",248,7,17,"mor",1,3,8,8,8,1724,0.33,0.403471711976488,0.073471711976488,0,0,0
"62",249,7,17,"mor",1,3,8,8,8,639,0.33,0.403471711976488,0.073471711976488,0,0,0
"63",250,7,17,"mor",1,3,8,8,8,1122,0.33,0.403471711976488,0.073471711976488,0,0,0
"64",251,7,17,"mor",1,2,8,8,8,1058,0.33,0.403471711976488,0.073471711976488,0,0,0
"65",252,7,17,"mor",1,2,8,8,8,1176,0.33,0.403471711976488,0.073471711976488,0,0,0
"66",253,7,17,"mor",1,2,8,8,8,1439,0.33,0.403471711976488,0.073471711976488,0,0,0
"67",254,7,17,"mor",1,2,8,8,8,1655,0.33,0.403471711976488,0.073471711976488,0,0,0
"68",255,7,17,"mor",1,2,8,8,8,2817,0.33,0.403471711976488,0.073471711976488,0,0,0
"69",256,7,17,"mor",3,2,9,9,10,2520,0.171,0.129603635218428,0.041396364781572,0,0,0
"70",257,7,17,"mor",3,2,9,9,10,6776,0.171,0.129603635218428,0.041396364781572,0,0,0
"71",258,7,17,"mor",3,2,9,9,10,867,0.171,0.129603635218428,0.041396364781572,0,0,0
"72",259,7,17,"mor",3,2,9,9,10,692,0.171,0.129603635218428,0.041396364781572,0,0,0
"73",260,7,17,"mor",3,2,9,9,10,965,0.171,0.129603635218428,0.041396364781572,0,0,0
"74",261,7,17,"mor",3,2,9,9,10,742,0.171,0.129603635218428,0.041396364781572,0,0,0
"75",262,7,17,"mor",1,2,8,8,8,1157,0.33,0.403471711976488,0.073471711976488,0,0,0
"76",263,7,17,"mor",1,2,8,8,8,1477,0.33,0.403471711976488,0.073471711976488,0,0,0
"77",264,7,17,"mor",1,2,8,8,8,1085,0.33,0.403471711976488,0.073471711976488,0,0,0
"78",265,7,17,"mor",1,2,8,8,8,760,0.33,0.403471711976488,0.073471711976488,0,0,0
"79",266,7,17,"mor",1,3,8,8,8,847,0.33,0.403471711976488,0.073471711976488,0,0,0
"80",267,7,17,"mor",1,3,8,8,8,1667,0.33,0.403471711976488,0.073471711976488,0,0,0
"81",268,7,17,"mor",1,3,8,8,8,1318,0.33,0.403471711976488,0.073471711976488,0,0,0
"82",269,7,17,"mor",1,3,8,8,8,1023,0.33,0.403471711976488,0.073471711976488,0,0,0
"83",270,7,17,"mor",1,3,8,8,8,928,0.33,0.403471711976488,0.073471711976488,0,0,0
"84",271,7,17,"mor",2,3,10,10,9,1148,0.342,0.335320290831181,0.00667970916881905,0,0,0
