"","edon.x","dis_old.x","esc3","dsi_SQ_E3_sec","edon.y","dis_new","dis_old.y","esc1","dsi_SQ_E3_pob","pob_total","dif"
"118",5,3,14,0.199,5,15,3,13,0.34527350225792,833,0.14627350225792
"119",5,9,7,0.283,5,8,9,12,0.323653866105438,4860,0.040653866105438
"120",5,8,10,0.65,5,9,8,11,0.572416156618312,1326,0.077583843381688
"121",5,7,9,0.15,5,11,7,9,0.244798379990393,2197,0.094798379990393
"122",6,1,11,0.581,6,6,1,15,0.484284030431832,5884,0.096715969568168
"123",6,6,11,0.581,6,6,1,15,0.484284030431832,5884,0.096715969568168
"124",6,2,12,0.5,6,2,2,16,0.381246950307724,1916,0.118753049692276
"125",6,5,12,0.5,6,2,2,16,0.381246950307724,1916,0.118753049692276
"126",6,2,12,0.5,6,2,5,16,0.381246950307724,295,0.118753049692276
"127",6,5,12,0.5,6,2,5,16,0.381246950307724,295,0.118753049692276
"128",6,3,9,0.308,6,1,3,16,0.297778429503629,906,0.010221570496371
"129",6,4,14,0.419,6,4,4,1,0.343164947776391,2841,0.075835052223609
"130",6,1,11,0.581,6,6,6,15,0.484284030431832,2463,0.096715969568168
"131",6,6,11,0.581,6,6,6,15,0.484284030431832,2463,0.096715969568168
"132",6,7,15,0.579,6,7,7,4,0.677612244897959,7725,0.0986122448979591
"133",6,8,16,0.683,6,8,8,5,0.744193359047459,3320,0.0611933590474589
"134",6,9,1,0.636,6,9,9,2,0.620295873345445,2457,0.015704126654555
"135",6,13,4,0.857,6,13,13,8,0.767192008879023,463,0.089807991120977
"136",6,14,2,0.485,6,14,14,7,0.253775632224634,572,0.231224367775366
"137",6,11,2,0.485,6,14,14,7,0.253775632224634,572,0.231224367775366
"138",6,14,2,0.485,6,14,11,7,0.253775632224634,2221,0.231224367775366
"139",6,11,2,0.485,6,14,11,7,0.253775632224634,2221,0.231224367775366
"140",6,12,3,0.176,6,12,12,8,0.24805231988668,721,0.07205231988668
"141",6,10,6,0.333,6,10,10,10,0.310306514761384,4006,0.022693485238616
"142",6,15,6,0.333,6,10,10,10,0.310306514761384,4006,0.022693485238616
"143",6,10,6,0.333,6,10,15,10,0.310306514761384,10229,0.022693485238616
"144",6,15,6,0.333,6,10,15,10,0.310306514761384,10229,0.022693485238616
"145",6,16,7,0.3,6,16,16,12,0.260863023088626,917,0.039136976911374
"146",7,16,24,0.292,7,18,16,5,0.304579434802276,5562,0.012579434802276
"147",7,3,16,0.455,7,3,3,1,0.456242725409435,3339,0.00124272540943499
"148",7,7,23,0.472,7,20,7,19,0.489501221073645,4060,0.017501221073645
"149",7,4,23,0.472,7,20,7,19,0.489501221073645,4060,0.017501221073645
"150",7,21,23,0.472,7,20,7,19,0.489501221073645,4060,0.017501221073645
"151",7,12,11,0.416,7,11,12,23,0.418367146532592,3226,0.00236714653259201
"152",7,10,11,0.416,7,11,12,23,0.418367146532592,3226,0.00236714653259201
"153",7,11,11,0.416,7,11,12,23,0.418367146532592,3226,0.00236714653259201
"154",7,17,18,0.657,7,17,17,9,0.645878010557572,2716,0.011121989442428
"155",7,7,23,0.472,7,20,4,19,0.489501221073645,2233,0.017501221073645
"156",7,4,23,0.472,7,20,4,19,0.489501221073645,2233,0.017501221073645
"157",7,21,23,0.472,7,20,4,19,0.489501221073645,2233,0.017501221073645
"158",7,23,7,0.515,7,23,23,9,0.532334285913431,2123,0.017334285913431
"159",7,15,6,0.426,7,15,15,11,0.394510873166899,1760,0.031489126833101
"160",7,14,9,0.174,7,2,14,10,0.211951803076597,6772,0.037951803076597
"161",7,12,11,0.416,7,11,10,23,0.418367146532592,3384,0.00236714653259201
"162",7,10,11,0.416,7,11,10,23,0.418367146532592,3384,0.00236714653259201
"163",7,11,11,0.416,7,11,10,23,0.418367146532592,3384,0.00236714653259201
"164",7,24,19,0.7,7,24,24,12,0.73548933976434,2650,0.0354893397643401
"165",7,9,20,1,7,9,9,20,1,1464,0
"166",7,13,12,0.53,7,12,13,4,0.551967396841569,1431,0.021967396841569
"167",7,6,8,0.629,7,6,6,6,0.672571485725081,6070,0.043571485725081
"168",7,22,10,0.341,7,21,22,23,0.368006706749977,849,0.027006706749977
"169",7,7,23,0.472,7,20,21,19,0.489501221073645,2613,0.017501221073645
"170",7,4,23,0.472,7,20,21,19,0.489501221073645,2613,0.017501221073645
"171",7,21,23,0.472,7,20,21,19,0.489501221073645,2613,0.017501221073645
"172",7,20,17,0.237,7,10,20,6,0.199514187920945,4179,0.037485812079055
"173",7,12,11,0.416,7,11,11,23,0.418367146532592,2832,0.00236714653259201
"174",7,10,11,0.416,7,11,11,23,0.418367146532592,2832,0.00236714653259201
"175",7,11,11,0.416,7,11,11,23,0.418367146532592,2832,0.00236714653259201
"176",7,8,4,0.537,7,8,8,22,0.561679960789927,2825,0.024679960789927
"177",7,5,1,0.823,7,5,5,24,0.829467513259666,4271,0.00646751325966599
"178",7,18,14,0.485,7,19,18,12,0.558032120005085,2574,0.073032120005085
"179",7,19,14,0.485,7,19,18,12,0.558032120005085,2574,0.073032120005085
"180",7,1,13,0.282,7,1,1,15,0.351149242626716,11313,0.069149242626716
"181",7,2,13,0.282,7,1,1,15,0.351149242626716,11313,0.069149242626716
"182",7,1,13,0.282,7,1,2,15,0.351149242626716,1802,0.069149242626716
"183",7,2,13,0.282,7,1,2,15,0.351149242626716,1802,0.069149242626716
"184",7,18,14,0.485,7,19,19,2,0.558032120005085,879,0.073032120005085
"185",7,19,14,0.485,7,19,19,2,0.558032120005085,879,0.073032120005085
"186",8,1,1,0.531,8,11,1,1,0.634300499603223,732,0.103300499603223
"187",8,10,1,0.531,8,11,1,1,0.634300499603223,732,0.103300499603223
"188",8,1,1,0.531,8,11,10,1,0.634300499603223,3914,0.103300499603223
"189",8,10,1,0.531,8,11,10,1,0.634300499603223,3914,0.103300499603223
"190",8,22,2,0.885,8,20,22,3,0.94136565712698,1133,0.0563656571269799
"191",8,12,2,0.885,8,20,22,3,0.94136565712698,1133,0.0563656571269799
"192",8,11,4,0.415,8,13,11,5,0.482348858050112,637,0.067348858050112
"193",8,14,4,0.415,8,13,11,5,0.482348858050112,637,0.067348858050112
"194",8,21,6,0.757,8,22,21,6,0.848409972428618,1583,0.091409972428618
"195",8,11,4,0.415,8,13,14,5,0.482348858050112,241,0.067348858050112
"196",8,14,4,0.415,8,13,14,5,0.482348858050112,241,0.067348858050112
"197",8,22,2,0.885,8,20,12,3,0.94136565712698,458,0.0563656571269799
"198",8,12,2,0.885,8,20,12,3,0.94136565712698,458,0.0563656571269799
"199",8,13,7,0.921,8,14,13,7,0.952746802380705,1489,0.0317468023807049
"200",8,19,10,0.271,8,18,19,10,0.247694106916944,924,0.023305893083056
"201",8,16,10,0.271,8,18,19,10,0.247694106916944,924,0.023305893083056
"202",8,18,11,0.424,8,16,18,11,0.358304048341274,791,0.065695951658726
"203",8,19,10,0.271,8,18,16,10,0.247694106916944,4027,0.023305893083056
"204",8,16,10,0.271,8,18,16,10,0.247694106916944,4027,0.023305893083056
"205",8,15,9,0.52,8,12,15,9,0.633377551410338,19342,0.113377551410338
"206",8,17,9,0.52,8,12,15,9,0.633377551410338,19342,0.113377551410338
"207",8,15,9,0.52,8,12,17,9,0.633377551410338,4564,0.113377551410338
"208",8,17,9,0.52,8,12,17,9,0.633377551410338,4564,0.113377551410338
"209",8,20,8,0.866,8,19,20,8,0.891888055946221,943,0.025888055946221
"210",8,2,16,0.264,8,2,2,16,0.374437797669014,7094,0.110437797669014
"211",8,6,16,0.264,8,2,2,16,0.374437797669014,7094,0.110437797669014
"212",8,3,21,0.399,8,4,3,22,0.32632592642433,305,0.07267407357567
"213",8,5,21,0.399,8,4,3,22,0.32632592642433,305,0.07267407357567
"214",8,2,16,0.264,8,2,6,16,0.374437797669014,7702,0.110437797669014
"215",8,6,16,0.264,8,2,6,16,0.374437797669014,7702,0.110437797669014
"216",8,4,20,0.161,8,5,4,19,0.245086461576388,9966,0.084086461576388
"217",8,9,20,0.161,8,5,4,19,0.245086461576388,9966,0.084086461576388
"218",8,7,20,0.161,8,5,4,19,0.245086461576388,9966,0.084086461576388
"219",8,4,20,0.161,8,5,9,19,0.245086461576388,618,0.084086461576388
"220",8,9,20,0.161,8,5,9,19,0.245086461576388,618,0.084086461576388
"221",8,7,20,0.161,8,5,9,19,0.245086461576388,618,0.084086461576388
"222",8,4,20,0.161,8,5,7,19,0.245086461576388,916,0.084086461576388
"223",8,9,20,0.161,8,5,7,19,0.245086461576388,916,0.084086461576388
"224",8,7,20,0.161,8,5,7,19,0.245086461576388,916,0.084086461576388
"225",8,3,21,0.399,8,4,5,22,0.32632592642433,456,0.07267407357567
"226",8,5,21,0.399,8,4,5,22,0.32632592642433,456,0.07267407357567
"227",8,8,17,0.322,8,9,8,18,0.205414042462639,969,0.116585957537361
"228",9,5,15,0.476,9,5,5,15,0.38667654803957,905,0.08932345196043
"229",9,3,16,0.695,9,3,3,16,0.677524860648151,701,0.017475139351849
"230",9,26,23,0.355,9,26,26,23,0.332768903798591,1668,0.022231096201409
"231",9,30,23,0.355,9,26,26,23,0.332768903798591,1668,0.022231096201409
"232",9,32,21,0.868,9,26,32,21,0.863022095795188,1497,0.00497790420481203
"233",9,26,23,0.355,9,26,30,23,0.332768903798591,1002,0.022231096201409
"234",9,30,23,0.355,9,26,30,23,0.332768903798591,1002,0.022231096201409
"235",9,20,31,0.543,9,20,20,31,0.580502224119017,4007,0.0375022241190169
"236",9,1,12,0.752,9,1,1,12,0.818982423557729,3366,0.066982423557729
"237",9,2,12,0.752,9,1,1,12,0.818982423557729,3366,0.066982423557729
"238",9,1,12,0.752,9,1,2,12,0.818982423557729,2844,0.066982423557729
"239",9,2,12,0.752,9,1,2,12,0.818982423557729,2844,0.066982423557729
"240",9,7,10,0.515,9,2,7,10,0.524246705672567,856,0.00924670567256702
"241",9,4,9,0.783,9,4,4,9,0.782701951145581,1003,0.000298048854418975
"242",9,6,9,0.783,9,4,4,9,0.782701951145581,1003,0.000298048854418975
"243",9,4,9,0.783,9,4,6,9,0.782701951145581,1328,0.000298048854418975
"244",9,6,9,0.783,9,4,6,9,0.782701951145581,1328,0.000298048854418975
"245",9,15,18,0.705,9,15,15,19,0.708270332531675,1025,0.00327033253167508
"246",9,14,18,0.705,9,15,15,19,0.708270332531675,1025,0.00327033253167508
"247",9,15,18,0.705,9,15,14,19,0.708270332531675,1051,0.00327033253167508
"248",9,14,18,0.705,9,15,14,19,0.708270332531675,1051,0.00327033253167508
"249",9,24,6,0.655,9,24,24,6,0.653793717765213,1322,0.00120628223478703
"250",9,21,6,0.655,9,24,24,6,0.653793717765213,1322,0.00120628223478703
"251",9,28,6,0.655,9,24,24,6,0.653793717765213,1322,0.00120628223478703
"252",9,24,6,0.655,9,24,21,6,0.653793717765213,890,0.00120628223478703
"253",9,21,6,0.655,9,24,21,6,0.653793717765213,890,0.00120628223478703
"254",9,28,6,0.655,9,24,21,6,0.653793717765213,890,0.00120628223478703
"255",9,19,7,0.329,9,21,19,7,0.306362314806223,1670,0.022637685193777
"256",9,29,7,0.329,9,21,19,7,0.306362314806223,1670,0.022637685193777
"257",9,31,7,0.329,9,21,19,7,0.306362314806223,1670,0.022637685193777
"258",9,22,8,0.575,9,22,22,8,0.579425851515141,1359,0.00442585151514108
"259",9,24,6,0.655,9,24,28,5,0.653793717765213,1591,0.00120628223478703
"260",9,21,6,0.655,9,24,28,5,0.653793717765213,1591,0.00120628223478703
"261",9,28,6,0.655,9,24,28,5,0.653793717765213,1591,0.00120628223478703
"262",9,19,7,0.329,9,21,29,7,0.306362314806223,1187,0.022637685193777
"263",9,29,7,0.329,9,21,29,7,0.306362314806223,1187,0.022637685193777
"264",9,31,7,0.329,9,21,29,7,0.306362314806223,1187,0.022637685193777
"265",9,27,3,0.932,9,27,27,3,0.931420114732088,2283,0.000579885267912084
"266",9,19,7,0.329,9,31,31,7,0.306362314806223,1926,0.022637685193777
"267",9,29,7,0.329,9,31,31,7,0.306362314806223,1926,0.022637685193777
"268",9,31,7,0.329,9,31,31,7,0.306362314806223,1926,0.022637685193777
"269",9,33,1,1,9,33,33,1,1,1166,0
"270",9,34,25,0.842,9,7,34,28,0.872779309902514,2025,0.030779309902514
"271",9,18,33,0.75,9,18,18,33,0.7672147995889,1770,0.0172147995889
"272",9,25,33,0.75,9,18,18,33,0.7672147995889,1770,0.0172147995889
"273",9,23,32,0.659,9,23,23,32,0.587164718312259,1141,0.071835281687741
"274",9,18,33,0.75,9,18,25,33,0.7672147995889,500,0.0172147995889
"275",9,25,33,0.75,9,18,25,33,0.7672147995889,500,0.0172147995889
"276",9,35,26,0.848,9,8,35,26,0.878577112600618,3458,0.030577112600618
"277",9,38,28,0.784,9,16,38,30,0.721223790403607,1105,0.0627762095963931
"278",9,37,27,0.783,9,14,37,29,0.785419369624118,1330,0.00241936962411793
"279",9,40,27,0.783,9,14,37,29,0.785419369624118,1330,0.00241936962411793
"280",9,37,27,0.783,9,14,40,29,0.785419369624118,2682,0.00241936962411793
"281",9,40,27,0.783,9,14,40,29,0.785419369624118,2682,0.00241936962411793
"282",9,39,29,0.351,9,19,39,27,0.338094823078264,1570,0.012905176921736
"283",9,36,30,0.552,9,25,36,25,0.63108287120612,1996,0.07908287120612
"284",9,16,24,0.604,9,17,16,24,0.590099843403879,1860,0.013900156596121
"285",9,17,24,0.604,9,17,16,24,0.590099843403879,1860,0.013900156596121
"286",9,16,24,0.604,9,17,17,24,0.590099843403879,1496,0.013900156596121
"287",9,17,24,0.604,9,17,17,24,0.590099843403879,1496,0.013900156596121
"288",9,13,14,0.597,9,12,13,14,0.648175259849092,1429,0.051175259849092
"289",9,9,13,0.821,9,9,9,13,0.865326353266167,2871,0.0443263532661671
"290",9,12,13,0.821,9,9,9,13,0.865326353266167,2871,0.0443263532661671
"291",9,9,13,0.821,9,9,12,13,0.865326353266167,1528,0.0443263532661671
"292",9,12,13,0.821,9,9,12,13,0.865326353266167,1528,0.0443263532661671
"293",9,8,17,0.439,9,13,8,17,0.43260615096294,280,0.00639384903706003
"294",9,10,20,0.788,9,10,10,20,0.790618987111999,1442,0.00261898711199893
