"","SECCION","munn.x","edon.x","disloc2016.x","disloc2007","escenario1","escenario2","escenario3","pobtot","dsiE1_E3","dsi_pob","dif","rural","urbano","mixto"
"137",2893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"138",2894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"139",2895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"140",2896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"141",2897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"142",3219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"143",3220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"144",3221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"145",3222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"146",3223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"147",3224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"148",3225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"149",3226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"150",3227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"151",3228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"152",3229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"153",3230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"154",3231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"155",3232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"156",3233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"157",3234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"158",3235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"159",3236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"160",3237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"161",3238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"162",3239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"163",3240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"164",3241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"165",3242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"166",3243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"167",3244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"168",3245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"169",3246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"170",3247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"171",3248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"172",3249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"173",3250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"174",3251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"175",3252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"176",3253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"177",3254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"178",3255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"179",3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"180",3257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"181",3258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"182",3543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"183",3544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"184",3545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"185",3546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"186",3547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"187",3548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"188",3549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"189",3550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"190",3572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"191",3573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"192",3574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"193",3575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"194",3576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"195",3577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"196",3578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"197",3579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"198",3580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"199",3581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"200",3582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"201",3583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"202",3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"203",3585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"204",3586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"205",3587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"206",3588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"207",3589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"208",3590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"209",3591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"210",3592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"211",3593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"212",3594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"213",3595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"214",3596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"215",3597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"216",3598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"217",3599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"218",3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"219",3601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"220",3602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"221",3603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"222",3604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"223",3605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"224",3606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"225",3607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"226",3608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"227",3706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"228",3707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"229",3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"230",3709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"231",3710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"232",3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"233",3712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"234",3713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"235",3714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"236",3715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"237",3716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"238",3717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"239",3718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"240",3719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"241",3720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"242",3721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"243",3722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"244",3723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"245",3724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"246",3725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"247",3726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"248",3727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"249",3728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"250",3729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"251",3730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"252",3731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"253",3732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"254",3733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"255",3734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"256",3735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"257",4696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"258",4697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"259",4698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"260",4699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"261",4700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"262",4701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"263",4702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"264",4703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"265",4704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"266",4705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"267",4706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"268",4707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"269",4708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"270",4709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"271",4710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"272",4711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"273",482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"274",483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"275",484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"276",485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"277",486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"278",487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"279",488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"280",489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"281",490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"282",491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"283",695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"284",696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"285",697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"286",698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"287",699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"288",700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"289",701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"290",702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"291",703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"292",1320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"293",1321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"294",1322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"295",1323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"296",1324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"297",1325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"298",1326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"299",1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"300",1328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"301",1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
"302",1330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"303",1331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"304",1332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"305",1333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
"306",1334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0
