"seccion","munn","edon","disloc2018","disloc2012","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
111,8,14,1,3,3070,7,1,0,0,1,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
112,8,14,1,3,3076,7,1,1,0,0,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
113,8,14,1,3,1858,7,1,1,0,0,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
114,8,14,1,3,3255,7,1,0,0,1,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
115,8,14,1,3,4730,7,1,1,0,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
116,8,14,1,3,4444,7,1,1,0,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
117,8,14,1,3,6616,7,1,1,0,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
118,8,14,1,3,1967,7,1,1,0,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
119,8,14,1,3,1845,7,1,0,0,1,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
120,125,14,1,3,2809,3,1,0,0,1,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
121,125,14,1,3,1812,3,1,1,0,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
122,125,14,1,3,2989,3,1,0,0,1,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
123,125,14,1,3,3111,3,1,1,0,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
124,8,14,1,3,905,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
125,8,14,1,3,852,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
126,8,14,1,3,512,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
127,8,14,1,3,2058,7,1,0,1,0,0,1,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
128,8,14,1,3,500,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
129,8,14,1,3,245,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
130,8,14,1,3,360,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
131,8,14,1,3,734,7,1,0,1,0,0,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
132,8,14,1,3,1233,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
133,8,14,1,3,1909,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
134,8,14,1,3,1460,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
135,125,14,1,3,1126,3,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
136,125,14,1,3,2239,3,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
137,8,14,1,3,1841,7,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
138,125,14,1,3,2635,3,1,0,1,0,1,0,0,7,0.219,0.341,0.42,0.239,0.861,0.139,0,7,0.205
139,9,14,3,1,3845,2,3,0,0,1,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
140,9,14,3,1,2957,2,3,1,0,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
141,9,14,3,1,4940,2,3,0,0,1,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
142,9,14,3,1,2931,2,3,0,1,0,0,1,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
143,9,14,3,1,2540,2,3,0,1,0,0,0,0,2,0.562,0.286,0.432,0.282,0.338,0.656,0.006,2,0.584
144,10,14,4,18,2116,8,4,0,0,1,0,0,0,8,0.429,0.447,0.383,0.17,0.395,0.599,0.007,8,0.455
