"seccion","munn","edon","disloc2017","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","SQ","dsi_pob","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec"
81,19,31,8,11,4229,1,8,1,0,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
82,19,31,8,11,2096,1,8,0,1,0,0,1,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
83,19,31,8,11,2984,1,8,1,0,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
84,19,31,8,11,2262,1,8,0,0,1,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
85,19,31,8,11,1202,1,8,0,1,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
86,19,31,8,11,3574,1,8,0,0,1,0,1,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
87,19,31,8,11,919,1,8,0,1,0,1,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
88,19,31,8,11,2614,1,8,0,0,1,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
89,19,31,8,11,2675,1,8,0,0,1,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
90,19,31,8,11,1244,1,8,0,1,0,0,1,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
91,20,31,4,9,2469,3,4,1,0,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
92,20,31,4,9,1639,3,4,0,0,1,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
93,21,31,8,11,1884,1,8,1,0,0,0,1,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
94,21,31,8,11,1894,1,8,1,0,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
95,21,31,8,11,1772,1,8,0,0,1,0,1,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
96,21,31,8,11,969,1,8,0,1,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
97,21,31,8,11,605,1,8,0,1,0,0,0,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
98,21,31,8,11,818,1,8,0,1,0,0,1,0,11,0.772,0.469,0.25,0.281,0.065,0.935,0,11,0.675
99,22,31,8,15,2699,9,8,0,0,1,0,1,0,11,0.772,0.374,0.336,0.29,0.138,0.862,0,11,0.675
101,22,31,8,15,596,9,8,0,1,0,0,0,0,11,0.772,0.374,0.336,0.29,0.138,0.862,0,11,0.675
102,22,31,8,15,942,9,8,0,1,0,0,1,0,11,0.772,0.374,0.336,0.29,0.138,0.862,0,11,0.675
103,23,31,1,8,1415,5,1,1,0,0,0,1,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
104,23,31,1,8,1373,5,1,0,0,1,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
105,23,31,1,8,1742,5,1,1,0,0,0,0,0,8,0.98,0.559,0.22,0.22,0.074,0.926,0,8,0.967
106,24,31,9,14,1443,8,9,0,0,1,0,1,0,13,0.928,0.481,0.228,0.291,0.105,0.895,0,13,0.899
107,24,31,9,14,1705,8,9,0,0,1,1,0,0,13,0.928,0.481,0.228,0.291,0.105,0.895,0,13,0.899
108,25,31,9,13,2462,7,9,0,0,1,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
109,25,31,9,13,2491,7,9,1,0,0,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
110,26,31,4,9,1071,3,4,0,0,1,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
111,26,31,4,9,1055,3,4,1,0,0,0,1,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
112,26,31,4,9,1282,3,4,1,0,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
113,26,31,4,9,69,3,4,0,1,0,0,0,0,9,0.935,0.652,0.169,0.18,0.067,0.933,0,9,0.933
114,27,31,5,10,1361,6,5,1,0,0,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
115,27,31,5,10,1936,6,5,1,0,0,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
116,27,31,5,10,1407,6,5,0,0,1,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
117,27,31,5,10,2185,6,5,1,0,0,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
118,27,31,5,10,1245,6,5,1,0,0,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
120,28,31,5,10,1102,6,5,1,0,0,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
121,28,31,5,10,1357,6,5,0,0,1,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
122,29,31,5,10,1196,6,5,0,0,1,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
123,29,31,5,10,1408,6,5,1,0,0,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
124,29,31,5,10,1119,6,5,0,0,1,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
125,29,31,5,10,1260,6,5,1,0,0,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
126,29,31,5,10,917,6,5,1,0,0,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
127,30,31,7,15,877,9,7,1,0,0,0,1,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
128,30,31,7,15,747,9,7,0,0,1,0,0,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
129,30,31,7,15,1261,9,7,1,0,0,0,0,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
130,30,31,7,15,641,9,7,0,1,0,0,1,0,15,0.299,0.374,0.336,0.29,0.138,0.862,0,15,0.315
131,31,31,5,10,1011,6,5,0,0,1,0,1,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
132,31,31,5,10,1309,6,5,1,0,0,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
133,31,31,5,10,452,6,5,0,1,0,0,0,0,15,0.211,0.516,0.172,0.312,0.233,0.767,0,15,0.237
134,32,31,6,15,2592,4,6,1,0,0,0,1,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
135,32,31,6,15,2056,4,6,0,0,1,0,1,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
136,32,31,6,15,1811,4,6,0,0,1,0,0,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
137,32,31,6,15,2517,4,6,1,0,0,0,0,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
138,32,31,6,15,2980,4,6,1,0,0,1,0,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
139,32,31,6,15,711,4,6,0,1,0,0,1,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
140,32,31,6,15,576,4,6,0,1,0,0,0,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
141,32,31,6,15,2300,4,6,0,0,1,0,0,0,10,0.531,0.374,0.336,0.29,0.138,0.862,0,10,0.478
142,33,31,9,13,2030,5,9,1,0,0,0,1,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
143,33,31,9,13,1443,5,9,1,0,0,0,1,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
144,33,31,9,13,1764,5,9,1,0,0,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
145,33,31,9,13,2681,5,9,1,0,0,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
146,33,31,9,13,1233,5,9,1,0,0,0,1,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
147,33,31,9,13,294,5,9,0,1,0,0,1,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
148,33,31,9,13,2175,5,9,0,0,1,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
149,33,31,9,13,3842,5,9,0,0,1,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
150,33,31,9,13,1566,5,9,0,1,0,0,0,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
151,33,31,9,13,2042,5,9,0,0,1,0,1,0,13,0.928,0.516,0.219,0.266,0,1,0,13,0.899
152,34,31,7,14,712,6,7,1,0,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
153,34,31,7,14,1166,6,7,1,0,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
154,34,31,7,14,985,6,7,1,0,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
155,34,31,7,14,1264,6,7,1,0,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
156,34,31,7,14,1935,6,7,0,0,1,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
157,35,31,5,14,939,6,5,0,0,1,0,1,0,15,0.211,0.481,0.228,0.291,0.105,0.895,0,15,0.237
158,35,31,5,14,766,6,5,1,0,0,0,1,0,15,0.211,0.481,0.228,0.291,0.105,0.895,0,15,0.237
159,35,31,5,14,1815,6,5,1,0,0,0,1,0,15,0.211,0.481,0.228,0.291,0.105,0.895,0,15,0.237
160,35,31,5,14,1187,6,5,0,0,1,0,0,0,15,0.211,0.481,0.228,0.291,0.105,0.895,0,15,0.237
161,35,31,5,14,990,6,5,0,1,0,0,0,0,15,0.211,0.481,0.228,0.291,0.105,0.895,0,15,0.237
162,36,31,7,14,1031,8,7,1,0,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
163,36,31,7,14,1612,8,7,0,0,1,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
164,36,31,7,14,1729,8,7,1,0,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
165,36,31,7,14,1816,8,7,1,0,0,0,0,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
166,36,31,7,14,75,8,7,0,1,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
167,36,31,7,14,965,8,7,0,1,0,0,1,0,15,0.299,0.481,0.228,0.291,0.105,0.895,0,15,0.315
