"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
688,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",688,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","G","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
689,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",689,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","G","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
690,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",690,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","G","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
691,49,7,"cps",2,5,2,2,22,21,"Tenejapa","0",691,49,7,"cps",2,5,2,2,22,10,NA,21,21,10,12,10,"21","G","M","R","21","21","21","21",0,0,22,0.541,0.341,18,0.333
692,50,7,"cps",6,1,1,1,9,9,"Palenque","0",692,50,7,"cps",6,1,1,1,9,20,NA,20,20,20,14,20,"20","20","20","20","20","20","20","20",0,1,9,1,1,20,1
693,50,7,"cps",6,1,1,1,9,9,"Palenque","0",693,50,7,"cps",6,1,1,1,9,20,NA,20,20,20,14,20,"20","20","20","20","20","20","20","20",0,1,9,1,1,20,1
694,50,7,"cps",6,1,1,1,9,9,"Palenque","0",694,50,7,"cps",6,1,1,1,9,20,NA,20,20,20,14,20,"20","20","20","20","20","20","20","20",0,1,9,1,1,20,1
695,50,7,"cps",6,1,1,1,9,9,"Palenque","0",695,50,7,"cps",6,1,1,1,9,20,NA,20,20,20,14,20,"20","20","20","20","20","20","20","20",0,1,9,1,1,20,1
696,50,7,"cps",6,1,1,1,9,9,"Palenque","0",696,50,7,"cps",6,1,1,1,9,20,NA,20,20,20,14,20,"20","20","20","20","20","20","20","20",0,1,9,1,1,20,1
697,51,7,"cps",8,11,7,7,15,18,"Mapastepec","0",697,51,7,"cps",8,11,7,7,15,24,NA,11,11,24,3,24,"11","11","11","11","11","11","11","11",0,0,16,1,0.292,11,0.285
