"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
446,17,24,11,2,1135,7,3,2,0.287100186002407
447,17,24,11,2,2759,7,3,2,0.287100186002407
448,17,24,11,2,1019,7,3,2,0.287100186002407
449,17,24,11,2,1041,7,3,2,0.287100186002407
450,17,24,11,2,1168,7,3,2,0.287100186002407
451,17,24,11,2,3018,7,3,2,0.287100186002407
452,17,24,11,2,456,7,3,2,0.287100186002407
453,17,24,11,2,251,7,3,2,0.287100186002407
454,17,24,11,2,1048,7,3,2,0.287100186002407
455,17,24,11,2,208,7,3,2,0.287100186002407
456,17,24,11,2,135,7,3,2,0.287100186002407
457,17,24,11,2,612,7,3,2,0.287100186002407
458,17,24,11,2,930,7,3,2,0.287100186002407
459,17,24,11,2,84,7,3,2,0.287100186002407
460,17,24,11,2,187,7,3,2,0.287100186002407
461,17,24,11,2,253,7,3,2,0.287100186002407
462,17,24,11,2,847,7,3,2,0.287100186002407
463,17,24,11,2,721,7,3,2,0.287100186002407
464,17,24,11,2,709,7,3,2,0.287100186002407
465,17,24,11,2,866,7,3,2,0.287100186002407
466,17,24,11,2,1435,7,3,2,0.287100186002407
467,17,24,11,2,339,7,3,2,0.287100186002407
468,18,24,14,14,418,5,4,14,0.334703382938122
469,18,24,14,14,857,5,4,14,0.334703382938122
470,18,24,14,14,1691,5,4,14,0.334703382938122
471,18,24,14,14,974,5,4,14,0.334703382938122
472,18,24,14,14,1429,5,4,14,0.334703382938122
473,18,24,14,14,1251,5,4,14,0.334703382938122
474,18,24,14,14,2558,5,4,14,0.334703382938122
475,18,24,14,14,2243,5,4,14,0.334703382938122
476,18,24,14,14,2484,5,4,14,0.334703382938122
477,18,24,14,14,1460,5,4,14,0.334703382938122
478,19,24,11,10,104,2,3,10,0.905619200229599
479,19,24,11,10,354,2,3,10,0.905619200229599
480,19,24,11,10,148,2,3,10,0.905619200229599
481,19,24,11,10,711,2,3,10,0.905619200229599
482,19,24,11,10,1167,2,3,10,0.905619200229599
483,19,24,11,10,522,2,3,10,0.905619200229599
484,19,24,11,10,96,2,3,10,0.905619200229599
485,19,24,11,10,1216,2,3,10,0.905619200229599
486,19,24,11,10,572,2,3,10,0.905619200229599
487,19,24,11,10,301,2,3,10,0.905619200229599
488,19,24,11,10,408,2,3,10,0.905619200229599
489,19,24,11,10,287,2,3,10,0.905619200229599
490,20,24,1,1,1862,3,5,1,1
491,20,24,1,1,1174,3,5,1,1
492,20,24,1,1,159,3,5,1,1
493,20,24,1,1,2192,3,5,1,1
494,20,24,1,1,1521,3,5,1,1
495,20,24,1,1,1415,3,5,1,1
496,20,24,1,1,4104,3,5,1,1
497,20,24,1,1,2172,3,5,1,1
498,20,24,1,1,1914,3,5,1,1
499,20,24,1,1,726,3,5,1,1
500,20,24,1,1,2785,3,5,1,1
501,20,24,1,1,2259,3,5,1,1
502,20,24,1,1,3732,3,5,1,1
503,20,24,1,1,2562,3,5,1,1
504,20,24,1,1,2087,3,5,1,1
505,20,24,1,1,1550,3,5,1,1
506,20,24,1,1,1446,3,5,1,1
507,20,24,1,1,1522,3,5,1,1
508,20,24,1,1,1653,3,5,1,1
509,20,24,1,1,2687,3,5,1,1
510,20,24,1,1,2205,3,5,1,1
511,20,24,1,1,1264,3,5,1,1
512,20,24,1,1,951,3,5,1,1
513,20,24,1,1,4003,3,5,1,1
514,20,24,1,1,1986,3,5,1,1
515,20,24,1,1,2990,3,5,1,1
516,20,24,1,1,935,3,5,1,1
517,20,24,1,1,1308,3,5,1,1
518,20,24,1,1,3993,3,5,1,1
519,20,24,1,1,1079,3,5,1,1
520,20,24,1,1,1463,3,5,1,1
521,20,24,1,1,1939,3,5,1,1
522,20,24,1,1,744,3,5,1,1
523,20,24,1,1,1004,3,5,1,1
