"seccion","munn","edon","disloc2017","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
161,1,25,3,4,559,19,3,4,0.402935226076802
162,1,25,3,4,1446,19,3,4,0.402935226076802
163,1,25,3,4,1126,19,3,4,0.402935226076802
164,1,25,3,4,6311,19,3,4,0.402935226076802
165,1,25,3,4,462,19,3,4,0.402935226076802
166,1,25,3,4,1018,19,3,4,0.402935226076802
167,1,25,8,4,277,19,8,4,0.402935226076802
168,1,25,8,4,383,19,8,4,0.402935226076802
169,1,25,8,4,479,19,8,4,0.402935226076802
170,1,25,8,4,689,19,8,4,0.402935226076802
171,1,25,8,4,623,19,8,4,0.402935226076802
172,1,25,8,4,340,19,8,4,0.402935226076802
173,1,25,8,4,400,19,8,4,0.402935226076802
174,1,25,8,4,547,19,8,4,0.402935226076802
175,1,25,8,4,300,19,8,4,0.402935226076802
176,1,25,8,4,393,19,8,4,0.402935226076802
177,1,25,8,4,254,19,8,4,0.402935226076802
178,1,25,8,4,275,24,8,3,0.376307419414031
179,1,25,8,4,450,24,8,3,0.376307419414031
180,1,25,8,4,502,24,8,3,0.376307419414031
181,1,25,8,4,341,19,8,4,0.402935226076802
182,1,25,8,4,362,19,8,4,0.402935226076802
183,1,25,8,4,301,19,8,4,0.402935226076802
184,1,25,8,4,288,19,8,4,0.402935226076802
185,1,25,8,4,694,19,8,4,0.402935226076802
186,1,25,8,4,347,19,8,4,0.402935226076802
187,1,25,8,4,292,19,8,4,0.402935226076802
188,1,25,8,4,251,19,8,4,0.402935226076802
189,1,25,8,4,501,19,8,4,0.402935226076802
190,1,25,8,4,224,24,8,3,0.376307419414031
191,1,25,8,4,393,24,8,3,0.376307419414031
192,1,25,8,4,320,24,8,3,0.376307419414031
193,1,25,8,4,393,24,8,3,0.376307419414031
194,1,25,8,4,284,19,8,4,0.402935226076802
195,1,25,8,4,326,19,8,4,0.402935226076802
196,1,25,8,4,764,19,8,4,0.402935226076802
197,1,25,8,4,912,19,8,4,0.402935226076802
198,1,25,3,4,256,19,3,4,0.402935226076802
