"seccion","edon.x","edo","munn.x","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_cnv1","pan_clv2","prd_clv2","esc1_panCLV1","esc1_prdCNV1","esc2_panCLV2","esc2_prdCLV2","E1","dsiE1_E3"
52,24,"san",3,4,7,7,7,14,14,52,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
53,24,"san",3,4,7,7,7,14,14,53,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
54,24,"san",3,4,7,7,7,14,14,54,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
55,24,"san",3,4,7,7,7,14,14,55,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
56,24,"san",3,4,7,7,7,14,14,56,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
57,24,"san",3,4,7,7,7,14,14,57,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
58,24,"san",3,4,7,7,7,14,14,58,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
59,24,"san",3,4,7,7,7,14,14,59,24,3,5,12,4,12,5,12,4,0,1,1,0,5,0.273
60,24,"san",4,4,2,2,3,3,2,60,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
61,24,"san",4,4,2,2,3,3,2,61,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
62,24,"san",4,4,2,2,3,3,2,62,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
63,24,"san",4,4,2,2,3,3,2,63,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
64,24,"san",4,4,2,2,3,3,2,64,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
65,24,"san",4,4,2,2,3,3,2,65,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
66,24,"san",4,4,2,2,3,3,2,66,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
67,24,"san",4,4,2,2,3,3,2,67,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
68,24,"san",4,4,2,2,3,3,2,68,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
69,24,"san",4,4,2,2,3,3,2,69,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
70,24,"san",4,4,2,2,3,3,2,70,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
71,24,"san",4,4,2,2,3,3,2,71,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
72,24,"san",4,4,2,2,3,3,2,72,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
73,24,"san",4,4,2,2,3,3,2,73,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
75,24,"san",4,4,2,2,3,3,2,74,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
76,24,"san",4,4,2,2,3,3,2,75,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
77,24,"san",4,4,2,2,3,3,2,76,24,4,4,14,2,14,4,14,2,0,1,1,0,1,0.445
78,24,"san",5,4,3,3,3,11,11,77,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
79,24,"san",5,4,3,3,3,11,11,78,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
80,24,"san",5,4,3,3,3,11,11,79,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
81,24,"san",5,4,3,3,3,11,11,80,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
82,24,"san",5,4,3,3,3,11,11,81,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
83,24,"san",5,4,3,3,3,11,11,82,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
84,24,"san",5,4,3,3,3,11,11,83,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
85,24,"san",5,4,3,3,3,11,11,84,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
86,24,"san",5,4,3,3,3,11,11,85,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
87,24,"san",5,4,3,3,3,11,11,86,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
88,24,"san",5,4,3,3,3,11,11,87,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
89,24,"san",5,4,3,3,3,11,11,88,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
90,24,"san",5,4,3,3,3,11,11,89,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
91,24,"san",5,4,3,3,3,11,11,90,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
92,24,"san",5,4,3,3,3,11,11,91,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
93,24,"san",5,4,3,3,3,11,11,92,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
94,24,"san",5,4,3,3,3,11,11,93,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
95,24,"san",5,4,3,3,3,11,11,94,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
96,24,"san",5,4,3,3,3,11,11,95,24,5,7,9,3,9,7,9,3,0,1,1,0,7,0.424
