"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","pan_cnv2","esc1_panalCNV1","esc1_priCLV1","esc2_panCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
47,1,1,"ags",1,2,3,3,11,6,47,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
48,1,1,"ags",1,2,3,3,11,6,48,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
49,1,1,"ags",1,2,3,3,11,6,49,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
50,1,1,"ags",1,2,3,3,11,6,50,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
51,1,1,"ags",1,2,3,3,11,6,51,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
52,1,1,"ags",1,2,3,3,11,6,52,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
53,1,1,"ags",1,2,3,3,11,6,53,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
54,1,1,"ags",1,2,3,3,11,6,54,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
55,1,1,"ags",1,2,3,3,11,6,55,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
56,1,1,"ags",1,2,3,3,11,11,56,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
57,1,1,"ags",1,2,2,3,12,11,57,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
58,1,1,"ags",1,2,2,3,12,11,58,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
59,1,1,"ags",1,2,3,3,12,11,59,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
60,1,1,"ags",1,2,3,3,12,6,60,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
61,1,1,"ags",1,2,3,3,12,11,61,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
62,1,1,"ags",1,2,3,3,12,11,62,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
63,1,1,"ags",1,2,2,3,12,11,63,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
64,1,1,"ags",1,2,2,2,12,11,64,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
65,1,1,"ags",1,2,2,3,12,11,65,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
66,1,1,"ags",1,2,2,3,12,11,66,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
67,1,1,"ags",1,2,2,3,12,11,67,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
68,1,1,"ags",1,2,2,2,12,11,68,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
69,1,1,"ags",1,2,2,2,12,11,69,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
70,1,1,"ags",1,2,2,2,12,11,70,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
71,1,1,"ags",1,2,2,3,12,11,71,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
72,1,1,"ags",1,2,2,3,12,11,72,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
73,1,1,"ags",1,2,2,3,12,11,73,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
74,1,1,"ags",1,2,2,3,12,11,74,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
75,1,1,"ags",1,2,2,3,12,11,75,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
76,1,1,"ags",1,2,2,3,12,11,76,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
77,1,1,"ags",1,2,2,3,12,11,77,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
78,1,1,"ags",1,2,2,2,12,11,78,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
79,1,1,"ags",1,2,2,3,12,11,79,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
80,1,1,"ags",1,2,2,2,16,5,80,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
82,1,1,"ags",1,2,2,2,16,5,81,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
83,1,1,"ags",1,2,2,2,7,12,82,1,1,7,7,7,7,4,7,1,0,1,12,0.522,0.522
84,1,1,"ags",1,2,2,2,7,12,83,1,1,7,7,7,7,4,7,1,0,1,12,0.522,0.522
85,1,1,"ags",1,2,2,2,7,5,84,1,1,7,7,7,7,13,7,1,0,1,12,0.522,0.522
86,1,1,"ags",1,2,2,2,16,5,85,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
87,1,1,"ags",1,2,2,2,16,15,86,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
88,1,1,"ags",1,2,2,2,16,15,87,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
89,1,1,"ags",1,2,2,2,16,15,88,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
90,1,1,"ags",1,2,2,2,16,15,89,1,1,16,16,16,16,13,16,1,0,1,14,0.25,0.25
91,1,1,"ags",1,2,2,2,11,15,90,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
92,1,1,"ags",1,2,2,2,11,15,91,1,1,11,11,11,11,8,11,1,0,1,6,0.426,0.426
93,1,1,"ags",1,2,2,2,8,15,92,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
94,1,1,"ags",1,2,2,2,8,15,93,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
95,1,1,"ags",1,2,2,2,8,15,94,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
96,1,1,"ags",1,2,2,2,8,15,95,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
97,1,1,"ags",1,2,2,2,8,5,96,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
99,1,1,"ags",1,2,2,2,8,13,97,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
100,1,1,"ags",1,2,2,2,8,5,98,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
101,1,1,"ags",1,2,2,2,8,15,99,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
102,1,1,"ags",1,2,2,2,8,15,100,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
103,1,1,"ags",1,2,2,2,8,15,101,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
104,1,1,"ags",1,2,2,2,12,15,102,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
105,1,1,"ags",1,2,2,2,12,15,103,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
106,1,1,"ags",1,2,2,2,12,11,104,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
107,1,1,"ags",1,2,2,2,12,11,105,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
108,1,1,"ags",1,2,2,2,12,11,106,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
109,1,1,"ags",1,2,2,2,12,11,107,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
110,1,1,"ags",1,2,2,2,12,15,108,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
111,1,1,"ags",1,2,2,2,12,15,109,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
112,1,1,"ags",1,2,2,2,12,15,110,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
113,1,1,"ags",1,2,2,2,8,15,111,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
114,1,1,"ags",1,2,2,2,8,15,112,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
115,1,1,"ags",1,2,2,2,8,15,113,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
116,1,1,"ags",1,2,2,2,8,13,114,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
117,1,1,"ags",1,2,2,2,8,13,115,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
118,1,1,"ags",1,2,2,2,8,13,116,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
119,1,1,"ags",1,2,2,2,8,15,117,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
120,1,1,"ags",1,2,2,2,12,15,118,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
121,1,1,"ags",1,2,2,2,12,15,119,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
122,1,1,"ags",1,2,2,2,8,15,120,1,1,8,8,8,8,5,8,1,0,1,13,0.321,0.321
123,1,1,"ags",1,3,2,2,12,15,121,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
124,1,1,"ags",1,3,2,2,12,15,122,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
125,1,1,"ags",1,3,2,2,15,15,123,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
126,1,1,"ags",1,2,2,2,9,15,124,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
127,1,1,"ags",1,2,2,2,9,13,125,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
128,1,1,"ags",1,2,2,2,9,13,126,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
129,1,1,"ags",1,2,2,2,9,13,127,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
130,1,1,"ags",1,2,2,2,9,13,128,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
131,1,1,"ags",1,2,2,2,9,13,129,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
132,1,1,"ags",1,2,2,2,9,13,130,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
133,1,1,"ags",1,2,2,2,9,13,131,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
134,1,1,"ags",1,2,2,2,9,16,132,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
135,1,1,"ags",1,2,2,2,9,16,133,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
136,1,1,"ags",1,2,2,2,9,16,134,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
137,1,1,"ags",1,2,2,2,9,13,135,1,1,9,9,9,9,6,9,1,0,1,16,0.322,0.322
138,1,1,"ags",1,3,2,2,15,15,136,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
139,1,1,"ags",1,3,2,2,15,15,137,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
140,1,1,"ags",1,3,2,2,15,15,138,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
141,1,1,"ags",1,3,2,2,12,15,139,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
142,1,1,"ags",1,3,2,2,12,15,140,1,1,12,12,12,12,9,12,1,0,1,11,0.779,0.779
143,1,1,"ags",1,3,2,2,15,15,141,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
144,1,1,"ags",1,3,2,2,15,15,142,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
145,1,1,"ags",1,3,2,2,15,15,143,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
146,1,1,"ags",1,3,2,2,15,15,144,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
147,1,1,"ags",1,3,2,2,15,15,145,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
148,1,1,"ags",1,3,2,2,15,15,146,1,1,15,15,15,9,12,15,0,0,1,14,0.278,0.278
149,1,1,"ags",1,3,2,2,15,15,147,1,1,15,15,15,15,12,15,1,0,1,14,0.278,0.278
