"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","E1","dsiE1_E3"
49,4,17,"mor",2,3,5,3,10,16,"ayala",49,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
50,4,17,"mor",2,3,5,3,10,16,"ayala",50,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
51,4,17,"mor",2,3,5,3,10,16,"ayala",51,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
52,4,17,"mor",2,3,5,3,10,16,"ayala",52,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
53,4,17,"mor",2,3,5,3,10,16,"ayala",53,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
54,4,17,"mor",2,3,5,3,10,16,"ayala",54,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
55,4,17,"mor",2,3,5,3,10,16,"ayala",55,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
56,4,17,"mor",2,3,5,3,10,16,"ayala",56,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
57,4,17,"mor",2,3,5,3,10,16,"ayala",57,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
58,4,17,"mor",2,3,5,3,10,16,"ayala",58,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
59,4,17,"mor",2,3,5,3,10,16,"ayala",59,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
60,4,17,"mor",2,3,5,3,10,16,"ayala",60,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
61,4,17,"mor",2,3,5,3,10,16,"ayala",61,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
62,4,17,"mor",2,3,5,3,10,16,"ayala",62,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
63,4,17,"mor",2,3,5,3,10,16,"ayala",63,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
64,4,17,"mor",2,3,5,3,10,16,"ayala",64,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
65,4,17,"mor",2,3,5,3,10,16,"ayala",65,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
66,4,17,"mor",2,3,5,3,10,16,"ayala",66,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
67,4,17,"mor",2,3,5,3,10,16,"ayala",67,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
68,4,17,"mor",2,3,5,3,10,16,"ayala",68,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
69,4,17,"mor",2,3,5,3,10,16,"ayala",69,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
70,4,17,"mor",2,3,5,3,10,16,"ayala",70,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
71,4,17,"mor",2,3,5,3,10,16,"ayala",71,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
72,4,17,"mor",2,3,5,3,10,16,"ayala",72,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
73,4,17,"mor",2,3,5,3,10,16,"ayala",73,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
74,4,17,"mor",2,3,5,3,10,16,"ayala",74,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
75,4,17,"mor",2,3,5,3,10,16,"ayala",75,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
76,4,17,"mor",2,3,5,3,10,16,"ayala",76,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
77,4,17,"mor",2,3,5,3,10,16,"ayala",77,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
78,4,17,"mor",2,3,5,3,10,16,"ayala",78,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
79,4,17,"mor",2,3,5,3,10,16,"ayala",79,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
80,4,17,"mor",2,3,5,3,10,16,"ayala",80,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
81,4,17,"mor",2,3,5,3,10,16,"ayala",81,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
82,4,17,"mor",2,3,5,3,10,16,"ayala",82,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
83,4,17,"mor",2,3,5,3,10,16,"ayala",83,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
84,4,17,"mor",2,3,5,3,10,16,"ayala",84,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
85,4,17,"mor",2,3,5,3,10,16,"ayala",85,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,3,0.742
86,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",86,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
87,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",87,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
88,5,17,"mor",4,4,4,4,9,8,"puente de ixtla",88,17,5,4,4,1,1,10,6,1,4,1,1,0,0,0,1,0,0,1,0.434
