"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","panal_clv1","pan_clv1","prd_clv1","pt_clv1","pvem_clv1","pan_clv2","esc1_mcCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_pvemCLV1","esc2_panCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
109,107,25,31,13,9,1,107,31,25,7,5,9,6,4,5,1,7,8,9,0,0,0,0,0,0,13,0.423,0.899,5,0.353
110,108,26,31,9,4,2,108,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
111,109,26,31,9,4,2,109,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
112,110,26,31,9,4,2,110,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
113,111,26,31,9,4,2,111,31,26,3,7,4,9,7,7,9,3,7,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
114,112,27,31,10,5,3,112,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
115,113,27,31,10,5,3,113,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
116,114,27,31,10,5,3,114,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
117,115,27,31,10,5,3,115,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
118,116,27,31,10,5,3,116,31,27,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
120,117,28,31,10,5,3,117,31,28,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
121,118,28,31,10,5,3,118,31,28,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
122,119,29,31,10,5,3,119,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
123,120,29,31,10,5,3,120,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
124,121,29,31,10,5,3,121,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
125,122,29,31,10,5,3,122,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
126,123,29,31,10,5,3,123,31,29,6,6,5,8,7,6,7,6,5,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
127,124,30,31,15,7,3,124,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
128,125,30,31,15,7,3,125,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
129,126,30,31,15,7,3,126,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
130,127,30,31,15,7,3,127,31,30,9,3,7,2,5,3,7,9,3,7,0,0,0,0,0,0,15,0.342,0.315,9,0.349
131,128,31,31,10,5,3,128,31,31,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
132,129,31,31,10,5,3,129,31,31,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
133,130,31,31,10,5,3,130,31,31,6,6,5,8,7,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
134,131,32,31,15,6,3,131,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
135,132,32,31,15,6,3,132,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
136,133,32,31,15,6,3,133,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
137,134,32,31,15,6,3,134,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
138,135,32,31,15,6,3,135,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
139,136,32,31,15,6,3,136,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
140,137,32,31,15,6,3,137,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
141,138,32,31,15,6,3,138,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478,0.478,4,1
142,139,33,31,13,9,1,139,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
143,140,33,31,13,9,1,140,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
144,141,33,31,13,9,1,141,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
145,142,33,31,13,9,1,142,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
146,143,33,31,13,9,1,143,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
147,144,33,31,13,9,1,144,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
148,145,33,31,13,9,1,145,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
149,146,33,31,13,9,1,146,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
150,147,33,31,13,9,1,147,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
151,148,33,31,13,9,1,148,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392,0.899,5,0.353
152,149,34,31,14,7,2,149,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
153,150,34,31,14,7,2,150,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
154,151,34,31,14,7,2,151,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
155,152,34,31,14,7,2,152,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
156,153,34,31,14,7,2,153,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
157,154,35,31,14,5,2,154,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
158,155,35,31,14,5,2,155,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
159,156,35,31,14,5,2,156,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
160,157,35,31,14,5,2,157,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
161,158,35,31,14,5,2,158,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
162,159,36,31,14,7,1,159,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
163,160,36,31,14,7,1,160,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
164,161,36,31,14,7,1,161,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
165,162,36,31,14,7,1,162,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
166,163,36,31,14,7,1,163,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
167,164,36,31,14,7,1,164,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,15,0.343,0.315,9,0.349
168,165,37,31,14,7,1,165,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
169,166,37,31,14,7,1,166,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
170,167,37,31,14,7,1,167,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
171,168,37,31,14,7,1,168,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268,0.315,9,0.349
172,169,38,31,8,1,2,169,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
173,170,38,31,8,1,2,170,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
174,171,38,31,8,1,2,171,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
175,172,38,31,8,1,2,172,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
176,173,38,31,8,1,2,173,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
177,174,38,31,8,1,2,174,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
178,175,38,31,8,1,2,175,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
179,176,38,31,8,1,2,176,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
180,177,38,31,8,1,2,177,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
181,178,38,31,8,1,2,178,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
182,179,38,31,8,1,2,179,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
183,180,38,31,8,1,2,180,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
184,181,38,31,8,1,2,181,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
185,182,38,31,8,1,2,182,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
186,183,38,31,8,1,2,183,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,8,0.392,0.967,5,0.361
187,184,39,31,9,4,2,184,31,39,3,7,4,9,7,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
188,185,39,31,9,4,2,185,31,39,3,7,4,9,7,7,9,3,6,4,0,0,0,0,0,0,9,0.891,0.933,3,0.953
189,186,40,31,15,5,3,186,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
190,187,40,31,15,5,3,187,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
191,188,40,31,15,5,3,188,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
192,189,40,31,15,5,3,189,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
193,190,40,31,15,5,3,190,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
194,191,40,31,15,5,3,191,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
195,192,40,31,15,5,3,192,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
196,193,40,31,15,5,3,193,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
197,194,40,31,15,5,3,194,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
198,195,40,31,15,5,3,195,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
199,196,40,31,15,5,3,196,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268,0.237,6,0.748
