"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","panal_clv1","pan_clv1","prd_clv1","pt_clv1","pvem_clv1","pan_clv2","esc1_mcCLV1","esc1_panalCLV1","esc1_panCLV1","esc1_prdCLV1","esc1_pvemCLV1","esc2_panCLV2","SQ","dsiSQ_E1"
137,134,32,31,15,6,3,134,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
138,135,32,31,15,6,3,135,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
139,136,32,31,15,6,3,136,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
140,137,32,31,15,6,3,137,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
141,138,32,31,15,6,3,138,31,32,4,2,6,1,9,2,7,4,5,6,0,0,0,0,0,0,10,0.478
142,139,33,31,13,9,1,139,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
143,140,33,31,13,9,1,140,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
144,141,33,31,13,9,1,141,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
145,142,33,31,13,9,1,142,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
146,143,33,31,13,9,1,143,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
147,144,33,31,13,9,1,144,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
148,145,33,31,13,9,1,145,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
149,146,33,31,13,9,1,146,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
150,147,33,31,13,9,1,147,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
151,148,33,31,13,9,1,148,31,33,5,8,9,4,1,8,1,5,4,9,0,0,0,0,0,0,13,0.392
152,149,34,31,14,7,2,149,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
153,150,34,31,14,7,2,150,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
154,151,34,31,14,7,2,151,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
155,152,34,31,14,7,2,152,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
156,153,34,31,14,7,2,153,31,34,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
157,154,35,31,14,5,2,154,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268
158,155,35,31,14,5,2,155,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268
159,156,35,31,14,5,2,156,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268
160,157,35,31,14,5,2,157,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268
161,158,35,31,14,5,2,158,31,35,6,6,5,8,5,6,4,6,1,5,0,0,1,0,0,0,15,0.268
162,159,36,31,14,7,1,159,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
163,160,36,31,14,7,1,160,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
164,161,36,31,14,7,1,161,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
165,162,36,31,14,7,1,162,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
166,163,36,31,14,7,1,163,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
167,164,36,31,14,7,1,164,31,36,8,9,7,5,4,9,4,8,1,7,0,0,0,0,0,0,14,0.343
168,165,37,31,14,7,1,165,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
169,166,37,31,14,7,1,166,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
170,167,37,31,14,7,1,167,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
171,168,37,31,14,7,1,168,31,37,6,6,7,8,5,6,4,6,1,7,0,0,1,0,0,0,15,0.268
172,169,38,31,8,1,2,169,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
173,170,38,31,8,1,2,170,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
174,171,38,31,8,1,2,171,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
175,172,38,31,8,1,2,172,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
176,173,38,31,8,1,2,173,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
177,174,38,31,8,1,2,174,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
178,175,38,31,8,1,2,175,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
179,176,38,31,8,1,2,176,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
180,177,38,31,8,1,2,177,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
181,178,38,31,8,1,2,178,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
182,179,38,31,8,1,2,179,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
183,180,38,31,8,1,2,180,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
184,181,38,31,8,1,2,181,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
185,182,38,31,8,1,2,182,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
186,183,38,31,8,1,2,183,31,38,5,8,1,4,2,8,8,5,6,1,0,0,0,0,0,0,13,0.392
187,184,39,31,9,4,2,184,31,39,3,7,4,9,7,7,9,3,6,4,0,0,0,0,0,0,9,0.891
188,185,39,31,9,4,2,185,31,39,3,7,4,9,7,7,9,3,6,4,0,0,0,0,0,0,9,0.891
189,186,40,31,15,5,3,186,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
190,187,40,31,15,5,3,187,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
191,188,40,31,15,5,3,188,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
192,189,40,31,15,5,3,189,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
193,190,40,31,15,5,3,190,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
194,191,40,31,15,5,3,191,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
195,192,40,31,15,5,3,192,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
196,193,40,31,15,5,3,193,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
197,194,40,31,15,5,3,194,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
198,195,40,31,15,5,3,195,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
199,196,40,31,15,5,3,196,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
200,197,40,31,15,5,3,197,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
201,198,40,31,15,5,3,198,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
202,199,40,31,15,5,3,199,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
203,200,40,31,15,5,3,200,31,40,6,6,5,8,5,6,7,6,7,5,0,0,1,0,0,0,15,0.268
204,201,41,31,6,2,2,201,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
205,202,41,31,6,2,2,202,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
206,203,41,31,6,2,2,203,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
207,204,41,31,6,2,2,204,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
208,205,41,31,6,2,2,205,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
209,206,41,31,6,2,2,206,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
210,207,41,31,6,2,2,207,31,41,2,4,2,3,3,4,2,2,15,2,0,0,0,1,0,0,14,0.21
