"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1"
30,4,19,"nl",11,9,9,9,"allende",24,26,29,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
31,4,19,"nl",11,9,9,9,"allende",24,26,30,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
32,4,19,"nl",11,9,9,9,"allende",24,26,31,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
33,4,19,"nl",11,9,9,9,"allende",24,26,32,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
34,4,19,"nl",11,9,9,9,"allende",24,26,33,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
35,4,19,"nl",11,9,9,9,"allende",24,26,34,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
36,4,19,"nl",11,9,9,9,"allende",24,26,35,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
37,4,19,"nl",11,9,9,9,"allende",24,26,36,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
38,4,19,"nl",11,9,9,9,"allende",24,26,37,19,4,2,4,4,3,4,3,3,5,2,4,4,4,1,4,4,0,0,0,0,0,1,1,1,1,0,1,1,24,0.431
39,5,19,"nl",6,1,12,7,"anahuac",21,21,38,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
40,5,19,"nl",6,1,12,7,"anahuac",21,21,39,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
41,5,19,"nl",6,1,12,7,"anahuac",21,21,40,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
42,5,19,"nl",6,1,12,7,"anahuac",21,21,41,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
43,5,19,"nl",6,1,12,7,"anahuac",21,21,42,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
44,5,19,"nl",6,1,12,7,"anahuac",21,21,43,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
45,5,19,"nl",6,1,12,7,"anahuac",21,21,44,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
46,5,19,"nl",6,1,12,7,"anahuac",21,21,45,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
47,5,19,"nl",6,1,12,7,"anahuac",21,21,46,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432
