"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","mun","disloc2015","disloc2018","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_clv1","pan_cnv1","pes_clv1","prd_clv1","pri_clv1","pvem_clv1","mc_clv2","pan_cnv2","pes_clv2","prd_cnv2","pri_clv2","pvem_clv2","esc1_morCLV1","esc1_panCNV1","esc1_pesCLV1","esc1_prdCLV1","esc1_priCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panCNV2","esc2_pesCLV2","esc2_prdCNV2","esc2_priCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
46,5,19,"nl",6,1,12,7,"anahuac",21,21,45,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
47,5,19,"nl",6,1,12,7,"anahuac",21,21,46,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
48,5,19,"nl",6,1,12,7,"anahuac",21,21,47,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
49,5,19,"nl",6,1,12,7,"anahuac",21,21,48,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
51,5,19,"nl",6,1,12,7,"anahuac",21,21,49,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
52,5,19,"nl",6,1,12,7,"anahuac",21,21,50,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
54,5,19,"nl",6,1,12,7,"anahuac",21,21,51,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
55,5,19,"nl",6,1,12,7,"anahuac",21,21,52,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
56,5,19,"nl",6,1,12,7,"anahuac",21,21,53,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
57,5,19,"nl",6,1,12,7,"anahuac",21,21,54,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
59,5,19,"nl",6,1,12,7,"anahuac",21,21,55,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
61,5,19,"nl",6,1,12,7,"anahuac",21,21,56,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
62,5,19,"nl",6,1,12,7,"anahuac",21,21,57,19,5,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,0,0,0,0,0,1,1,1,1,0,1,1,21,0.432,0.489,1,0.911
63,6,19,"nl",6,2,2,2,"apodaca",16,5,58,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
66,6,19,"nl",6,2,2,2,"apodaca",16,5,59,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
68,6,19,"nl",6,2,2,2,"apodaca",16,16,60,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
69,6,19,"nl",6,2,2,2,"apodaca",16,16,61,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
70,6,19,"nl",6,2,2,2,"apodaca",16,16,62,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
71,6,19,"nl",6,2,2,2,"apodaca",16,16,63,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
72,6,19,"nl",6,2,2,2,"apodaca",16,16,64,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
73,6,19,"nl",6,2,2,2,"apodaca",16,16,65,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
74,6,19,"nl",6,2,2,2,"apodaca",16,16,66,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
75,6,19,"nl",6,2,2,2,"apodaca",16,16,67,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
76,6,19,"nl",6,2,2,2,"apodaca",16,16,68,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
78,6,19,"nl",6,2,2,2,"apodaca",16,16,69,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
79,6,19,"nl",6,2,2,2,"apodaca",16,16,70,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
80,6,19,"nl",6,2,2,2,"apodaca",16,16,71,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
81,6,19,"nl",6,2,2,2,"apodaca",16,16,72,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
82,6,19,"nl",6,2,2,2,"apodaca",16,16,73,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
83,6,19,"nl",6,2,2,2,"apodaca",16,16,74,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
84,6,19,"nl",6,2,2,2,"apodaca",16,16,75,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
85,6,19,"nl",6,2,2,2,"apodaca",16,16,76,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
86,6,19,"nl",6,2,2,2,"apodaca",16,16,77,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
87,6,19,"nl",6,2,2,2,"apodaca",16,16,78,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
88,6,19,"nl",6,2,2,2,"apodaca",16,16,79,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
89,6,19,"nl",6,2,2,2,"apodaca",16,16,80,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
90,6,19,"nl",6,2,2,2,"apodaca",16,16,81,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
91,6,19,"nl",6,2,2,2,"apodaca",16,16,82,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
92,6,19,"nl",6,2,2,2,"apodaca",16,16,83,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
93,6,19,"nl",6,2,2,2,"apodaca",16,16,84,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
94,6,19,"nl",6,2,2,2,"apodaca",16,16,85,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
95,6,19,"nl",6,2,2,2,"apodaca",16,16,86,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
96,6,19,"nl",6,2,2,2,"apodaca",16,16,87,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
97,6,19,"nl",6,2,2,2,"apodaca",16,16,88,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
98,6,19,"nl",6,2,2,2,"apodaca",16,16,89,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
99,6,19,"nl",6,2,2,2,"apodaca",16,16,90,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
100,6,19,"nl",6,2,2,2,"apodaca",16,16,91,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
101,6,19,"nl",6,2,2,2,"apodaca",16,16,92,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
102,6,19,"nl",6,2,2,2,"apodaca",16,16,93,19,6,9,11,11,12,11,12,12,12,9,11,11,11,12,12,11,0,0,0,0,0,1,1,1,1,0,0,1,16,0.26,0.26,9,1
103,6,19,"nl",6,2,2,2,"apodaca",16,5,94,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
104,6,19,"nl",6,2,2,2,"apodaca",16,5,95,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
105,6,19,"nl",6,2,2,2,"apodaca",16,5,96,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
106,6,19,"nl",6,2,2,2,"apodaca",16,5,97,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
107,6,19,"nl",6,2,2,2,"apodaca",16,5,98,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
108,6,19,"nl",6,2,2,2,"apodaca",16,5,99,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
109,6,19,"nl",6,2,2,2,"apodaca",16,5,100,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
110,6,19,"nl",6,2,2,2,"apodaca",16,5,101,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
111,6,19,"nl",6,2,2,2,"apodaca",16,5,102,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
112,6,19,"nl",6,2,2,2,"apodaca",16,5,103,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
113,6,19,"nl",6,2,2,2,"apodaca",16,5,104,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
114,6,19,"nl",6,2,2,2,"apodaca",16,5,105,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
115,6,19,"nl",6,2,2,2,"apodaca",16,5,106,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
116,6,19,"nl",6,2,2,2,"apodaca",16,5,107,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
117,6,19,"nl",6,2,2,2,"apodaca",16,5,108,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
118,6,19,"nl",6,2,2,2,"apodaca",16,5,109,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
119,6,19,"nl",6,2,2,2,"apodaca",16,5,110,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
120,6,19,"nl",6,2,2,2,"apodaca",16,5,111,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
121,6,19,"nl",6,2,2,2,"apodaca",16,7,112,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319,0.319,11,1
122,6,19,"nl",6,2,2,2,"apodaca",16,5,113,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
123,6,19,"nl",6,2,2,2,"apodaca",16,7,114,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319,0.319,11,1
124,6,19,"nl",6,2,2,2,"apodaca",16,7,115,19,6,11,13,13,13,13,13,13,13,11,13,13,13,13,13,13,0,0,0,0,0,1,1,1,1,1,1,1,16,0.319,0.319,11,1
125,6,19,"nl",6,2,2,2,"apodaca",16,7,116,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319,0.319,11,1
126,6,19,"nl",6,2,2,2,"apodaca",16,5,117,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
127,6,19,"nl",6,2,2,2,"apodaca",16,5,118,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
128,6,19,"nl",6,2,2,2,"apodaca",16,7,119,19,6,11,13,13,13,13,13,13,13,11,13,13,13,11,13,13,0,0,0,0,0,1,1,1,1,0,1,1,16,0.319,0.319,11,1
130,6,19,"nl",6,2,2,2,"apodaca",16,7,120,19,6,11,13,13,13,13,13,13,13,11,13,13,13,13,13,13,0,0,0,0,0,1,1,1,1,1,1,1,16,0.319,0.319,11,1
131,6,19,"nl",6,2,2,2,"apodaca",16,5,121,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
132,6,19,"nl",6,2,2,2,"apodaca",16,5,122,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
133,6,19,"nl",6,2,2,2,"apodaca",16,5,123,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
134,6,19,"nl",6,2,2,2,"apodaca",16,5,124,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
135,6,19,"nl",6,2,2,2,"apodaca",16,5,125,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
136,6,19,"nl",6,2,2,2,"apodaca",16,7,126,19,6,11,13,13,13,13,13,13,13,11,13,13,13,13,13,13,0,0,0,0,0,1,1,1,1,1,1,1,16,0.319,0.319,11,1
137,6,19,"nl",6,2,2,2,"apodaca",16,7,127,19,6,11,13,13,13,13,13,13,13,11,13,13,13,13,13,13,0,0,0,0,0,1,1,1,1,1,1,1,16,0.319,0.319,11,1
138,6,19,"nl",6,2,2,2,"apodaca",16,5,128,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
139,6,19,"nl",6,2,2,2,"apodaca",16,5,129,19,6,10,12,12,11,12,11,11,11,10,12,12,12,11,11,12,0,0,0,0,0,1,1,1,1,0,0,1,16,0.42,0.42,10,1
