"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
995,22,"gue",12,17,17,541,10,20,17,0.297731695360894
996,22,"gue",12,17,17,1064,10,20,17,0.297731695360894
997,22,"gue",12,17,17,169,10,20,17,0.297731695360894
998,22,"gue",12,17,17,1173,10,20,17,0.297731695360894
999,22,"gue",12,17,17,918,10,20,17,0.297731695360894
1000,22,"gue",12,17,17,621,10,20,17,0.297731695360894
1001,23,"gue",12,15,15,1556,8,16,16,0.65392043542511
1002,23,"gue",12,15,15,1511,8,16,16,0.65392043542511
1003,23,"gue",12,15,15,2163,8,16,16,0.65392043542511
1004,23,"gue",12,15,15,1219,8,16,16,0.65392043542511
1005,23,"gue",12,15,15,1085,8,16,16,0.65392043542511
1006,23,"gue",12,15,15,1058,8,16,16,0.65392043542511
1007,23,"gue",12,15,15,1164,8,16,16,0.65392043542511
1008,23,"gue",12,15,15,707,8,16,16,0.65392043542511
1009,23,"gue",12,15,15,217,8,16,16,0.65392043542511
1010,23,"gue",12,15,15,560,8,16,16,0.65392043542511
1011,23,"gue",12,15,15,342,8,16,16,0.65392043542511
1012,23,"gue",12,15,15,797,8,16,16,0.65392043542511
1013,23,"gue",12,15,15,1261,8,16,16,0.65392043542511
1014,23,"gue",12,15,15,1618,8,16,16,0.65392043542511
1015,23,"gue",12,15,15,681,8,16,16,0.65392043542511
1016,23,"gue",12,15,15,600,8,16,16,0.65392043542511
1017,23,"gue",12,15,15,773,8,16,16,0.65392043542511
1018,80,"gue",12,15,15,404,2,16,13,0.264581197676405
1019,23,"gue",12,15,15,561,8,16,16,0.65392043542511
1020,23,"gue",12,15,15,1004,8,16,16,0.65392043542511
1021,23,"gue",12,15,15,189,8,16,16,0.65392043542511
1022,23,"gue",12,15,15,888,8,16,16,0.65392043542511
1023,23,"gue",12,15,15,1363,8,16,16,0.65392043542511
1024,23,"gue",12,15,15,922,8,16,16,0.65392043542511
1025,23,"gue",12,15,15,986,8,16,16,0.65392043542511
1026,23,"gue",12,15,15,513,8,16,16,0.65392043542511
1027,23,"gue",12,15,15,1030,8,16,16,0.65392043542511
1028,23,"gue",12,15,15,297,8,16,16,0.65392043542511
1029,23,"gue",12,15,15,857,8,16,16,0.65392043542511
1030,24,"gue",12,27,27,1910,14,15,27,0.850269474423568
1031,24,"gue",12,27,27,815,14,15,27,0.850269474423568
1032,24,"gue",12,27,27,139,14,15,27,0.850269474423568
1033,24,"gue",12,27,27,1341,14,15,27,0.850269474423568
1034,24,"gue",12,27,27,949,14,15,27,0.850269474423568
1035,24,"gue",12,27,27,773,14,15,27,0.850269474423568
1036,24,"gue",12,27,27,890,14,15,27,0.850269474423568
1037,25,"gue",12,14,14,1395,2,13,13,0.264581197676405
1038,25,"gue",12,14,14,2609,2,13,13,0.264581197676405
1039,25,"gue",12,14,14,1638,2,13,13,0.264581197676405
1040,25,"gue",12,14,14,1204,2,13,13,0.264581197676405
1041,25,"gue",12,14,14,576,2,13,13,0.264581197676405
1042,25,"gue",12,14,14,1004,2,13,13,0.264581197676405
1043,25,"gue",12,14,14,372,2,13,13,0.264581197676405
1044,25,"gue",12,14,14,675,2,13,13,0.264581197676405
1045,25,"gue",12,14,14,1651,2,13,13,0.264581197676405
1046,25,"gue",12,14,14,920,2,13,13,0.264581197676405
1047,25,"gue",12,14,14,725,2,13,13,0.264581197676405
1048,25,"gue",12,14,14,1195,2,13,13,0.264581197676405
1049,25,"gue",12,14,14,885,2,13,13,0.264581197676405
1050,26,"gue",12,20,20,616,1,22,23,0.661037328148296
1051,26,"gue",12,20,20,427,1,22,23,0.661037328148296
1052,26,"gue",12,20,20,578,1,22,23,0.661037328148296
1053,26,"gue",12,20,20,721,1,22,23,0.661037328148296
1054,26,"gue",12,20,20,417,1,22,23,0.661037328148296
1055,26,"gue",12,20,20,935,1,22,23,0.661037328148296
1056,26,"gue",12,20,20,634,1,22,23,0.661037328148296
1057,26,"gue",12,20,20,819,1,22,23,0.661037328148296
1058,26,"gue",12,20,20,877,1,22,23,0.661037328148296
1059,26,"gue",12,20,20,969,1,22,23,0.661037328148296
1060,26,"gue",12,20,20,292,1,22,23,0.661037328148296
1061,26,"gue",12,20,20,266,1,22,23,0.661037328148296
1062,26,"gue",12,20,20,540,1,22,23,0.661037328148296
1063,26,"gue",12,20,20,530,1,22,23,0.661037328148296
1064,26,"gue",12,20,20,152,1,22,23,0.661037328148296
1065,26,"gue",12,20,20,311,1,22,23,0.661037328148296
1066,26,"gue",12,20,20,165,1,22,23,0.661037328148296
1067,27,"gue",12,18,18,1207,5,21,17,0.365652027157884
1068,27,"gue",12,18,18,1075,5,21,17,0.365652027157884
1069,27,"gue",12,18,18,877,5,21,17,0.365652027157884
1070,27,"gue",12,18,18,1552,5,21,17,0.365652027157884
1071,27,"gue",12,18,18,776,5,21,17,0.365652027157884
1072,27,"gue",12,18,18,573,5,21,17,0.365652027157884
1074,27,"gue",12,18,18,267,5,21,17,0.365652027157884
1075,27,"gue",12,18,18,161,5,21,17,0.365652027157884
1076,27,"gue",12,18,18,337,5,21,17,0.365652027157884
1077,27,"gue",12,18,18,55,5,21,17,0.365652027157884
1079,27,"gue",12,18,18,142,5,21,17,0.365652027157884
1080,27,"gue",12,18,18,166,5,21,17,0.365652027157884
1081,27,"gue",12,18,18,1151,5,21,17,0.365652027157884
1082,27,"gue",12,18,18,296,5,21,17,0.365652027157884
1083,27,"gue",12,18,18,333,5,21,17,0.365652027157884
1084,27,"gue",12,18,18,827,5,21,17,0.365652027157884
1085,27,"gue",12,18,18,114,5,21,17,0.365652027157884
1086,27,"gue",12,18,18,897,5,21,17,0.365652027157884
1087,27,"gue",12,18,18,1000,5,21,17,0.365652027157884
1088,27,"gue",12,18,18,303,5,21,17,0.365652027157884
1089,27,"gue",12,18,18,206,5,21,17,0.365652027157884
1090,27,"gue",12,18,18,237,5,21,17,0.365652027157884
1091,27,"gue",12,18,18,165,5,21,17,0.365652027157884
1092,27,"gue",12,18,18,395,5,21,17,0.365652027157884
1093,27,"gue",12,18,18,153,5,21,17,0.365652027157884
1094,27,"gue",12,18,18,519,5,21,17,0.365652027157884
1095,27,"gue",12,18,18,334,5,21,17,0.365652027157884
