"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2011","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","mc_iee1","morena_clv1","morena_iee1","prd_clv1","prd_iee1","pri_clv1","pt_clv1","mc_clv2","morena_clv2","panal_clv2","pan_clv2","pes_clv2","ph_iee2","prd_clv2","pri_clv2","prs_iee2","pt_clv2","pvem_clv2","esc1_mcCLV1","esc1_mcIEE1","esc1_morCLV1","esc1_morIEE1","esc1_prdCLV1","esc1_prdIEE1","esc1_priCLV1","esc1_ptCLV1","esc2_mcCLV2","esc2_morCLV2","esc2_panalCLV2","esc2_panCLV2","esc2_pesCLV2","esc2_phIEE2","esc2_prdCLV2","esc2_priCLV2","esc2_prsIEE2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
215,3,3,"bcs",1,2,1,1,13,5,211,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,14,14,14,14,16,14,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
216,3,3,"bcs",1,2,1,1,13,5,212,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,14,14,14,14,16,14,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
217,3,3,"bcs",1,2,1,1,13,5,213,3,3,13,13,13,11,11,11,11,11,11,11,11,13,13,15,14,14,14,14,15,14,13,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
218,3,3,"bcs",1,2,1,1,15,5,214,3,3,15,15,15,11,11,11,11,11,11,11,11,15,15,15,11,11,11,11,15,11,15,15,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,5,0.412,0.412
219,3,3,"bcs",1,2,1,1,13,5,215,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,14,14,14,14,16,14,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
220,3,3,"bcs",1,2,1,1,13,5,216,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,14,14,14,14,16,14,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
221,3,3,"bcs",1,2,1,1,13,5,217,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,14,14,14,14,16,14,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
222,3,3,"bcs",1,2,1,1,13,5,218,3,3,13,13,13,12,12,12,12,12,12,11,12,13,13,15,12,12,12,12,15,12,13,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
223,3,3,"bcs",1,2,1,1,13,5,219,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,12,12,12,12,16,12,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
224,3,3,"bcs",1,2,1,1,13,5,220,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,12,12,12,12,16,12,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
225,3,3,"bcs",1,2,1,1,13,5,221,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,16,12,12,12,12,16,12,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
226,3,3,"bcs",1,2,1,1,13,4,222,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,15,12,12,12,12,15,12,13,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
227,3,3,"bcs",1,2,1,1,13,4,223,3,3,13,13,13,12,12,12,12,12,12,11,12,13,13,15,12,12,12,12,15,12,13,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
228,3,3,"bcs",1,2,1,1,13,4,224,3,3,13,13,13,11,11,11,11,11,11,11,11,15,15,15,12,12,12,12,15,12,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.326,0.326
229,3,3,"bcs",1,2,1,1,13,4,225,3,3,13,13,13,12,12,12,12,12,12,11,12,13,13,15,12,12,12,12,15,12,13,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.326,0.326
230,3,3,"bcs",1,2,1,1,13,4,226,3,3,13,13,13,12,12,12,12,12,12,2,12,13,13,13,12,12,12,12,13,12,13,13,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,3,0.326,0.326
