"seccion","munn","edo","edon","disloc2018","disloc2015","pobtot","esc1","esc3","SQ","dsi_pob"
179,6,"col",6,9,9,1628,2,1,9,0.637871980783773
180,6,"col",6,9,9,1525,2,1,9,0.637871980783773
181,6,"col",6,9,9,1543,2,1,9,0.637871980783773
182,6,"col",6,9,9,1725,2,1,9,0.637871980783773
183,6,"col",6,9,9,1080,2,1,9,0.637871980783773
184,6,"col",6,9,9,570,2,1,9,0.637871980783773
185,6,"col",6,9,9,1263,2,1,9,0.637871980783773
186,6,"col",6,9,9,1430,2,1,9,0.637871980783773
187,6,"col",6,9,9,1481,2,1,9,0.637871980783773
188,6,"col",6,9,9,2128,2,1,9,0.637871980783773
189,6,"col",6,9,9,547,2,1,9,0.637871980783773
190,6,"col",6,9,9,462,2,1,9,0.637871980783773
191,7,"col",6,16,3,1559,12,7,16,0.260863023088626
192,7,"col",6,16,3,1201,12,7,16,0.260863023088626
193,7,"col",6,16,3,183,12,7,16,0.260863023088626
194,7,"col",6,16,3,366,12,7,16,0.260863023088626
195,7,"col",6,16,3,639,12,7,16,0.260863023088626
196,7,"col",6,16,3,421,12,7,16,0.260863023088626
197,7,"col",6,16,3,237,12,7,16,0.260863023088626
198,7,"col",6,16,3,108,12,7,16,0.260863023088626
199,7,"col",6,16,3,584,12,7,16,0.260863023088626
200,8,"col",6,13,13,463,8,4,13,0.444468696569537
201,8,"col",6,13,13,52,8,4,13,0.444468696569537
202,8,"col",6,13,13,3463,8,4,13,0.444468696569537
203,8,"col",6,13,13,605,8,4,13,0.444468696569537
204,8,"col",6,13,13,2050,8,4,13,0.444468696569537
205,8,"col",6,13,13,1122,8,4,13,0.444468696569537
206,8,"col",6,13,13,2037,8,4,13,0.444468696569537
207,8,"col",6,13,13,455,8,4,13,0.444468696569537
208,8,"col",6,13,13,1319,8,4,13,0.444468696569537
209,8,"col",6,13,13,1754,8,4,13,0.444468696569537
210,8,"col",6,13,13,1975,8,4,13,0.444468696569537
211,8,"col",6,13,13,2487,8,4,13,0.444468696569537
212,8,"col",6,13,13,607,8,4,13,0.444468696569537
213,8,"col",6,13,13,1344,7,4,13,0.233621315858616
214,8,"col",6,13,13,1328,8,4,13,0.444468696569537
215,8,"col",6,9,13,1789,7,1,13,0.233621315858616
216,8,"col",6,13,13,2665,8,4,13,0.444468696569537
217,8,"col",6,13,13,1331,8,4,13,0.444468696569537
218,8,"col",6,13,13,723,8,4,13,0.444468696569537
