"seccion","X.x","munn.x","edon.x","disloc2013","disloc2015","disfed2015","X.y","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","prd_clv1","esc1_panCLV1","esc1_prdCLV1","SQ","dsiSQ_E1","dsiSQ_E3"
141,136,1,23,4,9,23,136,23,1,5,5,4,5,5,1,1,4,0.375,1
142,137,1,23,4,9,23,137,23,1,5,5,4,5,5,1,1,4,0.375,1
143,138,1,23,4,9,23,138,23,1,5,5,4,5,5,1,1,4,0.375,1
144,139,1,23,8,9,23,139,23,1,5,5,8,5,5,1,1,8,0.375,1
145,140,1,23,8,9,23,140,23,1,5,5,8,5,5,1,1,8,0.375,1
146,141,1,23,8,9,23,141,23,1,5,5,8,5,5,1,1,8,0.375,1
147,142,1,23,8,9,23,142,23,1,5,5,8,5,5,1,1,8,0.375,1
148,143,1,23,8,10,23,143,23,1,6,6,8,6,6,1,1,8,0.281,1
149,144,1,23,8,10,23,144,23,1,6,6,8,6,6,1,1,8,0.281,1
151,145,1,23,1,10,23,145,23,1,6,6,1,6,6,1,1,1,0.281,1
152,146,1,23,1,10,23,146,23,1,6,6,1,6,6,1,1,1,0.281,1
153,147,1,23,1,10,23,147,23,1,6,6,1,6,6,1,1,1,0.281,1
155,148,1,23,1,10,23,148,23,1,6,6,1,6,6,1,1,1,0.281,1
156,149,1,23,8,10,23,149,23,1,6,6,8,6,6,1,1,8,0.281,1
157,150,1,23,8,10,23,150,23,1,6,6,8,6,6,1,1,8,0.281,1
158,151,1,23,8,10,23,151,23,1,6,6,8,6,6,1,1,8,0.281,1
159,152,1,23,8,10,23,152,23,1,6,6,8,6,6,1,1,8,0.281,1
161,153,1,23,8,9,23,153,23,1,5,5,8,5,5,1,1,8,0.375,1
162,154,1,23,8,9,23,154,23,1,5,5,8,5,5,1,1,8,0.375,1
163,155,1,23,8,10,23,155,23,1,6,6,8,6,6,1,1,8,0.281,1
164,156,1,23,1,10,23,156,23,1,6,6,1,6,6,1,1,1,0.281,1
165,157,1,23,1,10,23,157,23,1,6,6,1,6,6,1,1,1,0.281,1
166,158,1,23,1,10,23,158,23,1,6,6,1,6,6,1,1,1,0.281,1
167,159,1,23,8,10,23,159,23,1,6,6,8,6,6,1,1,8,0.281,1
168,160,1,23,1,10,23,160,23,1,6,6,1,6,6,1,1,1,0.281,1
169,161,1,23,6,8,23,161,23,1,7,7,6,6,6,0,0,6,0.789,1
170,162,1,23,6,8,23,162,23,1,7,7,6,6,6,0,0,6,0.789,1
171,163,1,23,6,15,23,163,23,1,7,7,6,7,7,1,1,6,0.789,1
172,164,1,23,8,8,23,164,23,1,6,6,8,7,7,0,0,8,0.281,1
173,165,1,23,8,8,23,165,23,1,6,6,8,6,6,1,1,8,0.281,1
174,166,1,23,8,8,23,166,23,1,6,6,8,6,6,1,1,8,0.281,1
175,167,1,23,8,8,23,167,23,1,6,6,8,6,6,1,1,8,0.281,1
177,168,1,23,6,15,23,168,23,1,7,7,6,7,7,1,1,6,0.789,1
178,169,1,23,6,15,23,169,23,1,7,7,6,7,7,1,1,6,0.789,1
179,170,1,23,6,8,23,170,23,1,7,7,6,7,6,1,0,6,0.789,1
180,171,1,23,8,8,23,171,23,1,6,6,8,7,6,0,1,8,0.281,1
181,172,1,23,5,15,23,172,23,1,4,4,5,4,4,1,1,5,0.733,1
182,173,2,23,11,6,23,173,23,2,12,12,11,12,12,1,1,11,1,1
183,174,2,23,11,6,23,174,23,2,12,12,11,12,12,1,1,11,1,1
184,175,2,23,11,6,23,175,23,2,12,12,11,12,12,1,1,11,1,1
185,176,2,23,11,6,23,176,23,2,12,12,11,12,12,1,1,11,1,1
186,177,2,23,11,6,23,177,23,2,12,12,11,12,12,1,1,11,1,1
187,178,2,23,11,6,23,178,23,2,12,12,11,12,12,1,1,11,1,1
188,179,2,23,11,6,23,179,23,2,12,12,11,12,12,1,1,11,1,1
189,180,2,23,11,6,23,180,23,2,12,12,11,12,12,1,1,11,1,1
190,181,2,23,11,6,23,181,23,2,12,12,11,12,12,1,1,11,1,1
191,182,2,23,11,6,23,182,23,2,12,12,11,12,12,1,1,11,1,1
192,183,2,23,11,6,23,183,23,2,12,12,11,12,12,1,1,11,1,1
193,184,2,23,11,6,23,184,23,2,12,12,11,12,12,1,1,11,1,1
194,185,2,23,11,6,23,185,23,2,12,12,11,12,12,1,1,11,1,1
195,186,2,23,11,6,23,186,23,2,12,12,11,12,12,1,1,11,1,1
196,187,2,23,11,6,23,187,23,2,12,12,11,12,12,1,1,11,1,1
197,188,2,23,11,6,23,188,23,2,12,12,11,12,12,1,1,11,1,1
198,189,2,23,11,6,23,189,23,2,12,12,11,12,12,1,1,11,1,1
199,190,2,23,11,6,23,190,23,2,12,12,11,12,12,1,1,11,1,1
200,191,2,23,11,6,23,191,23,2,12,12,11,12,12,1,1,11,1,1
201,192,2,23,11,6,23,192,23,2,12,12,11,12,12,1,1,11,1,1
202,193,2,23,11,6,23,193,23,2,12,12,11,12,12,1,1,11,1,1
203,194,2,23,11,6,23,194,23,2,12,12,11,12,12,1,1,11,1,1
206,195,8,23,9,5,23,195,23,8,9,9,9,9,9,1,1,9,0.781,1
208,196,9,23,9,5,23,196,23,9,9,9,9,9,9,1,1,9,0.781,1
210,197,9,23,9,5,23,197,23,9,9,9,9,10,10,0,0,9,0.781,1
211,198,9,23,9,5,23,198,23,9,9,9,9,10,10,0,0,9,0.781,1
213,199,9,23,9,5,23,199,23,9,10,10,9,9,10,0,1,9,0.554,1
214,200,9,23,9,5,23,200,23,9,10,10,9,9,10,0,1,9,0.554,1
215,201,3,23,12,4,23,201,23,3,10,10,12,10,10,1,1,12,0.554,1
216,202,3,23,12,4,23,202,23,3,10,10,12,10,10,1,1,12,0.554,1
217,203,3,23,12,4,23,203,23,3,10,10,12,10,10,1,1,12,0.554,1
218,204,3,23,12,4,23,204,23,3,10,10,12,10,10,1,1,12,0.554,1
219,205,3,23,12,4,23,205,23,3,10,10,12,10,10,1,1,12,0.554,1
220,206,3,23,12,4,23,206,23,3,10,10,12,10,10,1,1,12,0.554,1
221,207,3,23,12,4,23,207,23,3,10,10,12,10,10,1,1,12,0.554,1
222,208,3,23,12,4,23,208,23,3,10,10,12,10,10,1,1,12,0.554,1
223,209,3,23,12,4,23,209,23,3,10,10,12,10,10,1,1,12,0.554,1
224,210,3,23,12,4,23,210,23,3,10,10,12,10,10,1,1,12,0.554,1
225,211,3,23,12,4,23,211,23,3,10,10,12,10,10,1,1,12,0.554,1
226,212,3,23,12,4,23,212,23,3,10,10,12,10,10,1,1,12,0.554,1
227,213,3,23,12,4,23,213,23,3,10,10,12,10,10,1,1,12,0.554,1
228,214,3,23,12,4,23,214,23,3,10,10,12,10,10,1,1,12,0.554,1
229,215,3,23,12,4,23,215,23,3,10,10,12,10,10,1,1,12,0.554,1
230,216,3,23,12,4,23,216,23,3,10,10,12,10,10,1,1,12,0.554,1
231,217,3,23,12,4,23,217,23,3,10,10,12,10,10,1,1,12,0.554,1
232,218,3,23,12,4,23,218,23,3,10,10,12,10,10,1,1,12,0.554,1
233,219,3,23,12,4,23,219,23,3,10,10,12,10,10,1,1,12,0.554,1
234,220,3,23,12,4,23,220,23,3,10,10,12,10,10,1,1,12,0.554,1
235,221,3,23,12,4,23,221,23,3,10,10,12,10,10,1,1,12,0.554,1
236,222,3,23,12,4,23,222,23,3,10,10,12,10,10,1,1,12,0.554,1
237,223,3,23,12,4,23,223,23,3,10,10,12,10,10,1,1,12,0.554,1
238,224,3,23,12,4,23,224,23,3,10,10,12,10,10,1,1,12,0.554,1
239,225,3,23,12,4,23,225,23,3,10,10,12,10,10,1,1,12,0.554,1
240,226,3,23,12,4,23,226,23,3,10,10,12,10,10,1,1,12,0.554,1
241,227,3,23,12,4,23,227,23,3,10,10,12,10,10,1,1,12,0.554,1
242,228,3,23,12,4,23,228,23,3,10,10,12,10,10,1,1,12,0.554,1
243,229,3,23,12,4,23,229,23,3,10,10,12,10,10,1,1,12,0.554,1
244,230,3,23,12,4,23,230,23,3,10,10,12,10,10,1,1,12,0.554,1
245,231,3,23,12,4,23,231,23,3,10,10,12,10,10,1,1,12,0.554,1
247,232,3,23,12,4,23,232,23,3,10,10,12,10,10,1,1,12,0.554,1
248,233,3,23,12,4,23,233,23,3,10,10,12,10,10,1,1,12,0.554,1
249,234,3,23,12,4,23,234,23,3,10,10,12,10,10,1,1,12,0.554,1
250,235,3,23,12,4,23,235,23,3,10,10,12,10,10,1,1,12,0.554,1
251,236,3,23,12,4,23,236,23,3,10,10,12,10,10,1,1,12,0.554,1
252,237,4,23,6,14,23,237,23,4,7,7,6,7,7,1,1,6,0.789,1
253,238,4,23,6,14,23,238,23,4,7,7,6,7,7,1,1,6,0.789,1
254,239,4,23,6,14,23,239,23,4,7,7,6,7,7,1,1,6,0.789,1
255,240,4,23,6,14,23,240,23,4,7,7,6,7,7,1,1,6,0.789,1
256,241,4,23,6,14,23,241,23,4,7,7,6,7,7,1,1,6,0.789,1
257,242,4,23,6,14,23,242,23,4,7,7,6,7,7,1,1,6,0.789,1
258,243,4,23,6,14,23,243,23,4,7,7,6,7,7,1,1,6,0.789,1
259,244,4,23,6,14,23,244,23,4,7,7,6,7,7,1,1,6,0.789,1
260,245,4,23,6,14,23,245,23,4,7,7,6,7,7,1,1,6,0.789,1
261,246,4,23,6,14,23,246,23,4,7,7,6,7,7,1,1,6,0.789,1
262,247,5,23,15,4,23,247,23,5,15,15,15,15,15,1,1,15,0.441,1
263,248,5,23,12,4,23,248,23,5,15,15,12,15,15,1,1,12,0.441,1
264,249,5,23,15,4,23,249,23,5,15,15,15,15,15,1,1,15,0.441,1
265,250,5,23,12,4,23,250,23,5,15,15,12,15,15,1,1,12,0.441,1
266,251,5,23,12,4,23,251,23,5,15,15,12,15,15,1,1,12,0.441,1
267,252,5,23,12,4,23,252,23,5,15,15,12,15,15,1,1,12,0.441,1
268,253,5,23,12,4,23,253,23,5,15,15,12,15,15,1,1,12,0.441,1
269,254,5,23,12,4,23,254,23,5,15,15,12,15,15,1,1,12,0.441,1
270,255,5,23,15,4,23,255,23,5,15,15,15,15,15,1,1,15,0.441,1
271,256,5,23,15,4,23,256,23,5,15,15,15,15,15,1,1,15,0.441,1
272,257,5,23,12,4,23,257,23,5,15,15,12,15,15,1,1,12,0.441,1
273,258,5,23,15,4,23,258,23,5,15,15,15,15,15,1,1,15,0.441,1
274,259,5,23,15,4,23,259,23,5,15,15,15,15,15,1,1,15,0.441,1
275,260,5,23,15,4,23,260,23,5,15,15,15,15,15,1,1,15,0.441,1
276,261,5,23,15,4,23,261,23,5,15,15,15,15,15,1,1,15,0.441,1
277,262,5,23,12,4,23,262,23,5,15,15,12,15,15,1,1,12,0.441,1
278,263,5,23,15,4,23,263,23,5,15,15,15,15,15,1,1,15,0.441,1
279,264,5,23,15,4,23,264,23,5,15,15,15,15,15,1,1,15,0.441,1
280,265,5,23,15,4,23,265,23,5,15,15,15,15,15,1,1,15,0.441,1
281,266,5,23,15,4,23,266,23,5,15,15,15,15,15,1,1,15,0.441,1
282,267,5,23,15,4,23,267,23,5,15,15,15,15,15,1,1,15,0.441,1
283,268,5,23,15,4,23,268,23,5,15,15,15,15,15,1,1,15,0.441,1
284,269,6,23,6,15,23,269,23,6,7,7,6,7,7,1,1,6,0.789,1
285,270,6,23,6,15,23,270,23,6,7,7,6,7,7,1,1,6,0.789,1
286,271,6,23,6,15,23,271,23,6,7,7,6,7,7,1,1,6,0.789,1
287,272,6,23,6,15,23,272,23,6,7,7,6,7,7,1,1,6,0.789,1
288,273,6,23,6,15,23,273,23,6,7,7,6,7,7,1,1,6,0.789,1
289,274,6,23,6,15,23,274,23,6,7,7,6,7,7,1,1,6,0.789,1
290,275,6,23,6,15,23,275,23,6,7,7,6,7,7,1,1,6,0.789,1
291,276,6,23,6,15,23,276,23,6,7,7,6,7,7,1,1,6,0.789,1
292,277,6,23,6,15,23,277,23,6,7,7,6,7,7,1,1,6,0.789,1
293,278,6,23,6,15,23,278,23,6,7,7,6,7,7,1,1,6,0.789,1
294,279,6,23,6,15,23,279,23,6,7,7,6,7,7,1,1,6,0.789,1
295,280,6,23,6,15,23,280,23,6,7,7,6,7,7,1,1,6,0.789,1
296,281,6,23,6,15,23,281,23,6,7,7,6,7,7,1,1,6,0.789,1
297,282,6,23,6,15,23,282,23,6,7,7,6,7,7,1,1,6,0.789,1
298,283,7,23,13,2,23,283,23,7,14,14,13,14,14,1,1,13,0.389,1
299,284,7,23,13,2,23,284,23,7,13,13,13,14,14,0,0,13,0.485,1
300,285,7,23,14,1,23,285,23,7,13,13,14,13,13,1,1,14,0.485,1
301,286,7,23,14,1,23,286,23,7,13,13,14,13,13,1,1,14,0.485,1
302,287,7,23,14,1,23,287,23,7,13,13,14,13,13,1,1,14,0.485,1
303,288,7,23,13,2,23,288,23,7,13,13,13,14,14,0,0,13,0.485,1
304,289,7,23,13,2,23,289,23,7,14,14,13,14,14,1,1,13,0.389,1
305,290,7,23,13,2,23,290,23,7,14,14,13,14,14,1,1,13,0.389,1
306,291,7,23,13,2,23,291,23,7,13,13,13,14,14,0,0,13,0.485,1
307,292,7,23,13,2,23,292,23,7,13,13,13,13,13,1,1,13,0.485,1
308,293,7,23,14,1,23,293,23,7,13,13,14,13,13,1,1,14,0.485,1
309,294,7,23,14,1,23,294,23,7,13,13,14,13,13,1,1,14,0.485,1
310,295,7,23,14,1,23,295,23,7,13,13,14,13,13,1,1,14,0.485,1
311,296,7,23,14,1,23,296,23,7,13,13,14,13,13,1,1,14,0.485,1
312,297,7,23,14,1,23,297,23,7,13,13,14,13,13,1,1,14,0.485,1
313,298,7,23,14,1,23,298,23,7,13,13,14,13,13,1,1,14,0.485,1
314,299,7,23,14,1,23,299,23,7,13,13,14,13,13,1,1,14,0.485,1
315,300,7,23,13,2,23,300,23,7,13,13,13,13,13,1,1,13,0.485,1
317,301,7,23,13,2,23,301,23,7,13,13,13,14,14,0,0,13,0.485,1
318,302,7,23,13,2,23,302,23,7,13,13,13,14,14,0,0,13,0.485,1
319,303,7,23,13,2,23,303,23,7,13,13,13,14,14,0,0,13,0.485,1
320,304,7,23,13,2,23,304,23,7,14,14,13,14,14,1,1,13,0.389,1
321,305,7,23,13,2,23,305,23,7,14,14,13,14,14,1,1,13,0.389,1
322,306,7,23,13,2,23,306,23,7,14,14,13,14,14,1,1,13,0.389,1
323,307,7,23,13,2,23,307,23,7,13,13,13,14,14,0,0,13,0.485,1
324,308,7,23,14,1,23,308,23,7,15,15,14,13,13,0,0,14,0.441,1
325,309,7,23,14,1,23,309,23,7,13,13,14,13,13,1,1,14,0.485,1
326,310,7,23,14,1,23,310,23,7,13,13,14,13,13,1,1,14,0.485,1
327,311,7,23,14,1,23,311,23,7,13,13,14,13,13,1,1,14,0.485,1
328,312,7,23,14,1,23,312,23,7,13,13,14,13,13,1,1,14,0.485,1
329,313,7,23,13,2,23,313,23,7,13,13,13,13,13,1,1,13,0.485,1
330,314,7,23,13,2,23,314,23,7,13,13,13,14,13,0,1,13,0.485,1
331,315,7,23,13,2,23,315,23,7,13,13,13,14,14,0,0,13,0.485,1
332,316,7,23,13,2,23,316,23,7,13,13,13,14,14,0,0,13,0.485,1
333,317,7,23,13,2,23,317,23,7,14,14,13,14,14,1,1,13,0.389,1
334,318,7,23,13,2,23,318,23,7,14,14,13,14,14,1,1,13,0.389,1
335,319,7,23,13,2,23,319,23,7,14,14,13,14,14,1,1,13,0.389,1
336,320,7,23,13,2,23,320,23,7,14,14,13,14,14,1,1,13,0.389,1
337,321,7,23,13,2,23,321,23,7,14,14,13,14,14,1,1,13,0.389,1
338,322,7,23,13,2,23,322,23,7,14,14,13,14,14,1,1,13,0.389,1
339,323,7,23,13,2,23,323,23,7,14,14,13,14,14,1,1,13,0.389,1
340,324,7,23,13,2,23,324,23,7,14,14,13,14,14,1,1,13,0.389,1
341,325,7,23,13,2,23,325,23,7,14,14,13,14,14,1,1,13,0.389,1
342,326,7,23,13,2,23,326,23,7,14,14,13,14,14,1,1,13,0.389,1
343,327,7,23,13,2,23,327,23,7,13,13,13,14,14,0,0,13,0.485,1
344,328,7,23,13,2,23,328,23,7,13,13,13,13,13,1,1,13,0.485,1
