"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","E1","dsiE1_E3"
44,5,32,"zac",2,3,1,1,2,3,"zacatecas",44,32,5,15,15,14,10,14,0,0,10,0.611
45,5,32,"zac",2,3,1,1,2,3,"zacatecas",45,32,5,15,15,14,10,14,0,0,10,0.611
46,5,32,"zac",2,3,1,1,2,3,"zacatecas",46,32,5,15,15,14,10,14,0,0,10,0.611
47,5,32,"zac",2,3,1,1,2,3,"zacatecas",47,32,5,15,15,14,10,14,0,0,10,0.611
48,5,32,"zac",2,3,1,1,2,3,"zacatecas",48,32,5,15,15,14,10,14,0,0,10,0.611
49,5,32,"zac",2,3,1,1,2,3,"zacatecas",49,32,5,15,15,14,10,14,0,0,10,0.611
50,5,32,"zac",2,3,1,1,2,3,"zacatecas",50,32,5,15,15,14,10,14,0,0,10,0.611
51,5,32,"zac",2,3,1,1,2,3,"zacatecas",51,32,5,15,15,14,10,14,0,0,10,0.611
52,5,32,"zac",2,3,1,1,2,3,"zacatecas",52,32,5,15,15,14,10,14,0,0,10,0.611
53,5,32,"zac",2,3,1,1,2,3,"zacatecas",53,32,5,15,15,14,10,14,0,0,10,0.611
54,5,32,"zac",2,3,1,1,2,3,"zacatecas",54,32,5,15,15,14,10,14,0,0,10,0.611
55,5,32,"zac",2,3,1,1,2,3,"zacatecas",55,32,5,15,15,14,10,14,0,0,10,0.611
56,5,32,"zac",2,3,1,1,2,3,"zacatecas",56,32,5,15,15,14,10,14,0,0,10,0.611
57,5,32,"zac",2,3,1,1,2,3,"zacatecas",57,32,5,15,15,14,10,14,0,0,10,0.611
58,5,32,"zac",2,3,1,1,2,3,"zacatecas",58,32,5,15,15,14,10,14,0,0,10,0.611
59,5,32,"zac",2,3,1,1,2,3,"zacatecas",59,32,5,15,15,14,10,14,0,0,10,0.611
60,5,32,"zac",2,3,1,1,2,3,"zacatecas",60,32,5,15,15,14,10,14,0,0,10,0.611
61,6,32,"zac",4,2,3,1,16,12,"rio grande",61,32,6,16,16,17,14,17,0,0,16,0.881
62,6,32,"zac",4,2,3,1,16,12,"rio grande",62,32,6,16,16,17,14,17,0,0,16,0.881
63,6,32,"zac",4,2,3,1,16,12,"rio grande",63,32,6,16,16,17,14,17,0,0,16,0.881
64,6,32,"zac",4,2,3,1,16,12,"rio grande",64,32,6,16,16,17,14,17,0,0,16,0.881
65,6,32,"zac",4,2,3,1,16,12,"rio grande",65,32,6,16,16,17,14,17,0,0,16,0.881
66,6,32,"zac",4,2,3,1,16,12,"rio grande",66,32,6,16,16,17,14,17,0,0,16,0.881
67,6,32,"zac",4,2,3,1,16,12,"rio grande",67,32,6,16,16,17,14,17,0,0,16,0.881
68,6,32,"zac",4,2,3,1,16,12,"rio grande",68,32,6,16,16,17,14,17,0,0,16,0.881
69,6,32,"zac",4,2,3,1,16,12,"rio grande",69,32,6,16,16,17,14,17,0,0,16,0.881
70,6,32,"zac",4,2,3,1,16,12,"rio grande",70,32,6,16,16,17,14,17,0,0,16,0.881
71,6,32,"zac",4,2,3,1,16,12,"rio grande",71,32,6,16,16,17,14,17,0,0,16,0.881
73,7,32,"zac",4,1,3,3,12,18,"villa de cos",72,32,7,18,18,15,14,15,0,0,18,0.429
74,7,32,"zac",4,1,3,3,12,18,"villa de cos",73,32,7,18,18,15,14,15,0,0,18,0.429
75,7,32,"zac",4,1,3,3,12,18,"villa de cos",74,32,7,18,18,15,14,15,0,0,18,0.429
76,7,32,"zac",4,1,3,3,12,18,"villa de cos",75,32,7,18,18,15,14,15,0,0,18,0.429
77,7,32,"zac",4,1,3,3,12,18,"villa de cos",76,32,7,18,18,15,14,15,0,0,18,0.429
78,7,32,"zac",4,1,3,3,12,18,"villa de cos",77,32,7,18,18,15,14,15,0,0,18,0.429
79,7,32,"zac",4,1,3,3,12,18,"villa de cos",78,32,7,18,18,15,14,15,0,0,18,0.429
80,7,32,"zac",4,1,3,3,12,18,"villa de cos",79,32,7,18,18,15,14,15,0,0,18,0.429
82,7,32,"zac",4,1,3,3,12,18,"villa de cos",80,32,7,18,18,15,14,15,0,0,18,0.429
83,7,32,"zac",4,1,3,3,12,18,"villa de cos",81,32,7,18,18,15,14,15,0,0,18,0.429
84,7,32,"zac",4,1,3,3,12,18,"villa de cos",82,32,7,18,18,15,14,15,0,0,18,0.429
85,7,32,"zac",4,1,3,3,12,18,"villa de cos",83,32,7,18,18,15,14,15,0,0,18,0.429
86,7,32,"zac",4,1,3,3,12,18,"villa de cos",84,32,7,18,18,15,14,15,0,0,18,0.429
87,7,32,"zac",4,1,3,3,12,18,"villa de cos",85,32,7,18,18,15,14,15,0,0,18,0.429
88,7,32,"zac",4,1,3,3,12,18,"villa de cos",86,32,7,18,18,15,14,15,0,0,18,0.429
89,7,32,"zac",4,1,3,3,12,18,"villa de cos",87,32,7,18,18,15,14,15,0,0,18,0.429
90,7,32,"zac",4,1,3,3,12,18,"villa de cos",88,32,7,18,18,15,14,15,0,0,18,0.429
91,7,32,"zac",4,1,3,3,12,18,"villa de cos",89,32,7,18,18,15,14,15,0,0,18,0.429
92,7,32,"zac",4,1,3,3,12,18,"villa de cos",90,32,7,18,18,15,14,15,0,0,18,0.429
