"seccion","munn","edo","edon","disloc2018","disloc2011","pobtot","esc1","esc3","SQ","dsi_pob"
280,3,"bcs",3,12,6,1773,12,12,6,0.511591926116348
281,3,"bcs",3,12,6,1827,12,12,6,0.511591926116348
282,3,"bcs",3,12,6,1894,12,12,6,0.511591926116348
283,3,"bcs",3,12,6,2830,12,12,6,0.511591926116348
284,3,"bcs",3,12,6,66,12,12,6,0.511591926116348
285,3,"bcs",3,12,6,77,12,12,6,0.511591926116348
286,3,"bcs",3,12,6,282,12,12,6,0.511591926116348
287,3,"bcs",3,12,6,207,12,12,6,0.511591926116348
288,3,"bcs",3,15,5,1231,15,15,5,0.549163710086163
289,3,"bcs",3,15,5,2140,15,15,5,0.549163710086163
290,4,"bcs",3,9,16,1536,9,9,8,0.0623352908219377
291,4,"bcs",3,8,16,2167,8,8,7,0.356519782793214
292,4,"bcs",3,8,16,516,8,8,7,0.356519782793214
293,4,"bcs",3,8,16,1133,8,8,7,0.356519782793214
294,4,"bcs",3,9,16,2493,9,9,8,0.0623352908219377
295,4,"bcs",3,9,16,2805,9,9,8,0.0623352908219377
296,4,"bcs",3,9,16,1661,9,9,8,0.0623352908219377
297,4,"bcs",3,8,16,1131,8,8,7,0.356519782793214
298,4,"bcs",3,9,7,18276,9,9,8,0.0623352908219377
299,4,"bcs",3,10,7,1467,10,10,7,0.427628177509694
300,4,"bcs",3,10,7,5137,10,10,7,0.427628177509694
302,4,"bcs",3,10,7,763,10,10,7,0.427628177509694
303,4,"bcs",3,8,7,728,8,8,7,0.356519782793214
304,4,"bcs",3,8,7,2254,8,8,7,0.356519782793214
305,4,"bcs",3,8,7,1030,8,8,7,0.356519782793214
306,4,"bcs",3,8,7,1839,8,8,7,0.356519782793214
307,4,"bcs",3,8,7,304,8,8,7,0.356519782793214
308,4,"bcs",3,8,7,2099,8,8,7,0.356519782793214
309,4,"bcs",3,8,7,635,8,8,7,0.356519782793214
310,4,"bcs",3,8,7,3950,8,8,7,0.356519782793214
311,4,"bcs",3,8,7,849,8,8,7,0.356519782793214
312,4,"bcs",3,8,7,10393,8,8,7,0.356519782793214
313,4,"bcs",3,8,7,1993,8,8,7,0.356519782793214
314,4,"bcs",3,8,7,7874,8,8,7,0.356519782793214
315,4,"bcs",3,8,7,915,8,8,7,0.356519782793214
316,4,"bcs",3,9,16,3734,9,9,8,0.0623352908219377
317,4,"bcs",3,5,16,1785,5,5,8,0.197824953097145
318,4,"bcs",3,5,16,1027,5,5,8,0.197824953097145
319,4,"bcs",3,5,16,527,5,5,8,0.197824953097145
320,4,"bcs",3,5,16,1243,5,5,8,0.197824953097145
321,4,"bcs",3,5,16,1473,5,5,8,0.197824953097145
322,4,"bcs",3,5,16,1533,5,5,8,0.197824953097145
323,4,"bcs",3,5,16,1145,5,5,8,0.197824953097145
324,4,"bcs",3,5,16,1833,5,5,8,0.197824953097145
325,4,"bcs",3,5,16,1692,5,5,8,0.197824953097145
326,4,"bcs",3,5,16,953,5,5,8,0.197824953097145
327,4,"bcs",3,5,16,1178,5,5,8,0.197824953097145
328,4,"bcs",3,5,8,2635,5,5,8,0.197824953097145
329,4,"bcs",3,5,8,973,5,5,8,0.197824953097145
331,4,"bcs",3,5,8,4269,5,5,8,0.197824953097145
332,4,"bcs",3,6,8,11664,6,6,8,0.350720622786408
333,4,"bcs",3,5,8,3687,5,5,8,0.197824953097145
334,4,"bcs",3,9,8,241,9,9,8,0.0623352908219377
335,4,"bcs",3,6,8,424,6,6,8,0.350720622786408
336,4,"bcs",3,6,8,607,6,6,8,0.350720622786408
337,5,"bcs",3,1,11,72,4,1,11,0.261352319199881
