"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab.x","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","mc_clv1","panal_cnv1","panal_cnv2","pan_clv2","cab.y","esc1_mcCLV1","esc1_panalCNV1","esc2_panalCNV2","SQ","dsiSQ_E1","dsiSQ_E3"
112,8,29,"tla",2,1,1,1,11,"huamantla",19,112,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
113,8,29,"tla",2,1,1,1,11,"huamantla",19,113,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
114,8,29,"tla",2,1,1,1,11,"huamantla",19,114,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
115,8,29,"tla",2,1,1,1,11,"huamantla",19,115,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
116,8,29,"tla",2,1,1,1,11,"huamantla",19,116,29,8,14,14,3,11,3,14,14,3,"huamantla",0,1,1,19,0.41,0.41
117,9,29,"tla",2,1,1,1,3,"xalostoc",16,117,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394
118,9,29,"tla",2,1,1,1,3,"xalostoc",16,118,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394
119,9,29,"tla",2,1,1,1,3,"xalostoc",16,119,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394
120,9,29,"tla",2,1,1,1,3,"xalostoc",16,120,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394
121,9,29,"tla",2,1,1,1,3,"xalostoc",16,121,29,9,5,5,14,3,14,1,5,14,"xalostoc",0,0,1,17,0.545,0.394
122,10,29,"tla",1,3,2,2,9,"chiautempan",4,122,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
123,10,29,"tla",1,3,2,2,9,"chiautempan",4,123,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
124,10,29,"tla",1,3,2,2,9,"chiautempan",4,124,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
125,10,29,"tla",1,3,2,2,9,"chiautempan",4,125,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
126,10,29,"tla",1,3,2,2,9,"chiautempan",4,126,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
127,10,29,"tla",1,3,2,2,9,"chiautempan",4,127,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
128,10,29,"tla",1,3,2,2,9,"chiautempan",4,128,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
129,10,29,"tla",1,3,2,2,9,"chiautempan",4,129,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
130,10,29,"tla",1,3,2,2,9,"chiautempan",4,130,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
131,10,29,"tla",1,3,2,2,9,"chiautempan",4,131,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
132,10,29,"tla",1,3,2,2,9,"chiautempan",4,132,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
133,10,29,"tla",1,3,2,2,9,"chiautempan",4,133,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
134,10,29,"tla",1,3,2,2,9,"chiautempan",4,134,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
135,10,29,"tla",1,3,2,2,9,"chiautempan",4,135,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
136,10,29,"tla",1,3,2,2,9,"chiautempan",4,136,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
137,10,29,"tla",1,3,2,2,9,"chiautempan",4,137,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
138,10,29,"tla",1,3,2,2,9,"chiautempan",4,138,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
139,10,29,"tla",1,3,2,2,9,"chiautempan",4,139,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
140,10,29,"tla",1,3,2,2,9,"chiautempan",4,140,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
141,10,29,"tla",1,3,2,2,9,"chiautempan",4,141,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
142,10,29,"tla",1,3,2,2,9,"chiautempan",4,142,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
143,10,29,"tla",1,3,2,2,9,"chiautempan",4,143,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
144,10,29,"tla",1,3,2,2,9,"chiautempan",4,144,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
145,10,29,"tla",1,3,2,2,9,"chiautempan",5,145,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
146,10,29,"tla",1,3,2,2,9,"chiautempan",5,146,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
147,10,29,"tla",1,3,2,2,9,"chiautempan",5,147,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
148,10,29,"tla",1,3,2,2,9,"chiautempan",5,148,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
149,10,29,"tla",1,3,2,2,9,"chiautempan",4,149,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
150,52,29,"tla",1,3,2,2,9,"chiautempan",5,150,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722
151,52,29,"tla",1,3,2,2,9,"chiautempan",5,151,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722
152,52,29,"tla",1,3,2,2,9,"chiautempan",5,152,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722
153,52,29,"tla",1,3,2,2,9,"chiautempan",5,153,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722
154,52,29,"tla",1,3,2,2,9,"chiautempan",5,154,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722
155,52,29,"tla",1,3,2,2,9,"chiautempan",5,155,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722
156,10,29,"tla",1,3,2,2,9,"chiautempan",4,156,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
157,10,29,"tla",1,3,2,2,9,"chiautempan",4,157,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722
158,51,29,"tla",1,3,2,2,12,"teolocholco",5,158,29,51,6,6,7,12,7,11,9,7,"teolocholco",0,0,0,7,0.486,0.356
159,51,29,"tla",1,3,2,2,12,"teolocholco",5,159,29,51,6,6,7,12,7,11,9,7,"teolocholco",0,0,0,7,0.486,0.356
160,51,29,"tla",1,3,2,2,12,"teolocholco",5,160,29,51,6,6,7,12,7,11,9,7,"teolocholco",0,0,0,7,0.486,0.356
161,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,161,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588
162,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,162,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588
163,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,163,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588
164,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,164,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588
165,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,165,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
166,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,166,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
167,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,167,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
168,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,168,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
169,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,169,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
170,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,170,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
171,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,171,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
172,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,172,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
173,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,173,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
174,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,174,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
175,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,175,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
176,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,176,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588
