"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","E1","dsiE1_E3"
65,2,18,"nay",3,3,3,3,"ixtlan del rio","ahuacatlan",7,16,2.04,65,18,2,17,18,18,18,18,0,0,17,0.831
66,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,66,18,3,17,18,18,18,18,0,0,17,0.831
67,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,67,18,3,17,18,18,18,18,0,0,17,0.831
68,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,68,18,3,17,18,18,18,18,0,0,17,0.831
69,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,69,18,3,17,18,18,18,18,0,0,17,0.831
70,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.01,70,18,3,17,18,18,18,18,0,0,17,0.831
71,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,71,18,3,17,18,18,18,18,0,0,17,0.831
72,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,72,18,3,17,18,18,18,18,0,0,17,0.831
73,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,73,18,3,17,18,18,18,18,0,0,17,0.831
74,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,74,18,3,17,18,18,18,18,0,0,17,0.831
75,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,75,18,3,17,18,18,18,18,0,0,17,0.831
76,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.05,76,18,3,17,18,18,18,18,0,0,17,0.831
77,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.04,77,18,3,17,18,18,18,18,0,0,17,0.831
78,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.04,78,18,3,17,18,18,18,18,0,0,17,0.831
79,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.04,79,18,3,17,18,18,18,18,0,0,17,0.831
80,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,80,18,3,17,18,18,18,18,0,0,17,0.831
81,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,81,18,3,17,18,18,18,18,0,0,17,0.831
82,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,82,18,3,17,18,18,18,18,0,0,17,0.831
83,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.03,83,18,3,17,18,18,18,18,0,0,17,0.831
84,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,84,18,3,17,18,18,18,18,0,0,17,0.831
86,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,85,18,3,17,18,18,18,18,0,0,17,0.831
87,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,86,18,3,17,18,18,18,18,0,0,17,0.831
88,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,87,18,3,17,18,18,18,18,0,0,17,0.831
89,3,18,"nay",3,3,3,3,"ixtlan del rio","amatlan de c",13,16,3.02,88,18,3,17,18,18,18,18,0,0,17,0.831
90,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.04,89,18,4,12,3,3,3,3,0,0,12,1
91,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,90,18,4,11,4,4,4,4,0,0,11,1
92,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,91,18,4,11,4,4,4,4,0,0,11,1
93,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,92,18,4,11,4,4,4,4,0,0,11,1
94,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,93,18,4,11,4,4,4,4,0,0,11,1
95,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,94,18,4,11,4,4,4,4,0,0,11,1
96,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,95,18,4,11,4,4,4,4,0,0,11,1
97,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,96,18,4,11,4,4,4,4,0,0,11,1
98,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,97,18,4,11,4,4,4,4,0,0,11,1
99,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,98,18,4,11,4,4,4,4,0,0,11,1
100,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,99,18,4,11,4,4,4,4,0,0,11,1
101,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,100,18,4,11,4,4,4,4,0,0,11,1
102,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,101,18,4,11,4,4,4,4,0,0,11,1
103,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,102,18,4,11,4,4,4,4,0,0,11,1
104,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.09,103,18,4,11,4,4,4,4,0,0,11,1
105,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,104,18,4,11,4,4,4,4,0,0,11,1
106,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,105,18,4,11,4,4,4,4,0,0,11,1
107,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,106,18,4,11,4,4,4,4,0,0,11,1
108,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.08,107,18,4,11,4,4,4,4,0,0,11,1
109,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,108,18,4,11,4,4,4,4,0,0,11,1
110,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.01,109,18,4,11,4,4,4,4,0,0,11,1
111,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.03,110,18,4,11,4,4,4,4,0,0,11,1
