"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
107,7,8,"cua",2,9,9,9,22,"guachochi",21,103,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
108,7,8,"cua",2,9,9,9,22,"guachochi",21,104,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
109,7,8,"cua",2,9,9,9,22,"guachochi",21,105,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
110,7,8,"cua",2,9,9,9,22,"guachochi",21,106,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
111,7,8,"cua",2,9,9,9,22,"guachochi",21,107,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
112,7,8,"cua",2,9,9,9,22,"guachochi",21,108,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
113,7,8,"cua",2,9,9,9,22,"guachochi",21,109,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
114,7,8,"cua",2,9,9,9,22,"guachochi",21,110,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
115,7,8,"cua",2,9,9,9,22,"guachochi",21,111,8,7,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
116,8,8,"cua",2,7,9,9,22,"guachochi",21,112,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
117,8,8,"cua",2,7,9,9,22,"guachochi",21,113,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
118,8,8,"cua",2,7,9,9,22,"guachochi",21,114,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
119,8,8,"cua",2,7,9,9,22,"guachochi",21,115,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
120,8,8,"cua",2,7,9,9,22,"guachochi",21,116,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
121,8,8,"cua",2,7,9,9,22,"guachochi",21,117,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
122,8,8,"cua",2,7,9,9,22,"guachochi",21,118,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
123,8,8,"cua",2,7,9,9,22,"guachochi",21,119,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
124,8,8,"cua",2,7,9,9,22,"guachochi",21,120,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
125,8,8,"cua",2,7,9,9,22,"guachochi",21,121,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
126,8,8,"cua",2,7,9,9,22,"guachochi",21,122,8,8,6,6,6,6,6,5,6,6,5,6,1,1,0,1,1,0,1,21,0.757,0.757
127,9,8,"cua",5,7,9,7,13,"guerrero",14,123,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
128,9,8,"cua",5,7,9,7,13,"guerrero",14,124,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
129,9,8,"cua",5,7,9,7,13,"guerrero",14,125,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
130,9,8,"cua",5,7,9,7,13,"guerrero",14,126,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
131,9,8,"cua",5,7,9,7,13,"guerrero",14,127,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
132,9,8,"cua",5,7,9,7,13,"guerrero",14,128,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
133,9,8,"cua",5,7,9,7,13,"guerrero",14,129,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
134,9,8,"cua",5,7,9,7,13,"guerrero",14,130,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
135,9,8,"cua",5,7,9,7,13,"guerrero",14,131,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
136,9,8,"cua",5,7,9,7,13,"guerrero",14,132,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
137,9,8,"cua",5,7,9,7,13,"guerrero",14,133,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
138,9,8,"cua",5,7,9,7,13,"guerrero",14,134,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
139,9,8,"cua",5,7,9,7,13,"guerrero",14,135,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
140,9,8,"cua",5,7,9,7,13,"guerrero",14,136,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
141,9,8,"cua",5,7,9,7,13,"guerrero",14,137,8,9,5,4,4,5,4,4,4,1,4,4,1,0,1,1,0,1,1,14,0.386,0.415
