"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","X","edon.y","munn.y","escenario1","escenario2","escenario3","morena_iee1","pan_cnv1","pan_iee1","esc1_morIEE1","esc1_panCNV1","esc1_panIEE1","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
74,1,4,"cam",2,1,1,1,9,5,74,4,1,6,9,9,9,9,9,0,0,0,5,0.387,0.364,6,0.538
75,1,4,"cam",2,1,1,1,9,5,75,4,1,6,9,9,9,9,9,0,0,0,5,0.387,0.364,6,0.538
76,1,4,"cam",2,1,1,1,9,5,76,4,1,9,9,9,9,9,9,1,1,1,5,0.333,0.364,6,0.538
77,1,4,"cam",2,1,1,1,6,4,77,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
78,1,4,"cam",2,1,1,1,6,4,78,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
79,1,4,"cam",2,1,1,1,8,3,79,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
80,1,4,"cam",2,1,1,1,8,3,80,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
81,1,4,"cam",2,1,1,1,7,7,81,4,1,7,7,7,10,7,10,0,1,0,2,0.308,0.136,7,0.5
82,1,4,"cam",2,1,1,1,8,3,82,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
83,1,4,"cam",2,1,1,1,8,3,83,4,1,5,8,8,7,8,7,0,0,0,3,0.545,0.684,5,0.7
84,1,4,"cam",2,1,1,1,6,4,84,4,1,13,6,6,7,6,7,0,0,0,4,0.955,0.913,13,0.957
85,1,4,"cam",2,1,1,1,6,4,85,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
86,1,4,"cam",2,1,1,1,6,4,86,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
87,1,4,"cam",2,1,1,1,9,5,87,4,1,6,9,9,9,9,9,0,0,0,5,0.387,0.364,6,0.538
88,1,4,"cam",2,1,1,1,10,5,88,4,1,6,10,10,6,10,6,1,0,1,6,0.387,0.415,12,0.326
89,1,4,"cam",2,1,1,1,10,5,89,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
90,1,4,"cam",2,1,1,1,9,5,90,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
91,1,4,"cam",2,1,1,1,9,5,91,4,1,6,9,9,9,9,9,0,0,0,5,0.387,0.364,6,0.538
92,1,4,"cam",2,1,1,1,6,4,92,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
93,1,4,"cam",2,1,1,1,6,4,93,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
94,1,4,"cam",2,1,1,1,6,4,94,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
95,1,4,"cam",2,1,1,1,6,4,95,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
96,1,4,"cam",2,1,1,1,6,4,96,4,1,13,6,6,9,6,9,0,0,0,4,0.955,0.913,13,0.957
97,1,4,"cam",2,1,1,1,6,4,97,4,1,13,6,6,4,6,4,0,0,0,4,0.955,0.913,13,0.957
98,1,4,"cam",2,1,1,1,6,4,98,4,1,13,6,6,4,6,4,0,0,0,4,0.955,0.913,13,0.957
99,1,4,"cam",2,1,1,1,9,5,99,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
100,1,4,"cam",2,1,1,1,9,5,100,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
101,1,4,"cam",2,1,1,1,9,6,101,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
102,1,4,"cam",2,1,1,1,9,6,102,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
103,1,4,"cam",2,1,1,1,9,6,103,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
104,1,4,"cam",2,1,1,1,6,4,104,4,1,13,6,6,4,6,4,0,0,0,4,0.955,0.913,13,0.957
105,1,4,"cam",2,1,1,1,6,4,105,4,1,13,6,6,4,6,4,0,0,0,4,0.955,0.913,13,0.957
106,1,4,"cam",2,1,1,1,6,4,106,4,1,13,6,6,4,6,4,0,0,0,4,0.955,0.913,13,0.957
107,1,4,"cam",2,1,1,1,10,6,107,4,1,6,10,10,6,10,6,1,0,1,6,0.387,0.415,12,0.326
108,1,4,"cam",2,1,1,1,9,6,108,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
109,1,4,"cam",2,1,1,1,9,6,109,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
110,1,4,"cam",2,1,1,1,10,5,110,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
111,1,4,"cam",2,1,1,1,9,6,111,4,1,6,9,9,6,9,6,1,0,1,5,0.387,0.364,6,0.538
112,1,4,"cam",2,1,1,1,10,6,112,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
113,1,4,"cam",2,1,1,1,10,5,113,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
114,1,4,"cam",2,1,1,1,10,5,114,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
115,1,4,"cam",2,1,1,1,10,5,115,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
116,1,4,"cam",2,1,1,1,10,5,116,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
117,1,4,"cam",2,1,1,1,10,5,117,4,1,12,10,10,6,10,6,0,0,0,6,0.217,0.415,12,0.326
118,1,4,"cam",2,1,1,1,11,7,118,4,1,9,11,11,10,11,10,0,0,0,1,0.333,0.306,9,0.5
119,1,4,"cam",2,1,1,1,11,7,119,4,1,9,11,11,10,11,10,0,0,0,1,0.333,0.306,9,0.5
120,1,4,"cam",2,1,1,1,11,7,120,4,1,9,11,11,10,11,10,0,0,0,1,0.333,0.306,9,0.5
121,1,4,"cam",2,1,1,1,11,7,121,4,1,9,11,11,10,11,10,0,0,0,1,0.333,0.306,9,0.5
122,1,4,"cam",2,1,1,1,11,7,122,4,1,9,11,11,8,11,8,0,0,0,1,0.333,0.306,9,0.5
123,1,4,"cam",2,1,1,1,11,7,123,4,1,7,11,11,10,11,10,0,0,0,1,0.308,0.306,9,0.5
124,1,4,"cam",2,1,1,1,7,7,124,4,1,7,7,7,10,7,10,0,1,0,2,0.308,0.136,7,0.5
125,1,4,"cam",2,1,1,1,8,6,125,4,1,5,8,8,4,8,4,0,0,0,3,0.545,0.684,5,0.7
126,1,4,"cam",2,1,1,1,8,6,126,4,1,12,8,8,4,8,4,0,0,0,3,0.217,0.684,5,0.7
127,1,4,"cam",2,1,1,1,10,6,127,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
128,1,4,"cam",2,1,1,1,7,6,128,4,1,7,7,7,4,7,4,0,1,0,2,0.308,0.136,7,0.5
129,1,4,"cam",2,1,1,1,10,7,129,4,1,7,10,10,10,10,10,0,0,0,6,0.308,0.415,12,0.326
130,1,4,"cam",2,1,1,1,10,7,130,4,1,7,10,10,10,10,10,0,0,0,6,0.308,0.415,12,0.326
131,1,4,"cam",2,1,1,1,10,7,131,4,1,7,10,10,4,10,4,0,0,0,6,0.308,0.415,12,0.326
132,1,4,"cam",2,1,1,1,10,7,132,4,1,7,10,10,4,10,4,0,0,0,6,0.308,0.415,12,0.326
133,1,4,"cam",2,1,1,1,10,6,133,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
134,1,4,"cam",2,1,1,1,10,6,134,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
135,1,4,"cam",2,1,1,1,10,6,135,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
136,1,4,"cam",2,1,1,1,10,6,136,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
137,1,4,"cam",2,1,1,1,10,6,137,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
138,1,4,"cam",2,1,1,1,10,6,138,4,1,12,10,10,4,10,4,0,0,0,6,0.217,0.415,12,0.326
139,1,4,"cam",2,1,1,1,10,6,139,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
140,1,4,"cam",2,1,1,1,10,6,140,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
141,1,4,"cam",2,1,1,1,10,6,141,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
142,1,4,"cam",2,1,1,1,10,6,142,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
143,1,4,"cam",2,1,1,1,10,6,143,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
144,1,4,"cam",2,1,1,1,10,6,144,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
145,1,4,"cam",2,1,1,1,10,6,145,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
146,1,4,"cam",2,1,1,1,10,6,146,4,1,8,10,10,4,10,4,0,0,0,6,0.5,0.415,12,0.326
147,2,4,"cam",2,1,1,1,1,17,147,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
148,2,4,"cam",2,1,1,1,1,17,148,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
149,2,4,"cam",2,1,1,1,1,17,149,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
150,2,4,"cam",2,1,1,1,1,17,150,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
151,2,4,"cam",2,1,1,1,1,17,151,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
152,2,4,"cam",2,1,1,1,1,17,152,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
153,2,4,"cam",2,1,1,1,1,17,153,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
154,2,4,"cam",2,1,1,1,1,17,154,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
155,2,4,"cam",2,1,1,1,1,17,155,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
156,2,4,"cam",2,1,1,1,1,17,156,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
157,2,4,"cam",2,1,1,1,3,19,157,4,2,3,3,3,2,3,2,0,1,0,19,0.632,0.967,3,0.649
158,2,4,"cam",2,1,1,1,3,19,158,4,2,3,3,3,2,3,2,0,1,0,19,0.632,0.967,3,0.649
159,2,4,"cam",2,1,1,1,1,17,159,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
160,2,4,"cam",2,1,1,1,1,17,160,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
161,2,4,"cam",2,1,1,1,1,17,161,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
162,2,4,"cam",2,1,1,1,1,17,162,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
163,2,4,"cam",2,1,1,1,1,17,163,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
164,2,4,"cam",2,1,1,1,1,17,164,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
165,2,4,"cam",2,1,1,1,3,19,165,4,2,3,3,3,2,3,2,0,1,0,19,0.632,0.967,3,0.649
166,2,4,"cam",2,1,1,1,3,19,166,4,2,1,3,3,2,3,2,0,0,0,19,0.7,0.967,3,0.649
167,2,4,"cam",2,1,1,1,3,19,167,4,2,1,3,3,2,3,2,0,0,0,19,0.7,0.967,3,0.649
168,2,4,"cam",2,1,1,1,3,19,168,4,2,1,3,3,2,3,2,0,0,0,19,0.7,0.967,3,0.649
169,2,4,"cam",2,1,1,1,1,17,169,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
170,2,4,"cam",2,1,1,1,3,19,170,4,2,3,3,3,2,3,2,0,1,0,19,0.632,0.967,3,0.649
171,2,4,"cam",2,1,1,1,3,19,171,4,2,1,3,3,2,3,2,0,0,0,19,0.7,0.967,3,0.649
172,2,4,"cam",2,1,1,1,1,17,172,4,2,2,1,1,1,1,1,0,0,0,17,0.914,0.96,1,0.733
173,2,4,"cam",2,1,1,1,1,17,173,4,2,2,1,1,1,1,1,0,0,0,17,0.914,0.96,1,0.733
174,2,4,"cam",2,1,1,1,1,17,174,4,2,2,1,1,1,1,1,0,0,0,17,0.914,0.96,1,0.733
175,2,4,"cam",2,1,1,1,1,17,175,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
176,2,4,"cam",2,1,1,1,1,17,176,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
177,2,4,"cam",2,1,1,1,1,17,177,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
178,2,4,"cam",2,1,1,1,3,19,178,4,2,1,3,3,2,3,2,0,0,0,19,0.7,0.967,3,0.649
179,2,4,"cam",2,1,1,1,1,19,179,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
180,2,4,"cam",2,1,1,1,1,17,180,4,2,1,1,1,1,1,1,1,1,1,17,0.7,0.96,1,0.733
181,2,4,"cam",2,1,1,1,3,19,181,4,2,3,3,3,2,3,2,0,1,0,19,0.632,0.967,3,0.649
182,2,4,"cam",2,1,1,1,3,19,182,4,2,3,3,3,2,3,2,0,1,0,19,0.632,0.967,3,0.649
183,3,4,"cam",1,2,2,2,15,11,183,4,3,14,15,15,16,15,16,0,0,0,12,0.409,0.123,19,0.381
184,3,4,"cam",1,2,2,2,15,11,184,4,3,19,15,15,12,15,16,0,0,0,12,0.688,0.123,19,0.381
185,3,4,"cam",1,2,2,2,15,10,185,4,3,19,15,15,12,15,16,0,0,0,12,0.688,0.123,19,0.381
186,3,4,"cam",1,2,2,2,15,10,186,4,3,19,15,15,15,15,16,0,0,0,12,0.688,0.123,19,0.381
187,3,4,"cam",1,2,2,2,12,9,187,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
188,3,4,"cam",1,2,2,2,12,9,188,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
189,3,4,"cam",1,2,2,2,12,9,189,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
190,3,4,"cam",1,2,2,2,12,9,190,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
191,3,4,"cam",1,2,2,2,15,10,191,4,3,19,15,15,15,15,16,0,0,0,12,0.688,0.123,19,0.381
192,3,4,"cam",1,2,2,2,15,10,192,4,3,19,15,15,15,15,16,0,0,0,12,0.688,0.123,19,0.381
193,3,4,"cam",1,2,2,2,15,10,193,4,3,19,15,15,12,15,16,0,0,0,12,0.688,0.123,19,0.381
194,3,4,"cam",1,2,2,2,12,9,194,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
195,3,4,"cam",1,2,2,2,12,9,195,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
196,3,4,"cam",1,2,2,2,12,9,196,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
197,3,4,"cam",1,2,2,2,12,9,197,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
198,3,4,"cam",1,2,2,2,17,9,198,4,3,17,17,17,14,17,11,0,1,0,20,0.958,0.383,14,0.439
199,3,4,"cam",1,2,2,2,17,9,199,4,3,17,17,17,14,17,11,0,1,0,20,0.958,0.383,14,0.439
200,3,4,"cam",1,2,2,2,17,9,200,4,3,17,17,17,14,17,11,0,1,0,20,0.958,0.383,14,0.439
201,3,4,"cam",1,2,2,2,12,9,201,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
202,3,4,"cam",1,2,2,2,12,9,202,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
203,3,4,"cam",1,2,2,2,12,9,203,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
204,3,4,"cam",1,2,2,2,12,10,204,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
205,3,4,"cam",1,2,2,2,16,10,205,4,3,19,16,16,15,16,15,0,0,0,8,0.688,0.379,18,0.4
206,3,4,"cam",1,2,2,2,15,10,206,4,3,19,15,15,12,15,16,0,0,0,12,0.688,0.123,19,0.381
207,3,4,"cam",1,2,2,2,12,9,207,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
208,3,4,"cam",1,2,2,2,12,9,208,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
209,3,4,"cam",1,2,2,2,12,9,209,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
210,3,4,"cam",1,2,2,2,12,9,210,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
211,3,4,"cam",1,2,2,2,17,9,211,4,3,17,17,17,14,17,11,0,1,0,20,0.958,0.383,14,0.439
212,3,4,"cam",1,2,2,2,12,9,212,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
213,3,4,"cam",1,2,2,2,12,9,213,4,3,17,12,12,14,12,14,0,0,0,9,0.958,0.567,17,0.6
214,3,4,"cam",1,2,2,2,17,9,214,4,3,17,17,17,14,17,11,0,1,0,20,0.958,0.383,14,0.439
215,3,4,"cam",1,2,2,2,17,9,215,4,3,17,17,17,14,17,11,0,1,0,20,0.958,0.383,14,0.439
216,3,4,"cam",1,2,2,2,17,8,216,4,3,18,17,17,11,17,11,0,0,0,20,0.92,0.383,14,0.439
217,3,4,"cam",1,2,2,2,12,8,217,4,3,18,12,12,11,12,14,0,0,0,9,0.92,0.567,17,0.6
218,3,4,"cam",1,2,2,2,12,8,218,4,3,18,12,12,11,12,14,0,0,0,9,0.92,0.567,17,0.6
