"seccion","munn","edon","disloc2016","disloc2013","pobtot","esc1","esc3","SQ","dsi_pob"
97,6,29,1,13,1224,9,6,13,0.81198467230444
98,6,29,1,13,2081,9,6,13,0.81198467230444
99,6,29,1,13,181,9,6,13,0.81198467230444
100,7,29,11,19,4229,14,3,19,0.49556786120352
101,7,29,11,19,2592,14,3,19,0.49556786120352
102,7,29,11,19,2738,14,3,19,0.49556786120352
103,7,29,11,19,1764,14,3,19,0.49556786120352
104,7,29,11,19,3113,14,3,19,0.49556786120352
105,7,29,11,19,549,14,3,19,0.49556786120352
106,7,29,11,19,286,14,3,19,0.49556786120352
107,8,29,11,19,3346,14,3,19,0.49556786120352
108,8,29,11,19,2121,14,3,19,0.49556786120352
109,8,29,11,19,3051,14,3,19,0.49556786120352
110,8,29,11,19,1815,14,3,19,0.49556786120352
111,8,29,11,19,324,14,3,19,0.49556786120352
112,8,29,11,19,216,14,3,19,0.49556786120352
113,8,29,11,19,476,14,3,19,0.49556786120352
114,8,29,11,19,1129,14,3,19,0.49556786120352
115,8,29,11,19,653,14,3,19,0.49556786120352
116,8,29,11,19,592,14,3,19,0.49556786120352
117,9,29,3,16,1562,5,14,17,0.526282942638477
118,9,29,3,16,1265,5,14,17,0.526282942638477
119,9,29,3,16,739,5,14,17,0.526282942638477
120,9,29,3,16,295,5,14,17,0.526282942638477
121,9,29,3,16,1450,5,14,17,0.526282942638477
122,10,29,9,4,2001,7,15,4,0.6720481467329
123,10,29,9,4,2125,7,15,4,0.6720481467329
124,10,29,9,4,2514,7,15,4,0.6720481467329
125,10,29,9,4,2080,7,15,4,0.6720481467329
126,10,29,9,4,2394,7,15,4,0.6720481467329
127,10,29,9,4,3044,7,15,4,0.6720481467329
128,10,29,9,4,1403,7,15,4,0.6720481467329
129,10,29,9,4,1323,7,15,4,0.6720481467329
130,10,29,9,4,701,7,15,4,0.6720481467329
131,10,29,9,4,1360,7,15,4,0.6720481467329
132,10,29,9,4,1542,7,15,4,0.6720481467329
133,10,29,9,4,1167,7,15,4,0.6720481467329
134,10,29,9,4,1188,7,15,4,0.6720481467329
135,10,29,9,4,1447,7,15,4,0.6720481467329
136,10,29,9,4,548,7,15,4,0.6720481467329
137,10,29,9,4,2903,7,15,4,0.6720481467329
138,10,29,9,4,1246,7,15,4,0.6720481467329
139,10,29,9,4,2936,7,15,4,0.6720481467329
140,10,29,9,4,2732,7,15,4,0.6720481467329
141,10,29,9,4,5298,7,15,4,0.6720481467329
142,10,29,9,4,2679,7,15,4,0.6720481467329
143,10,29,9,4,2040,7,15,4,0.6720481467329
144,10,29,9,4,4221,7,15,4,0.6720481467329
145,10,29,9,5,2471,7,15,4,0.6720481467329
146,10,29,9,5,2085,7,15,4,0.6720481467329
147,10,29,9,5,1964,7,15,4,0.6720481467329
148,10,29,9,5,2110,7,15,4,0.6720481467329
149,10,29,9,4,3809,7,15,4,0.6720481467329
150,52,29,9,5,2334,6,15,4,0.6720481467329
151,52,29,9,5,6268,6,15,4,0.6720481467329
152,52,29,9,5,4054,6,15,4,0.6720481467329
153,52,29,9,5,1998,6,15,4,0.6720481467329
154,52,29,9,5,1910,6,15,4,0.6720481467329
155,52,29,9,5,2270,6,15,4,0.6720481467329
156,10,29,9,4,2225,7,15,4,0.6720481467329
157,10,29,9,4,1354,7,15,4,0.6720481467329
158,51,29,12,5,3502,6,7,7,0.343415176432254
159,51,29,12,5,2916,6,7,7,0.343415176432254
160,51,29,12,5,3673,6,7,7,0.343415176432254
161,11,29,5,12,2085,4,12,12,0.430795622339964
162,11,29,5,12,1269,4,12,12,0.430795622339964
163,11,29,5,12,680,4,12,12,0.430795622339964
164,11,29,5,12,558,4,12,12,0.430795622339964
165,12,29,5,12,2512,3,12,12,0.430795622339964
166,12,29,5,12,64,3,12,12,0.430795622339964
167,12,29,5,12,244,3,12,12,0.430795622339964
168,12,29,5,12,948,3,12,12,0.430795622339964
169,12,29,5,12,361,3,12,12,0.430795622339964
170,12,29,5,12,952,3,12,12,0.430795622339964
171,12,29,5,12,434,3,12,12,0.430795622339964
172,12,29,5,12,386,3,12,12,0.430795622339964
173,12,29,5,12,471,3,12,12,0.430795622339964
174,12,29,5,12,272,3,12,12,0.430795622339964
175,12,29,5,12,736,3,12,12,0.430795622339964
176,12,29,5,12,472,3,12,12,0.430795622339964
177,12,29,5,12,475,3,12,12,0.430795622339964
178,13,29,10,18,4978,15,2,18,0.609729914363091
179,13,29,10,18,5322,15,2,18,0.609729914363091
180,13,29,11,19,4920,14,3,19,0.49556786120352
181,13,29,10,18,2581,15,2,18,0.609729914363091
182,13,29,10,18,1910,15,2,18,0.609729914363091
183,13,29,10,18,2642,15,2,18,0.609729914363091
184,13,29,10,18,1680,15,2,18,0.609729914363091
185,13,29,10,18,1705,15,2,18,0.609729914363091
186,13,29,10,18,1350,15,2,18,0.609729914363091
187,13,29,10,18,2357,15,2,18,0.609729914363091
188,13,29,11,18,5455,14,3,19,0.49556786120352
189,13,29,10,18,1732,15,2,18,0.609729914363091
190,13,29,10,18,1241,15,2,18,0.609729914363091
191,13,29,10,18,1705,15,2,18,0.609729914363091
192,13,29,10,18,2690,15,2,18,0.609729914363091
193,13,29,10,18,549,15,2,18,0.609729914363091
194,13,29,10,18,3480,15,2,18,0.609729914363091
195,13,29,10,18,2210,15,2,18,0.609729914363091
196,13,29,11,18,1505,14,3,19,0.49556786120352
197,13,29,11,19,316,14,3,19,0.49556786120352
198,13,29,11,19,712,14,3,19,0.49556786120352
199,13,29,11,18,896,14,3,19,0.49556786120352
200,13,29,11,18,1907,14,3,19,0.49556786120352
201,13,29,11,19,4779,14,3,19,0.49556786120352
202,13,29,11,19,721,14,3,19,0.49556786120352
203,13,29,11,19,2802,14,3,19,0.49556786120352
204,13,29,11,19,3154,14,3,19,0.49556786120352
205,13,29,10,18,377,15,2,18,0.609729914363091
206,13,29,10,18,1447,15,2,18,0.609729914363091
207,13,29,10,18,1048,15,2,18,0.609729914363091
