"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab.x","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","criterio8","mc_clv1","panal_cnv1","panal_cnv2","pan_clv2","cab.y","esc1_mcCLV1","esc1_panalCNV1","esc2_panalCNV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
124,10,29,"tla",1,3,2,2,9,"chiautempan",4,124,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
125,10,29,"tla",1,3,2,2,9,"chiautempan",4,125,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
126,10,29,"tla",1,3,2,2,9,"chiautempan",4,126,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
127,10,29,"tla",1,3,2,2,9,"chiautempan",4,127,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
128,10,29,"tla",1,3,2,2,9,"chiautempan",4,128,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
129,10,29,"tla",1,3,2,2,9,"chiautempan",4,129,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
130,10,29,"tla",1,3,2,2,9,"chiautempan",4,130,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
131,10,29,"tla",1,3,2,2,9,"chiautempan",4,131,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
132,10,29,"tla",1,3,2,2,9,"chiautempan",4,132,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
133,10,29,"tla",1,3,2,2,9,"chiautempan",4,133,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
134,10,29,"tla",1,3,2,2,9,"chiautempan",4,134,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
135,10,29,"tla",1,3,2,2,9,"chiautempan",4,135,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
136,10,29,"tla",1,3,2,2,9,"chiautempan",4,136,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
137,10,29,"tla",1,3,2,2,9,"chiautempan",4,137,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
138,10,29,"tla",1,3,2,2,9,"chiautempan",4,138,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
139,10,29,"tla",1,3,2,2,9,"chiautempan",4,139,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
140,10,29,"tla",1,3,2,2,9,"chiautempan",4,140,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
141,10,29,"tla",1,3,2,2,9,"chiautempan",4,141,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
142,10,29,"tla",1,3,2,2,9,"chiautempan",4,142,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
143,10,29,"tla",1,3,2,2,9,"chiautempan",4,143,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
144,10,29,"tla",1,3,2,2,9,"chiautempan",4,144,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
145,10,29,"tla",1,3,2,2,9,"chiautempan",5,145,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
146,10,29,"tla",1,3,2,2,9,"chiautempan",5,146,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
147,10,29,"tla",1,3,2,2,9,"chiautempan",5,147,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
148,10,29,"tla",1,3,2,2,9,"chiautempan",5,148,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
149,10,29,"tla",1,3,2,2,9,"chiautempan",4,149,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
150,52,29,"tla",1,3,2,2,9,"chiautempan",5,150,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722,7,0.698
151,52,29,"tla",1,3,2,2,9,"chiautempan",5,151,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722,7,0.698
152,52,29,"tla",1,3,2,2,9,"chiautempan",5,152,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722,7,0.698
153,52,29,"tla",1,3,2,2,9,"chiautempan",5,153,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722,7,0.698
154,52,29,"tla",1,3,2,2,9,"chiautempan",5,154,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722,7,0.698
155,52,29,"tla",1,3,2,2,9,"chiautempan",5,155,29,52,6,6,15,9,15,7,6,15,"chiautempan",0,0,1,4,0.486,0.722,7,0.698
156,10,29,"tla",1,3,2,2,9,"chiautempan",4,156,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
157,10,29,"tla",1,3,2,2,9,"chiautempan",4,157,29,10,7,7,15,9,15,7,6,15,"chiautempan",0,1,0,4,0.703,0.722,7,0.698
158,51,29,"tla",1,3,2,2,12,"teolocholco",5,158,29,51,6,6,7,12,7,11,9,7,"teolocholco",0,0,0,7,0.486,0.356,11,0.442
159,51,29,"tla",1,3,2,2,12,"teolocholco",5,159,29,51,6,6,7,12,7,11,9,7,"teolocholco",0,0,0,7,0.486,0.356,11,0.442
160,51,29,"tla",1,3,2,2,12,"teolocholco",5,160,29,51,6,6,7,12,7,11,9,7,"teolocholco",0,0,0,7,0.486,0.356,11,0.442
161,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,161,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588,3,0.294
162,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,162,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588,3,0.294
163,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,163,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588,3,0.294
164,11,29,"tla",2,2,1,3,5,"yauhquemehcan",12,164,29,11,4,4,12,5,12,4,2,12,"yauhquemehcan",0,1,0,12,0.413,0.588,3,0.294
165,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,165,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588,3,0.294
166,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,166,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588,3,0.294
167,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,167,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588,3,0.294
168,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,168,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588,3,0.294
169,12,29,"tla",2,2,3,3,5,"yauhquemehcan",12,169,29,12,3,3,12,5,12,10,7,12,"yauhquemehcan",0,0,0,12,0.338,0.588,3,0.294
