"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","pan_clv1","mc_clv2","pan_cnv2","prd_clv2","pri_clv2","esc1_mcCLV1","esc1_panCLV1","esc1_mcCLV1.1","esc2_mcCLV2","esc2_panCNV2","esc2_prdCLV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
96,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
97,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
98,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
99,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
100,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
101,7,14,"jal",17,1,1,1,3,1,14,7,2,3,3,4,3,3,3,1,3,0,0,0,1,1,0,1,1,0.578,0.991,2,0.584
102,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
103,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
104,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
105,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
106,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
107,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
108,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
109,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
110,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
111,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
112,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
113,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
114,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
115,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
116,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
117,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
118,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
119,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
120,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
121,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
122,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
123,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
124,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
125,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
126,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
127,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
128,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
129,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
130,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
131,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
132,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
133,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
134,8,14,"jal",7,3,3,3,1,3,14,8,7,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.481,0.941,7,0.205
135,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
136,125,14,"jal",7,3,3,3,1,3,14,125,3,1,1,5,1,1,1,4,1,0,0,0,1,1,0,1,3,0.256,0.941,7,0.205
