"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","cab","disloc2013","X","edon.y","munn.y","escenario1","escenario2","escenario3","panal_cnv1","pri_clv1","mc_clv2","panal_cnv2","pan_clv2","pan_cnv2","pri_clv2","esc1_panalCNV1","esc1_priCLV1","esc2_mcCLV2","esc2_panalCNV2","esc2_panCLV2","esc2_panCNV2","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
82,6,8,"cua",5,7,7,7,13,"guerrero",11,79,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
83,6,8,"cua",5,7,7,7,13,"guerrero",11,80,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
84,6,8,"cua",5,7,7,7,13,"guerrero",11,81,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
85,6,8,"cua",5,7,7,7,13,"guerrero",11,82,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
86,6,8,"cua",5,7,7,7,13,"guerrero",11,83,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
87,6,8,"cua",5,7,7,7,13,"guerrero",11,84,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
88,6,8,"cua",5,7,7,7,13,"guerrero",11,85,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
89,6,8,"cua",5,7,7,7,13,"guerrero",11,86,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
90,6,8,"cua",5,7,7,7,13,"guerrero",11,87,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
91,6,8,"cua",5,7,7,7,13,"guerrero",11,88,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
92,6,8,"cua",5,7,7,7,13,"guerrero",11,89,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
93,6,8,"cua",5,7,7,7,13,"guerrero",11,90,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
94,6,8,"cua",5,7,7,7,13,"guerrero",11,91,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
95,6,8,"cua",5,7,7,7,13,"guerrero",11,92,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
97,6,8,"cua",5,7,7,7,13,"guerrero",11,93,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
98,6,8,"cua",5,7,7,7,13,"guerrero",11,94,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
99,6,8,"cua",5,7,7,7,13,"guerrero",11,95,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
100,6,8,"cua",5,7,7,7,13,"guerrero",11,96,8,6,5,4,4,5,4,4,4,7,4,4,1,0,1,1,0,1,1,14,0.386,0.415,5,0.891
