"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","cab","mun","disloc2005","disloc2017","demarc2008","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pri_clv1","esc1_panCLV1","esc1_priCLV1","SQ","dsiSQ_E3"
112,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,111,18,4,11,4,4,4,4,0,0,14,0.532
113,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,112,18,4,11,4,4,4,4,0,0,14,0.532
114,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.02,113,18,4,11,4,4,4,4,0,0,14,0.532
115,4,18,"nay",3,3,3,3,"bucerias","bahia banderas",14,17,4.07,114,18,4,11,4,4,4,4,0,0,14,0.532
116,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.07,115,18,4,12,3,3,3,3,0,0,14,0.191
117,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.07,116,18,4,12,3,3,3,3,0,0,14,0.191
118,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.03,117,18,4,12,3,3,3,3,0,0,14,0.191
119,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.06,118,18,4,12,3,3,3,3,0,0,14,0.191
120,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.06,119,18,4,12,3,3,3,3,0,0,14,0.191
121,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.05,120,18,4,12,3,3,3,3,0,0,14,0.191
122,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.05,121,18,4,12,3,3,3,3,0,0,14,0.191
123,4,18,"nay",3,3,3,3,"mezcales","bahia banderas",14,18,4.05,122,18,4,12,3,3,3,3,0,0,14,0.191
124,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,123,18,5,16,13,13,13,13,0,0,8,0.529
125,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,124,18,5,16,13,13,13,13,0,0,8,0.529
126,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,125,18,5,16,13,13,13,13,0,0,8,0.529
127,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,126,18,5,16,13,13,13,13,0,0,8,0.529
128,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,127,18,5,16,13,13,13,13,0,0,8,0.529
129,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,128,18,5,16,13,13,13,13,0,0,8,0.529
130,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,129,18,5,15,13,13,13,13,0,0,8,0.529
131,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.01,130,18,5,15,13,13,13,13,0,0,8,0.529
132,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,131,18,5,16,13,13,13,13,0,0,8,0.529
133,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,132,18,5,15,13,13,13,13,0,0,8,0.529
134,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,133,18,5,15,13,13,13,13,0,0,8,0.529
135,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,134,18,5,15,13,13,13,13,0,0,8,0.529
136,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,135,18,5,15,13,13,13,13,0,0,8,0.529
137,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,136,18,5,15,13,13,13,13,0,0,8,0.529
138,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.02,137,18,5,15,13,13,13,13,0,0,8,0.529
139,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,138,18,5,15,14,14,14,14,0,0,9,0.785
140,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,139,18,5,16,13,13,13,13,0,0,8,0.529
141,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,140,18,5,16,13,13,13,13,0,0,8,0.529
142,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,141,18,5,16,13,13,13,13,0,0,8,0.529
143,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,142,18,5,16,13,13,13,13,0,0,8,0.529
144,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,143,18,5,15,14,14,14,14,0,0,9,0.785
145,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,144,18,5,15,14,14,14,14,0,0,9,0.785
146,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,145,18,5,15,14,14,14,14,0,0,9,0.785
147,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,146,18,5,15,14,14,14,14,0,0,9,0.785
148,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,147,18,5,15,14,14,14,14,0,0,9,0.785
149,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,148,18,5,15,14,14,14,14,0,0,9,0.785
150,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,149,18,5,15,14,14,14,14,0,0,9,0.785
151,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,150,18,5,15,14,14,14,14,0,0,9,0.785
152,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.04,151,18,5,15,14,14,14,14,0,0,9,0.785
153,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,152,18,5,15,13,13,13,13,0,0,8,0.529
154,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.05,153,18,5,15,14,14,14,14,0,0,9,0.785
155,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,154,18,5,15,13,13,13,13,0,0,8,0.529
156,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,155,18,5,15,13,13,13,13,0,0,8,0.529
157,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,156,18,5,15,13,13,13,13,0,0,8,0.529
158,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.06,157,18,5,15,14,14,14,14,0,0,9,0.785
159,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.05,158,18,5,15,14,14,14,14,0,0,9,0.785
160,5,18,"nay",3,3,3,3,"san blas","compostela",8,10,5.05,159,18,5,15,14,14,14,14,0,0,9,0.785
161,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,160,18,5,15,13,13,13,13,0,0,8,0.529
162,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,161,18,5,15,13,13,13,13,0,0,8,0.529
163,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,162,18,5,15,13,13,13,13,0,0,8,0.529
164,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.05,163,18,5,15,13,13,13,13,0,0,8,0.529
165,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,164,18,5,15,13,13,13,13,0,0,8,0.529
166,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,165,18,5,15,13,13,13,13,0,0,8,0.529
167,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,166,18,5,15,13,13,13,13,0,0,8,0.529
168,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,167,18,5,15,13,13,13,13,0,0,8,0.529
169,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.06,168,18,5,15,13,13,13,13,0,0,8,0.529
170,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,169,18,5,15,13,13,13,13,0,0,8,0.529
171,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,170,18,5,15,13,13,13,13,0,0,8,0.529
172,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,171,18,5,15,13,13,13,13,0,0,8,0.529
173,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,172,18,5,15,13,13,13,13,0,0,8,0.529
174,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,173,18,5,15,13,13,13,13,0,0,8,0.529
175,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,174,18,5,15,13,13,13,13,0,0,8,0.529
176,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,175,18,5,15,13,13,13,13,0,0,8,0.529
177,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.03,176,18,5,15,13,13,13,13,0,0,8,0.529
178,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,177,18,5,15,13,13,13,13,0,0,8,0.529
179,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,178,18,5,15,13,13,13,13,0,0,8,0.529
180,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.07,179,18,5,15,13,13,13,13,0,0,8,0.529
181,5,18,"nay",3,3,3,3,"compostela","compostela",8,15,5.09,180,18,5,15,13,13,13,13,0,0,8,0.529
182,5,18,"nay",3,3,3,3,"compostela","compostela",14,15,5.09,181,18,5,15,13,13,13,13,0,0,8,0.529
