"seccion","munn.x","edon.x","edo","disfed1994","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","E1","dsiE1_E3"
171,3,27,"tab",2,1,5,5,21,3,170,27,3,16,21,21,21,21,0,1,16,0.387
172,3,27,"tab",2,1,5,5,21,3,171,27,3,16,21,21,21,21,0,1,16,0.387
173,3,27,"tab",2,1,5,5,21,3,172,27,3,16,21,21,21,21,0,1,16,0.387
174,3,27,"tab",2,1,5,5,21,3,173,27,3,16,21,21,21,21,0,1,16,0.387
175,3,27,"tab",2,1,5,5,21,3,174,27,3,16,21,21,21,21,0,1,16,0.387
176,3,27,"tab",2,1,5,5,21,3,175,27,3,16,21,21,21,21,0,1,16,0.387
177,3,27,"tab",2,1,5,5,21,3,176,27,3,16,21,21,21,21,0,1,16,0.387
178,3,27,"tab",2,1,5,5,21,3,177,27,3,16,21,21,21,21,0,1,16,0.387
179,3,27,"tab",2,1,5,5,21,3,178,27,3,16,21,21,21,21,0,1,16,0.387
180,3,27,"tab",2,1,5,5,21,3,179,27,3,16,21,21,21,21,0,1,16,0.387
181,3,27,"tab",2,1,5,5,21,3,180,27,3,16,21,21,21,21,0,1,16,0.387
182,3,27,"tab",2,1,5,5,21,3,181,27,3,16,21,21,21,21,0,1,16,0.387
183,3,27,"tab",2,1,5,5,21,3,182,27,3,16,21,21,21,21,0,1,16,0.387
184,3,27,"tab",2,1,5,5,21,3,183,27,3,16,21,21,21,21,0,1,16,0.387
185,3,27,"tab",2,1,5,5,21,3,184,27,3,16,21,21,21,21,0,1,16,0.387
186,3,27,"tab",2,1,5,5,21,3,185,27,3,16,21,21,21,21,0,1,16,0.387
187,3,27,"tab",2,1,5,5,21,3,186,27,3,16,21,21,21,21,0,1,16,0.387
188,3,27,"tab",2,1,5,5,21,3,187,27,3,16,21,21,21,21,0,1,16,0.387
189,3,27,"tab",2,1,5,5,21,3,188,27,3,16,21,21,21,21,0,1,16,0.387
190,3,27,"tab",2,1,5,5,21,3,189,27,3,16,21,21,21,21,0,1,16,0.387
191,3,27,"tab",2,1,5,5,21,3,190,27,3,16,21,21,21,21,0,1,16,0.387
192,3,27,"tab",2,1,5,5,21,3,191,27,3,16,21,21,21,21,0,1,16,0.387
193,3,27,"tab",2,1,5,5,21,3,192,27,3,16,21,21,21,21,0,1,16,0.387
194,3,27,"tab",2,1,5,5,21,3,193,27,3,16,21,21,21,21,0,1,16,0.387
195,3,27,"tab",2,1,5,5,21,3,194,27,3,16,21,21,21,21,0,1,16,0.387
196,3,27,"tab",2,1,5,5,21,3,195,27,3,15,21,21,21,21,0,1,16,0.387
197,3,27,"tab",2,1,5,5,21,3,196,27,3,15,21,21,21,21,0,1,16,0.387
198,3,27,"tab",2,1,5,5,21,3,197,27,3,17,21,21,21,21,0,1,16,0.387
199,3,27,"tab",2,1,5,5,21,3,198,27,3,17,21,21,21,21,0,1,16,0.387
200,3,27,"tab",2,1,5,5,21,3,199,27,3,17,21,21,21,21,0,1,16,0.387
201,3,27,"tab",2,1,5,5,21,3,200,27,3,15,21,21,21,21,0,1,16,0.387
202,3,27,"tab",2,1,5,5,21,3,201,27,3,15,21,21,21,21,0,1,16,0.387
203,3,27,"tab",2,1,5,5,21,3,202,27,3,17,21,21,21,21,0,1,16,0.387
204,3,27,"tab",2,1,5,5,21,3,203,27,3,17,21,21,21,21,0,1,16,0.387
205,3,27,"tab",2,1,5,5,21,3,204,27,3,17,21,21,21,21,0,1,16,0.387
206,3,27,"tab",2,1,5,5,21,3,205,27,3,15,21,21,21,21,0,1,16,0.387
207,3,27,"tab",2,1,5,5,21,3,206,27,3,15,21,21,21,21,0,1,16,0.387
208,3,27,"tab",2,1,5,5,21,3,207,27,3,17,21,21,21,21,0,1,16,0.387
209,3,27,"tab",2,1,5,5,21,3,208,27,3,17,21,21,21,21,0,1,16,0.387
210,3,27,"tab",2,1,5,5,21,3,209,27,3,17,21,21,21,21,0,1,16,0.387
211,3,27,"tab",2,1,5,5,21,3,210,27,3,17,21,21,21,21,0,1,16,0.387
212,3,27,"tab",2,1,5,5,21,3,211,27,3,15,21,21,21,21,0,1,16,0.387
213,3,27,"tab",2,1,5,5,21,3,212,27,3,15,21,21,21,21,0,1,16,0.387
214,3,27,"tab",2,1,5,5,21,3,213,27,3,15,21,21,21,21,0,1,16,0.387
215,3,27,"tab",2,1,5,5,21,3,214,27,3,15,21,21,21,21,0,1,16,0.387
216,3,27,"tab",2,1,5,5,21,3,215,27,3,16,21,21,21,21,0,1,16,0.387
217,3,27,"tab",2,1,5,5,21,3,216,27,3,16,21,21,21,21,0,1,16,0.387
218,3,27,"tab",2,1,5,5,21,3,217,27,3,16,21,21,21,21,0,1,16,0.387
219,3,27,"tab",2,1,5,5,21,3,218,27,3,16,21,21,21,21,0,1,16,0.387
220,3,27,"tab",2,1,5,5,21,3,219,27,3,16,21,21,21,21,0,1,16,0.387
221,3,27,"tab",2,1,5,5,21,3,220,27,3,16,21,21,21,21,0,1,16,0.387
222,3,27,"tab",2,1,5,5,21,3,221,27,3,16,21,21,21,21,0,1,16,0.387
223,3,27,"tab",2,1,5,5,21,3,222,27,3,15,21,21,21,21,0,1,16,0.387
224,3,27,"tab",2,1,5,5,21,3,223,27,3,15,21,21,21,21,0,1,16,0.387
225,3,27,"tab",2,1,5,5,21,3,224,27,3,15,21,21,21,21,0,1,16,0.387
226,3,27,"tab",2,1,5,5,21,3,225,27,3,16,21,21,21,21,0,1,16,0.387
227,3,27,"tab",2,1,5,5,21,3,226,27,3,16,21,21,21,21,0,1,16,0.387
228,3,27,"tab",2,1,5,5,21,3,227,27,3,16,21,21,21,21,0,1,16,0.387
229,3,27,"tab",2,1,5,5,21,3,228,27,3,16,21,21,21,21,0,1,16,0.387
230,3,27,"tab",2,1,5,5,21,3,229,27,3,16,21,21,21,21,0,1,16,0.387
231,3,27,"tab",2,1,5,5,21,3,230,27,3,16,21,21,21,21,0,1,16,0.387
232,4,27,"tab",1,4,4,4,11,20,231,27,4,7,11,11,11,11,0,1,7,0.956
233,4,27,"tab",1,4,4,4,11,20,232,27,4,7,11,11,11,11,0,1,7,0.956
234,4,27,"tab",1,4,4,4,11,20,233,27,4,7,11,11,11,11,0,1,7,0.956
235,4,27,"tab",1,4,4,4,11,20,234,27,4,7,11,11,11,11,0,1,7,0.956
236,4,27,"tab",1,4,4,4,11,20,235,27,4,7,11,11,11,11,0,1,7,0.956
237,4,27,"tab",1,4,4,4,11,4,236,27,4,7,11,11,11,11,0,1,7,0.956
238,4,27,"tab",1,4,4,4,11,4,237,27,4,7,11,11,11,11,0,1,7,0.956
239,4,27,"tab",1,4,4,4,11,20,238,27,4,7,11,11,11,11,0,1,7,0.956
240,4,27,"tab",1,4,4,4,11,20,239,27,4,7,11,11,11,11,0,1,7,0.956
241,4,27,"tab",1,4,4,4,11,20,240,27,4,7,11,11,11,11,0,1,7,0.956
242,4,27,"tab",1,4,4,4,11,20,241,27,4,7,11,11,11,11,0,1,7,0.956
243,4,27,"tab",1,4,4,4,11,20,242,27,4,7,11,11,11,11,0,1,7,0.956
244,4,27,"tab",1,4,4,4,11,20,243,27,4,7,11,11,11,11,0,1,7,0.956
245,4,27,"tab",1,4,4,4,11,4,244,27,4,7,11,11,11,11,0,1,7,0.956
246,4,27,"tab",1,4,4,4,11,4,245,27,4,7,11,11,11,11,0,1,7,0.956
247,4,27,"tab",1,4,4,4,11,4,246,27,4,7,11,11,11,11,0,1,7,0.956
248,4,27,"tab",1,4,4,4,11,20,247,27,4,7,11,11,11,11,0,1,7,0.956
249,4,27,"tab",1,4,4,4,11,4,248,27,4,7,11,11,11,11,0,1,7,0.956
250,4,27,"tab",1,4,4,4,11,4,249,27,4,7,11,11,11,11,0,1,7,0.956
251,4,27,"tab",1,4,4,4,11,21,250,27,4,7,11,11,11,11,0,1,7,0.956
252,4,27,"tab",1,4,4,4,11,21,251,27,4,7,11,11,11,11,0,1,7,0.956
253,4,27,"tab",1,4,4,4,11,20,252,27,4,7,11,11,11,11,0,1,7,0.956
254,4,27,"tab",1,4,4,4,11,20,253,27,4,7,11,11,11,11,0,1,7,0.956
255,4,27,"tab",1,4,4,4,11,4,254,27,4,7,11,11,11,11,0,1,7,0.956
256,4,27,"tab",1,4,4,4,11,21,255,27,4,7,11,11,11,11,0,1,7,0.956
257,4,27,"tab",1,4,4,4,11,21,256,27,4,7,11,11,11,11,0,1,7,0.956
258,4,27,"tab",1,4,4,4,11,4,257,27,4,7,11,11,11,11,0,1,7,0.956
259,4,27,"tab",1,4,4,4,11,4,258,27,4,7,11,11,11,11,0,1,7,0.956
260,4,27,"tab",1,4,4,4,11,20,259,27,4,7,11,11,11,11,0,1,7,0.956
261,4,27,"tab",1,4,4,4,11,4,260,27,4,7,11,11,11,11,0,1,7,0.956
262,4,27,"tab",1,4,4,4,11,4,261,27,4,7,11,11,11,11,0,1,7,0.956
263,4,27,"tab",1,4,4,4,11,4,262,27,4,7,11,11,11,11,0,1,7,0.956
264,4,27,"tab",1,4,4,4,11,4,263,27,4,7,11,11,11,11,0,1,7,0.956
265,4,27,"tab",1,4,4,4,11,4,264,27,4,7,11,11,11,11,0,1,7,0.956
266,4,27,"tab",1,4,4,4,11,4,265,27,4,7,11,11,11,11,0,1,7,0.956
267,4,27,"tab",1,4,4,4,11,21,266,27,4,7,11,11,11,11,0,1,7,0.956
268,4,27,"tab",1,6,4,4,10,21,267,27,4,2,10,10,10,10,0,1,2,0.833
269,4,27,"tab",1,4,4,4,11,4,268,27,4,7,11,11,11,11,0,1,7,0.956
270,4,27,"tab",1,4,4,4,11,4,269,27,4,7,11,11,11,11,0,1,7,0.956
271,4,27,"tab",1,4,4,4,11,4,270,27,4,7,11,11,11,11,0,1,7,0.956
272,4,27,"tab",1,4,4,4,11,4,271,27,4,7,11,11,11,11,0,1,7,0.956
273,4,27,"tab",1,6,4,4,10,21,272,27,4,2,10,10,10,10,0,1,2,0.833
274,4,27,"tab",1,6,4,4,10,21,273,27,4,2,10,10,10,10,0,1,2,0.833
275,4,27,"tab",1,6,4,4,10,21,274,27,4,2,10,10,10,10,0,1,2,0.833
276,4,27,"tab",1,6,4,4,10,21,275,27,4,2,10,10,10,10,0,1,2,0.833
277,4,27,"tab",1,4,4,4,12,4,276,27,4,7,12,12,12,12,0,1,5,0.343
278,4,27,"tab",1,4,4,4,11,4,277,27,4,7,11,11,11,11,0,1,7,0.956
279,4,27,"tab",1,4,4,4,12,4,278,27,4,5,12,12,12,12,0,1,5,0.343
280,4,27,"tab",1,4,4,4,11,4,279,27,4,7,11,11,11,11,0,1,7,0.956
281,4,27,"tab",1,4,4,4,11,20,280,27,4,7,11,11,11,11,0,1,7,0.956
282,4,27,"tab",1,4,4,4,12,4,281,27,4,4,12,12,12,12,0,1,5,0.343
283,4,27,"tab",1,4,4,4,12,4,282,27,4,5,12,12,12,12,0,1,5,0.343
284,4,27,"tab",1,4,4,4,12,4,283,27,4,5,12,12,12,12,0,1,5,0.343
