"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2015","X","edon.y","munn.y","escenario1","escenario2","escenario3","mc_clv1","morena_clv1","morena_iee1","panal_clv1","pes_clv1","pri_clv1","pt_clv1","pvem_clv1","mc_clv2","panal_clv2","pes_clv2","pri_clv2","pt_clv2","pvem_clv2","esc1_morCLV1","esc1_morIEE1","esc1_panalCLV1","esc1_pesCLV1","esc1_mcCLV1","esc1_priCLV1","esc1_ptCLV1","esc1_pvemCLV1","esc2_mcCLV2","esc2_panalCLV2","esc2_pesCLV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E3"
77,1,6,"col",1,1,1,1,6,1,77,6,1,15,15,11,9,9,1,12,9,7,9,9,9,12,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
78,1,6,"col",1,1,1,1,6,1,78,6,1,15,15,11,9,9,1,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
79,1,6,"col",1,1,1,1,6,1,79,6,1,15,15,11,9,9,1,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
80,1,6,"col",1,1,1,1,6,1,80,6,1,15,15,11,9,9,2,9,9,7,9,9,9,9,9,7,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.581
81,1,6,"col",1,1,1,1,3,5,81,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
82,1,6,"col",1,1,1,1,3,3,82,6,1,14,14,10,7,7,1,12,7,6,7,7,7,12,7,6,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
83,1,6,"col",1,1,1,1,3,3,83,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
84,1,6,"col",1,1,1,1,3,3,84,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
85,1,6,"col",1,1,1,1,3,3,85,6,1,14,14,10,6,6,1,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
86,1,6,"col",1,1,1,1,3,3,86,6,1,14,14,10,6,6,4,1,6,9,6,6,6,1,6,9,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.353
