"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2013","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3","pan_clv1","pan_clv2","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E1"
170,10,32,"zac",2,1,1,1,6,8,"fresnillo",167,32,10,9,9,11,12,11,0,0,8,0.421
171,10,32,"zac",2,1,1,1,6,8,"fresnillo",168,32,10,9,9,11,12,11,0,0,8,0.421
172,10,32,"zac",2,1,1,1,6,8,"fresnillo",169,32,10,9,9,11,12,11,0,0,8,0.421
173,10,32,"zac",2,1,1,1,6,8,"fresnillo",170,32,10,9,9,11,12,11,0,0,8,0.421
174,10,32,"zac",2,1,1,1,6,8,"fresnillo",171,32,10,9,9,11,12,11,0,0,8,0.421
175,10,32,"zac",2,1,1,1,6,8,"fresnillo",172,32,10,9,9,11,12,11,0,0,8,0.421
176,10,32,"zac",2,1,1,1,6,8,"fresnillo",173,32,10,9,9,11,12,11,0,0,8,0.421
177,10,32,"zac",2,1,1,1,6,11,"fresnillo",174,32,10,9,9,11,12,11,0,0,8,0.421
178,10,32,"zac",2,1,1,1,6,11,"fresnillo",175,32,10,9,9,11,12,11,0,0,8,0.421
179,10,32,"zac",2,1,1,1,6,11,"fresnillo",176,32,10,9,9,11,12,11,0,0,8,0.421
180,10,32,"zac",2,1,1,1,6,11,"fresnillo",177,32,10,7,7,11,13,11,0,0,11,0.331
181,10,32,"zac",2,1,1,1,6,11,"fresnillo",178,32,10,7,7,11,11,11,0,0,11,0.331
182,10,32,"zac",2,1,1,1,6,11,"fresnillo",179,32,10,9,9,11,12,11,0,0,8,0.421
183,10,32,"zac",2,1,1,1,6,11,"fresnillo",180,32,10,9,9,11,12,11,0,0,8,0.421
184,10,32,"zac",2,1,1,1,6,8,"fresnillo",181,32,10,9,9,11,12,11,0,0,8,0.421
185,10,32,"zac",2,1,1,1,6,8,"fresnillo",182,32,10,9,9,11,12,11,0,0,8,0.421
186,10,32,"zac",2,1,1,1,6,8,"fresnillo",183,32,10,9,9,11,12,11,0,0,8,0.421
187,10,32,"zac",2,1,1,1,6,8,"fresnillo",184,32,10,9,9,11,12,11,0,0,8,0.421
188,10,32,"zac",2,1,1,1,6,8,"fresnillo",185,32,10,9,9,11,12,11,0,0,8,0.421
189,10,32,"zac",2,1,1,1,6,8,"fresnillo",186,32,10,9,9,11,12,11,0,0,8,0.421
190,10,32,"zac",2,1,1,1,6,8,"fresnillo",187,32,10,9,9,11,12,11,0,0,8,0.421
191,10,32,"zac",2,1,1,1,6,8,"fresnillo",188,32,10,9,9,11,12,11,0,0,8,0.421
192,10,32,"zac",2,1,1,1,6,8,"fresnillo",189,32,10,9,9,11,12,11,0,0,8,0.421
193,10,32,"zac",2,1,1,1,6,8,"fresnillo",190,32,10,9,9,11,12,11,0,0,8,0.421
194,10,32,"zac",2,1,1,1,6,8,"fresnillo",191,32,10,9,9,11,12,11,0,0,8,0.421
195,10,32,"zac",2,1,1,1,6,8,"fresnillo",192,32,10,9,9,11,12,11,0,0,8,0.421
196,10,32,"zac",2,1,1,1,6,8,"fresnillo",193,32,10,9,9,11,12,11,0,0,8,0.421
197,10,32,"zac",2,1,1,1,6,8,"fresnillo",194,32,10,9,9,11,12,11,0,0,8,0.421
198,10,32,"zac",2,1,1,1,6,8,"fresnillo",195,32,10,9,9,11,12,11,0,0,8,0.421
199,10,32,"zac",2,1,1,1,6,8,"fresnillo",196,32,10,9,9,11,12,11,0,0,8,0.421
200,10,32,"zac",2,1,1,1,6,8,"fresnillo",197,32,10,9,9,11,12,11,0,0,8,0.421
201,10,32,"zac",2,1,1,1,6,8,"fresnillo",198,32,10,9,9,11,12,11,0,0,8,0.421
202,10,32,"zac",2,1,1,1,6,8,"fresnillo",199,32,10,9,9,11,12,11,0,0,8,0.421
203,10,32,"zac",2,1,1,1,6,11,"fresnillo",200,32,10,9,9,11,12,11,0,0,8,0.421
204,10,32,"zac",2,1,1,1,6,11,"fresnillo",201,32,10,9,9,11,12,11,0,0,8,0.421
205,10,32,"zac",2,1,1,1,6,11,"fresnillo",202,32,10,9,9,11,12,11,0,0,8,0.421
206,10,32,"zac",2,1,1,1,6,11,"fresnillo",203,32,10,9,9,11,12,11,0,0,8,0.421
207,10,32,"zac",2,1,1,1,6,11,"fresnillo",204,32,10,9,9,11,12,11,0,0,8,0.421
208,10,32,"zac",2,1,1,1,6,11,"fresnillo",205,32,10,9,9,11,12,11,0,0,8,0.421
209,10,32,"zac",2,1,1,1,6,11,"fresnillo",206,32,10,7,7,11,13,11,0,0,11,0.331
210,10,32,"zac",2,1,1,1,6,11,"fresnillo",207,32,10,7,7,11,13,11,0,0,11,0.331
211,10,32,"zac",2,1,1,1,6,11,"fresnillo",208,32,10,7,7,11,13,11,0,0,11,0.331
212,10,32,"zac",2,1,1,1,7,11,"fresnillo",209,32,10,7,7,12,11,12,0,0,11,0.331
213,10,32,"zac",2,1,1,1,6,11,"fresnillo",210,32,10,7,7,11,13,11,0,0,11,0.331
214,10,32,"zac",2,1,1,1,6,11,"fresnillo",211,32,10,9,9,11,13,11,0,0,8,0.421
215,10,32,"zac",2,1,1,1,6,11,"fresnillo",212,32,10,9,9,11,12,11,0,0,8,0.421
216,10,32,"zac",2,1,1,1,6,11,"fresnillo",213,32,10,9,9,11,12,11,0,0,8,0.421
217,10,32,"zac",2,1,1,1,6,8,"fresnillo",214,32,10,9,9,11,12,11,0,0,8,0.421
218,10,32,"zac",2,1,1,1,5,11,"fresnillo",215,32,10,8,8,10,11,10,0,0,18,0.257
219,10,32,"zac",2,1,1,1,5,11,"fresnillo",216,32,10,8,8,10,11,10,0,0,18,0.257
220,10,32,"zac",2,1,1,1,5,11,"fresnillo",217,32,10,8,8,10,11,10,0,0,18,0.257
221,10,32,"zac",2,1,1,1,5,11,"fresnillo",218,32,10,8,8,10,11,10,0,0,18,0.257
222,10,32,"zac",2,1,1,1,5,11,"fresnillo",219,32,10,8,8,10,11,10,0,0,18,0.257
223,10,32,"zac",2,1,1,1,5,11,"fresnillo",220,32,10,8,8,10,11,10,0,0,18,0.257
224,10,32,"zac",2,1,1,1,5,11,"fresnillo",221,32,10,8,8,10,11,10,0,0,18,0.257
225,10,32,"zac",2,1,1,1,5,11,"fresnillo",222,32,10,8,8,10,11,10,0,0,18,0.257
226,10,32,"zac",2,1,1,1,5,11,"fresnillo",223,32,10,8,8,10,11,10,0,0,18,0.257
227,10,32,"zac",2,1,1,1,5,11,"fresnillo",224,32,10,8,8,10,11,10,0,0,18,0.257
228,10,32,"zac",2,1,1,1,5,11,"fresnillo",225,32,10,7,7,10,11,10,0,0,11,0.331
229,10,32,"zac",2,1,1,1,5,11,"fresnillo",226,32,10,8,8,10,11,10,0,0,18,0.257
230,10,32,"zac",2,1,1,1,5,11,"fresnillo",227,32,10,7,7,10,11,10,0,0,11,0.331
231,10,32,"zac",2,1,1,1,5,11,"fresnillo",228,32,10,7,7,10,11,10,0,0,11,0.331
232,10,32,"zac",2,1,1,1,5,11,"fresnillo",229,32,10,7,7,10,11,10,0,0,11,0.331
233,10,32,"zac",2,1,1,1,7,11,"fresnillo",230,32,10,7,7,12,13,12,0,0,11,0.331
234,10,32,"zac",2,1,1,1,7,11,"fresnillo",231,32,10,7,7,12,13,12,0,0,11,0.331
235,10,32,"zac",2,1,1,1,7,11,"fresnillo",232,32,10,7,7,12,13,12,0,0,11,0.331
236,10,32,"zac",2,1,1,1,7,11,"fresnillo",233,32,10,7,7,12,13,12,0,0,11,0.331
237,10,32,"zac",2,1,1,1,7,11,"fresnillo",234,32,10,7,7,12,13,12,0,0,11,0.331
238,10,32,"zac",2,1,1,1,7,11,"fresnillo",235,32,10,7,7,12,13,12,0,0,11,0.331
239,10,32,"zac",2,1,1,1,7,11,"fresnillo",236,32,10,7,7,12,13,12,0,0,11,0.331
240,10,32,"zac",2,1,1,1,7,11,"fresnillo",237,32,10,7,7,12,13,12,0,0,11,0.331
241,10,32,"zac",2,1,1,1,7,11,"fresnillo",238,32,10,7,7,12,13,12,0,0,11,0.331
242,10,32,"zac",2,1,1,1,5,11,"fresnillo",239,32,10,7,7,10,11,10,0,0,11,0.331
243,10,32,"zac",2,1,1,1,5,11,"fresnillo",240,32,10,7,7,10,11,10,0,0,11,0.331
244,10,32,"zac",2,1,1,1,5,11,"fresnillo",241,32,10,7,7,10,11,10,0,0,11,0.331
245,10,32,"zac",2,1,1,1,5,11,"fresnillo",242,32,10,8,8,10,11,10,0,0,18,0.257
246,10,32,"zac",2,1,1,1,5,11,"fresnillo",243,32,10,8,8,10,11,10,0,0,18,0.257
247,10,32,"zac",2,1,1,1,5,11,"fresnillo",244,32,10,8,8,10,11,10,0,0,18,0.257
