"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2018","disloc2012","cab","X","edon.y","munn.y","escenario1","escenario2","escenario3_jge","escenario3","mc_clv1","pan_iee1","pri_clv1","pan_clv2","prd_clv2","prd_cnv2","esc1_priCLV1","esc1_panIEE1","esc1_mcCLV1","esc2_panCLV2","esc2_prdCLV2","esc2_prdCNV2","SQ","dsiSQ_E1"
52,4,17,"mor",2,3,5,3,10,16,"ayala",52,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
53,4,17,"mor",2,3,5,3,10,16,"ayala",53,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
54,4,17,"mor",2,3,5,3,10,16,"ayala",54,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
55,4,17,"mor",2,3,5,3,10,16,"ayala",55,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
56,4,17,"mor",2,3,5,3,10,16,"ayala",56,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
57,4,17,"mor",2,3,5,3,10,16,"ayala",57,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
58,4,17,"mor",2,3,5,3,10,16,"ayala",58,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
59,4,17,"mor",2,3,5,3,10,16,"ayala",59,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
60,4,17,"mor",2,3,5,3,10,16,"ayala",60,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
61,4,17,"mor",2,3,5,3,10,16,"ayala",61,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
62,4,17,"mor",2,3,5,3,10,16,"ayala",62,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
63,4,17,"mor",2,3,5,3,10,16,"ayala",63,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
64,4,17,"mor",2,3,5,3,10,16,"ayala",64,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
65,4,17,"mor",2,3,5,3,10,16,"ayala",65,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
66,4,17,"mor",2,3,5,3,10,16,"ayala",66,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
67,4,17,"mor",2,3,5,3,10,16,"ayala",67,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
68,4,17,"mor",2,3,5,3,10,16,"ayala",68,17,4,3,3,3,3,1,7,3,3,3,3,1,0,0,1,1,1,16,0.568
