"seccion","munn.x","edon.x","edo.x","disfed1979.x","disfed1997.x","disfed2006.x","disfed2018.x","disloc2012.x","disloc2018.x","cab","nota.x","X","munn.y","edon.y","edo.y","disfed1979.y","disfed1997.y","disfed2006.y","disfed2018.y","disloc2012.y","disloc2018.y","nota.y","escenario1","escenario2","escenario3","pri_clv1","pri_clv2","juanZepedaPerez1","lorenzoLopezMendez1a","lorenzoLopezMendez1b","antonioPerezGomez1","leonardoLopezPerez1","magdalenaGironLopez1","JoseDomingoVazquezLopez1a","JoseDomingoVazquezLopez1b","esc1_priCLV1","esc2_priCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
11,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",11,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
12,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",12,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
13,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",13,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
14,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",14,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
15,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",15,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
16,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",16,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
17,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",17,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
18,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",18,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
19,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",19,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
20,2,7,"cps",4,6,6,6,3,3,"Chiapa de Corzo","0",20,2,7,"cps",4,6,6,6,3,16,NA,1,1,16,2,16,"1","1","O","1","1","1","1","1",0,0,3,0.6,0.455
21,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",21,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
22,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",22,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
23,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",23,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
24,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",24,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
25,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",25,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
26,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",26,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
27,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",27,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
28,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",28,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
29,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",29,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
30,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",30,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
31,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",31,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
32,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",32,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
33,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",33,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
34,3,7,"cps",7,11,7,7,16,18,"Mapastepec","0",34,3,7,"cps",7,11,7,7,16,24,NA,5,5,24,3,24,"5","5","5","5","5","5","5","5",0,0,16,0.325,0.292
35,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",35,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
36,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",36,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
37,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",37,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
38,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",38,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
39,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",39,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
40,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",40,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
41,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",41,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
42,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",42,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"C","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
43,4,7,"cps",9,3,3,11,7,20,"Las Margaritas","0",43,4,7,"cps",9,3,3,11,7,23,NA,19,19,23,4,23,"19","19","19","19","19","19","19","Y2",0,0,20,0.455,0.472
44,5,7,"cps",6,2,4,2,12,11,"Bochil","0",44,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
45,5,7,"cps",6,2,4,2,12,11,"Bochil","0",45,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
46,5,7,"cps",6,2,4,2,12,11,"Bochil","0",46,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
47,5,7,"cps",6,2,4,2,12,11,"Bochil","0",47,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
48,5,7,"cps",6,2,4,2,12,11,"Bochil","0",48,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
49,5,7,"cps",6,2,4,2,12,11,"Bochil","0",49,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
50,5,7,"cps",6,2,4,2,12,11,"Bochil","0",50,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
51,5,7,"cps",6,2,4,2,12,11,"Bochil","0",51,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
52,5,7,"cps",6,2,4,2,12,11,"Bochil","0",52,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
53,5,7,"cps",6,2,4,2,12,11,"Bochil","0",53,5,7,"cps",6,2,4,2,12,11,NA,23,23,11,5,11,"23","23","23","23","T","23","23","23",0,0,11,0.169,0.416
54,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",54,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
55,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",55,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
56,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",56,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
57,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",57,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
58,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",58,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
59,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",59,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
60,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",60,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
61,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",61,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
62,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",62,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
63,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",63,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
64,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",64,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
65,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",65,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
66,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",66,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
67,6,7,"cps",7,10,11,13,17,17,"Motozintla","0",67,6,7,"cps",7,10,11,13,17,18,NA,9,9,18,6,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
68,7,7,"cps",3,8,5,11,4,20,"Las Margaritas","0",68,7,7,"cps",3,8,5,11,4,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","19",0,0,20,0.455,0.472
69,7,7,"cps",3,8,5,11,4,20,"Las Margaritas","0",69,7,7,"cps",3,8,5,11,4,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","19",0,0,20,0.455,0.472
70,7,7,"cps",3,8,5,11,4,20,"Las Margaritas","0",70,7,7,"cps",3,8,5,11,4,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","19",0,0,20,0.455,0.472
71,7,7,"cps",3,8,5,11,4,20,"Las Margaritas","0",71,7,7,"cps",3,8,5,11,4,23,NA,19,19,23,4,23,"A","19","L","19","19","19","19","19",0,0,20,0.455,0.472
72,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",72,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
73,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",73,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
74,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",74,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
75,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",75,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
76,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",76,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
77,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",77,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
78,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",78,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
79,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",79,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
80,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",80,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
81,116,7,"cps",3,10,10,10,23,23,"Villa Corzo","munn=8",81,116,7,"cps",3,10,10,10,23,7,"munn=8",9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
82,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",82,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
83,116,7,"cps",3,10,10,10,23,23,"Villa Corzo","munn=8",83,116,7,"cps",3,10,10,10,23,7,"munn=8",9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
84,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",84,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
85,8,7,"cps",3,10,10,10,23,23,"Villa Corzo","0",85,8,7,"cps",3,10,10,10,23,7,NA,9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
86,116,7,"cps",3,10,10,10,23,23,"Villa Corzo","munn=8",86,116,7,"cps",3,10,10,10,23,7,"munn=8",9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
87,116,7,"cps",3,10,10,10,23,23,"Villa Corzo","munn=8",87,116,7,"cps",3,10,10,10,23,7,"munn=8",9,9,7,8,7,"9","9","9","9","9","9","9","9",0,0,23,0.527,0.515
88,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",88,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
89,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",89,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
90,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",90,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
91,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",91,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
92,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",92,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
93,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",93,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
94,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",94,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
95,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",95,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
96,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",96,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
97,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",97,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
98,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",98,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
99,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",99,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
100,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",100,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
101,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",101,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
102,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",102,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
103,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",103,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
104,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",104,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
105,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",105,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
106,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",106,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
107,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",107,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
108,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",108,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
109,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",109,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
110,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",110,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
111,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",111,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
112,9,7,"cps",8,7,7,7,15,15,"Villaflores","0",112,9,7,"cps",8,7,7,7,15,6,NA,11,11,6,9,6,"11","11","11","11","11","11","11","11",0,0,15,1,0.426
113,10,7,"cps",7,10,11,13,17,17,"Motozintla","0",113,10,7,"cps",7,10,11,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
114,10,7,"cps",7,10,11,13,17,17,"Motozintla","0",114,10,7,"cps",7,10,11,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
115,10,7,"cps",7,10,11,13,17,17,"Motozintla","0",115,10,7,"cps",7,10,11,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
116,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",116,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
117,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",117,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
118,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",118,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
119,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",119,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
120,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",120,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
121,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",121,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
122,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",122,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
123,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",123,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
124,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",124,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
125,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",125,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
126,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",126,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
127,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",127,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
128,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",128,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
129,11,7,"cps",3,10,8,13,17,17,"Motozintla","0",129,11,7,"cps",3,10,8,13,17,18,NA,9,9,18,10,18,"9","9","9","9","9","9","9","9",0,0,17,0.527,0.657
130,12,7,"cps",1,4,4,4,14,2,"Tuxtla Gutiérrez","0",130,12,7,"cps",1,4,4,4,14,9,NA,10,10,9,11,9,"10","10","10","10","10","10","10","10",0,0,1,0.278,0.174
131,12,7,"cps",1,4,4,4,14,2,"Tuxtla Gutiérrez","0",131,12,7,"cps",1,4,4,4,14,9,NA,10,10,9,11,9,"10","10","10","10","10","10","10","10",0,0,1,0.278,0.174
132,12,7,"cps",1,4,4,4,14,2,"Tuxtla Gutiérrez","0",132,12,7,"cps",1,4,4,4,14,9,NA,10,10,9,11,9,"10","10","10","10","10","10","10","10",0,0,1,0.278,0.174
133,12,7,"cps",1,4,4,4,14,2,"Tuxtla Gutiérrez","0",133,12,7,"cps",1,4,4,4,14,9,NA,10,10,9,11,9,"10","10","10","10","10","10","10","10",0,0,1,0.278,0.174
134,12,7,"cps",1,4,4,4,14,2,"Tuxtla Gutiérrez","0",134,12,7,"cps",1,4,4,4,14,9,NA,10,10,9,11,9,"10","10","10","10","10","10","10","10",0,0,1,0.278,0.174
135,12,7,"cps",1,4,4,4,14,2,"Tuxtla Gutiérrez","0",135,12,7,"cps",1,4,4,4,14,9,NA,10,10,9,11,9,"10","10","10","10","10","10","10","10",0,0,1,0.278,0.174
