"seccion","munn.x","edon.x","edo","disfed1979","disfed1997","disfed2006","disfed2018","disloc2016","disloc2010","X","edon.y","munn.y","escenario1","escenario2","escenario3","clv1","pan_cnv2","esc1_CLV1","esc2_panCNV2","SQ","dsiSQ_E1","dsiSQ_E3","E1","dsiE1_E3"
134,5,10,"dgo",1,4,1,4,11,1,128,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
135,5,10,"dgo",1,4,1,4,11,1,129,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
136,5,10,"dgo",1,4,4,4,11,1,130,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
137,5,10,"dgo",1,4,4,4,11,1,131,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
138,5,10,"dgo",1,4,4,4,11,1,132,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
139,5,10,"dgo",1,4,4,4,11,1,133,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
140,5,10,"dgo",1,4,4,4,11,1,134,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
141,5,10,"dgo",1,4,4,4,11,1,135,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
142,5,10,"dgo",1,4,4,4,11,1,136,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
143,5,10,"dgo",1,5,4,4,12,2,137,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
144,5,10,"dgo",1,5,4,4,12,2,138,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
145,5,10,"dgo",1,4,4,4,12,2,139,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
146,5,10,"dgo",1,4,4,4,12,2,140,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
147,5,10,"dgo",1,4,4,4,12,2,141,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
148,5,10,"dgo",1,4,4,4,12,2,142,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
149,5,10,"dgo",1,4,4,4,12,2,143,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
150,5,10,"dgo",1,5,4,4,12,2,144,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
151,5,10,"dgo",1,5,4,4,12,2,145,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
152,5,10,"dgo",1,4,4,4,11,2,146,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
153,5,10,"dgo",1,4,4,4,11,1,147,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
154,5,10,"dgo",1,4,4,4,11,1,148,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
155,5,10,"dgo",1,4,4,4,11,1,149,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
156,5,10,"dgo",1,4,4,4,11,1,150,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
157,5,10,"dgo",1,4,4,4,9,1,151,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
158,5,10,"dgo",1,4,4,4,9,1,152,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
159,5,10,"dgo",1,4,4,4,9,1,153,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
160,5,10,"dgo",1,4,4,4,9,1,154,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
161,5,10,"dgo",1,4,4,4,9,1,155,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
162,5,10,"dgo",1,4,4,4,11,1,156,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
163,5,10,"dgo",1,4,1,4,11,1,157,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
164,5,10,"dgo",1,4,1,4,11,1,158,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
165,5,10,"dgo",1,4,1,4,11,1,159,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
166,5,10,"dgo",1,4,1,4,11,6,160,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
167,5,10,"dgo",1,4,1,4,11,6,161,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
168,5,10,"dgo",1,4,1,4,11,6,162,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
169,5,10,"dgo",1,4,4,4,11,1,163,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
170,5,10,"dgo",1,4,4,4,9,1,164,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
171,5,10,"dgo",1,4,4,4,9,1,165,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
172,5,10,"dgo",1,4,4,4,11,1,166,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
173,5,10,"dgo",1,4,4,4,11,1,167,10,5,12,11,11,11,11,0,1,1,0.39,0.481,12,0.661
174,5,10,"dgo",1,5,4,4,12,2,168,10,5,9,12,12,12,12,0,1,2,0.353,0.811,8,0.74
175,5,10,"dgo",1,5,4,4,12,2,169,10,5,9,12,12,12,12,0,1,2,0.353,0.811,8,0.74
176,5,10,"dgo",1,5,4,4,12,2,170,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
177,5,10,"dgo",1,5,4,4,12,2,171,10,5,12,12,12,12,12,1,1,2,0.39,0.811,8,0.74
178,5,10,"dgo",1,5,4,4,12,2,172,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
179,5,10,"dgo",1,5,4,4,12,2,173,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
180,5,10,"dgo",1,5,4,4,12,2,174,10,5,9,12,12,12,12,0,1,2,0.353,0.811,8,0.74
181,5,10,"dgo",1,4,4,4,12,2,175,10,5,8,12,12,12,12,0,1,2,0.588,0.811,8,0.74
182,5,10,"dgo",1,5,4,4,8,3,176,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
183,5,10,"dgo",1,5,4,4,8,3,177,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
184,5,10,"dgo",1,5,4,4,8,3,178,10,5,9,8,8,8,8,0,1,3,0.353,0.268,10,0.239
185,5,10,"dgo",1,5,4,4,9,3,179,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
186,5,10,"dgo",1,5,4,4,9,3,180,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
187,5,10,"dgo",1,4,4,4,9,1,181,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
188,5,10,"dgo",1,5,4,4,9,3,182,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
189,5,10,"dgo",1,5,4,4,9,1,183,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
190,5,10,"dgo",1,5,4,4,9,1,184,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
191,5,10,"dgo",1,5,4,4,9,1,185,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
192,5,10,"dgo",1,5,4,4,9,1,186,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
193,5,10,"dgo",1,5,4,4,9,1,187,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
194,5,10,"dgo",1,5,4,4,9,1,188,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
195,5,10,"dgo",1,4,4,4,9,1,189,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
196,5,10,"dgo",1,4,4,4,9,6,190,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
197,5,10,"dgo",1,4,4,4,11,6,191,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
198,5,10,"dgo",1,4,1,4,11,6,192,10,5,11,11,11,11,11,1,1,1,0.306,0.481,12,0.661
199,5,10,"dgo",1,4,1,4,10,6,193,10,5,11,10,10,10,10,0,1,5,0.306,0.308,11,0.398
200,5,10,"dgo",1,4,1,4,10,6,194,10,5,11,10,10,10,10,0,1,5,0.306,0.308,11,0.398
201,5,10,"dgo",1,4,1,1,10,6,195,10,5,11,10,10,10,10,0,1,5,0.306,0.308,11,0.398
202,5,10,"dgo",1,4,4,4,9,6,196,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
203,5,10,"dgo",1,5,4,4,9,1,197,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
204,5,10,"dgo",1,4,1,1,10,6,198,10,5,11,10,10,10,10,0,1,5,0.306,0.308,11,0.398
205,5,10,"dgo",1,5,4,4,9,5,199,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
206,5,10,"dgo",1,5,4,4,9,5,200,10,5,11,9,9,9,9,0,1,5,0.306,0.281,9,0.476
207,5,10,"dgo",1,5,4,4,9,5,201,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
208,5,10,"dgo",1,5,4,4,9,5,202,10,5,9,9,9,9,9,1,1,5,0.353,0.281,9,0.476
