"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e","E3","E3_"
41,5,19,21,21,393,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
42,5,19,21,21,3343,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
43,5,19,21,21,6602,1,2,0,1,1,0,1,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
44,5,19,21,21,431,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
45,5,19,21,21,945,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
46,5,19,21,21,1439,1,2,0,1,1,0,1,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
47,5,19,21,21,1528,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
48,5,19,21,21,888,1,2,0,1,1,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
49,5,19,21,21,735,1,2,1,0,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
51,5,19,21,21,333,1,2,0,1,0,1,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
52,5,19,21,21,293,1,2,0,1,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
54,5,19,21,21,77,1,2,0,1,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
55,5,19,21,21,236,1,2,0,1,0,0,1,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
57,5,19,21,21,77,1,2,0,1,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
59,5,19,21,21,69,1,2,0,1,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
61,5,19,21,21,275,1,2,0,1,0,0,0,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
62,5,19,21,21,140,1,2,0,1,0,0,1,0,143590,4405937,0,2.48893464617192,1.18015958900073,21,0.474,1,0.474,0.261,0.738,0.261,0.292,0.708,0,21,0.699,1,0.699,2,2
63,6,19,5,16,3790,10,12,0,1,1,0,1,0,113694,4405937,0,0.364942263585514,1.49048424177719,16,0.245,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.213,11,0.436,13,13
66,6,19,5,16,7634,10,12,0,1,1,0,1,0,113694,4405937,0,0.364942263585514,1.49048424177719,16,0.245,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.213,11,0.436,13,13
68,6,19,16,16,9198,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
69,6,19,16,16,5658,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
70,6,19,16,16,10271,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
71,6,19,16,16,1465,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
72,6,19,16,16,1135,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
73,6,19,16,16,3755,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
74,6,19,16,16,1725,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
75,6,19,16,16,1333,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
76,6,19,16,16,1780,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
78,6,19,16,16,2066,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
79,6,19,16,16,2465,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
80,6,19,16,16,1452,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
81,6,19,16,16,6276,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
82,6,19,16,16,1351,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
83,6,19,16,16,1079,9,11,1,0,0,0,1,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
84,6,19,16,16,13337,9,11,1,0,0,0,0,0,175603,4405937,0,0.364942263585514,0.965012644343294,16,0.378,11,0.377,0.859,0.14,0.07,0.098,0.902,0,16,0.351,11,0.436,13,13
