"seccion","munn","edon","disloc2018","disloc2011","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2011","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
306,4,3,8,7,1839,8,8,0,1,0,0,0,0,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
307,4,3,8,7,304,8,8,0,1,0,0,0,1,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
308,4,3,8,7,2099,8,8,0,1,0,0,0,0,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
309,4,3,8,7,635,8,8,0,1,0,0,0,1,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
310,4,3,8,7,3950,8,8,0,1,0,0,0,1,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
311,4,3,8,7,849,8,8,0,1,0,0,0,1,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
312,4,3,8,7,10393,8,8,0,1,1,0,0,1,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
313,4,3,8,7,1993,8,8,0,1,0,0,0,0,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
314,4,3,8,7,7874,8,8,0,1,1,0,0,0,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
315,4,3,8,7,915,8,8,0,1,0,0,1,0,39810,573075,0,0.385794781344248,0.899703278070836,7,0.357,10,0.428,0.6,0.4,0.1,0,0.111,0.889,7,0.265,10,0.689
316,4,3,9,16,3734,9,9,0,1,1,1,0,0,39517,573075,0,1.13471210201172,0.906374155426778,8,0.062,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.067,5,0.344
317,4,3,5,16,1785,5,5,1,0,0,1,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
318,4,3,5,16,1027,5,5,1,0,0,1,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
319,4,3,5,16,527,5,5,1,0,0,1,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
320,4,3,5,16,1243,5,5,1,0,0,0,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
321,4,3,5,16,1473,5,5,1,0,0,0,0,0,39801,573075,0,1.13471210201172,0.89990672344916,8,0.198,5,0.253,0.6,0.4,0.2,0.571,0,0.429,8,0.15,5,0.344
