"seccion","munn","edon","disloc2017","disloc2005","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2005","RRI_2017","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
45,1,18,1,18,286,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
46,1,18,1,18,1040,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
47,1,18,1,18,720,1,1,0,1,0,0,1,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
48,1,18,1,18,399,1,1,0,1,0,0,0,0,61770,1084942,0,1.25668860487366,0.975790117460831,18,0.785,1,0.785,0.271,0.729,0.043,0,1,0,18,0.798,1,0.798
49,2,18,16,7,835,17,18,1,0,0,0,1,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
50,2,18,16,7,1075,17,18,1,0,0,1,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
51,2,18,16,7,847,17,18,1,0,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
52,2,18,16,7,1546,17,18,1,0,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
53,2,18,16,7,1238,17,18,1,0,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
54,2,18,16,7,1223,17,18,1,0,0,1,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
55,2,18,16,7,334,17,18,1,0,0,0,1,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
56,2,18,16,7,820,17,18,1,0,0,0,0,0,53665,1084942,0,1.82966200878959,1.12316324523536,13,0.628,18,0.217,0.486,0.513,0.054,0.133,0.867,0,13,0.61,18,0.273
