"seccion","munn","edon","disloc2018","disloc2015","pobtot","esc1","esc3","urbana","rural","mixta","pan","pri","prd","pob_dist","pob_edo","RRI","RRI_2015","RRI_2018","SQ","dsi_pob","E1","dsi_pob_e","prop_urbana","prop_rural","prop_mixta","prop_bastion_pan","prop_bastion_pri","prop_bastion_prd","SQ_","dsi_sec","E1_","dsi_sec_e"
50,3,24,14,14,832,5,4,0,1,0,1,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
51,3,24,14,14,2330,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
52,3,24,14,14,1258,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
53,3,24,14,14,2813,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
54,3,24,14,14,1717,5,4,0,1,0,1,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
55,3,24,14,14,1350,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
56,3,24,14,14,1407,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
57,3,24,14,14,1813,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
58,3,24,14,14,1346,5,4,0,1,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
59,3,24,14,14,1192,5,4,1,0,0,0,0,0,169229,2534093,0,0.998289497268987,0.998289497268987,14,0.335,5,0.335,0.063,0.937,0.063,0.311,0.689,0,14,0.273,5,0.273
60,4,24,3,2,301,4,2,1,0,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
61,4,24,3,2,132,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
62,4,24,3,2,117,4,2,0,1,0,1,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
63,4,24,3,2,153,4,2,0,1,0,0,1,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
64,4,24,3,2,831,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
65,4,24,3,2,450,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
66,4,24,3,2,123,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
67,4,24,3,2,37,4,2,0,1,0,1,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
68,4,24,3,2,657,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
69,4,24,3,2,247,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
70,4,24,3,2,539,4,2,0,1,0,0,1,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
71,4,24,3,2,229,4,2,0,1,0,0,1,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
72,4,24,3,2,126,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
73,4,24,3,2,87,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
75,4,24,3,2,69,4,2,0,1,0,1,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
76,4,24,3,2,84,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
77,4,24,3,2,250,4,2,0,1,0,0,0,0,175535,2534093,0,1.50531086736346,0.962426486645588,4,0.541,7,0.287,0.107,0.894,0.077,0.373,0.627,0,4,0.505,7,0.319
78,5,24,11,11,1337,7,3,1,0,0,0,1,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
79,5,24,11,11,2641,7,3,1,0,0,0,1,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
80,5,24,11,11,1441,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
81,5,24,11,11,1051,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
82,5,24,11,11,572,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
83,5,24,11,11,726,7,3,1,0,0,1,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
84,5,24,11,11,1270,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
85,5,24,11,11,2221,7,3,0,1,1,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
86,5,24,11,11,900,7,3,1,0,0,1,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
87,5,24,11,11,613,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
88,5,24,11,11,835,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
89,5,24,11,11,722,7,3,1,0,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
90,5,24,11,11,1116,7,3,1,0,0,0,1,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
91,5,24,11,11,509,7,3,0,1,1,0,1,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
92,5,24,11,11,354,7,3,0,1,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
93,5,24,11,11,837,7,3,0,1,0,0,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
94,5,24,11,11,366,7,3,0,1,0,1,0,0,177381,2534093,0,1.24954351915543,0.952410536265628,2,0.287,7,0.349,0.169,0.831,0.122,0.191,0.809,0,2,0.319,7,0.347
